evidence_set,scale_or_case,I,R,J,Gamma,method,T_core_seconds,master_time_seconds,oracle_time_seconds,certification_time_seconds,residual_time_seconds,iterations,cuts,peak_memory_gib,objective,lower_bound,upper_bound,relative_gap,status,certification,source_artifact
RENAULT_EMPIRICAL_8CASE_V1,210428,18,12,8,2,pure_benders,0.3858985999977449,0.09825510000518989,0.10038070002337918,0.09407509997254238,0.09318769999663346,10,9,NOT_RECORDED,793717.388081671,793717.388081671,793717.388081671,0,OPTIMAL,CERTIFIED_PURE_BENDERS_EXACT,experiments/results/e1b_pure_benders_v1/E1B-210428-PURE/result.json
RENAULT_EMPIRICAL_8CASE_V1,210428,18,12,8,2,aggregate_benders_structured_oracle,1.8767744999931892,0.05772880002041347,1.0417039999883855,0.1112388000037754,0.6661028999806149,8,7,NOT_RECORDED,793717.3880816089,793717.3880816089,793717.3880816089,0,OPTIMAL,CERTIFIED_STANDARD_BENDERS_EXACT,experiments/results/e1b_standard_vs_prb_v1/E1B-210428-STANDARD/result.json
RENAULT_EMPIRICAL_8CASE_V1,210428,18,12,8,2,prb_benders,1.4929630998522043,0.047893899492919445,0.6762028003577143,0.1533823001664132,0.6154840998351574,5,33,NOT_RECORDED,793717.3880816748,793717.3880816748,793717.3880816748,0,OPTIMAL,CERTIFIED_PRB_EXACT,experiments/results/e1_empirical_8case_v1/E1-210428-PRB/result.json
RENAULT_EMPIRICAL_8CASE_V1,210611,19,12,8,2,pure_benders,0.4196952000056626,0.13007120000838768,0.10538609999639448,0.10065379999286961,0.08358410000801086,9,8,NOT_RECORDED,617415.668142327,617415.6681422697,617415.668142327,9.276787307841458e-14,OPTIMAL,CERTIFIED_PURE_BENDERS_EXACT,experiments/results/e1b_pure_benders_v1/E1B-210611-PURE/result.json
RENAULT_EMPIRICAL_8CASE_V1,210611,19,12,8,2,aggregate_benders_structured_oracle,1.9243862999865087,0.06556849998014513,1.0951868999836734,0.11279629998898599,0.6508346000337042,8,7,NOT_RECORDED,617415.6681423133,617415.6681422769,617415.6681423133,5.882840731802032e-14,OPTIMAL,CERTIFIED_STANDARD_BENDERS_EXACT,experiments/results/e1b_standard_vs_prb_v1/E1B-210611-STANDARD/result.json
RENAULT_EMPIRICAL_8CASE_V1,210611,19,12,8,2,prb_benders,1.7427417999133468,0.053224099799990654,0.8728057006374002,0.14292980008758605,0.6737821993883699,5,34,NOT_RECORDED,617415.6681421611,617415.6681423222,617415.6681421611,0,OPTIMAL,CERTIFIED_PRB_EXACT,experiments/results/e1_empirical_8case_v1/E1-210611-PRB/result.json
RENAULT_EMPIRICAL_8CASE_V1,210628,15,12,8,2,pure_benders,0.42748179999762215,0.1057357000245247,0.13610750001680572,0.0980178000027081,0.08762079995358363,10,9,NOT_RECORDED,676700.8373030793,676700.8373030792,676700.8373030793,1.7203366008958397e-16,OPTIMAL,CERTIFIED_PURE_BENDERS_EXACT,experiments/results/e1b_pure_benders_v1/E1B-210628-PURE/result.json
RENAULT_EMPIRICAL_8CASE_V1,210628,15,12,8,2,aggregate_benders_structured_oracle,1.5682301000051666,0.06212070002220571,0.8667865999886999,0.09851070000149775,0.5408120999927633,8,7,NOT_RECORDED,676700.8373029258,676700.8373029258,676700.8373029258,0,OPTIMAL,CERTIFIED_STANDARD_BENDERS_EXACT,experiments/results/e1b_standard_vs_prb_v1/E1B-210628-STANDARD/result.json
RENAULT_EMPIRICAL_8CASE_V1,210628,15,12,8,2,prb_benders,1.2426573000848293,0.04991649999283254,0.5646055999677628,0.09386430005542934,0.5342709000688046,5,34,NOT_RECORDED,676700.8373031134,676700.8373031134,676700.8373031134,0,OPTIMAL,CERTIFIED_PRB_EXACT,experiments/results/e1_empirical_8case_v1/E1-210628-PRB/result.json
E1C_DEVELOPMENT_PROBE_V1,L,25,24,12,2,pure_benders,0.7585354000002553,0.09865020000052027,0.22390919999998005,0.26540520000025936,0.17057079999949565,7,6,0.055049896240234375,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,OPTIMAL,NOT_RECORDED,experiments/results/e1c_development_probe_v1/L/PURE_BENDERS/result.json
E1C_DEVELOPMENT_PROBE_V1,L,25,24,12,2,aggregate_benders_structured_oracle,27.108113400000093,0.07084600000007413,15.53048809999973,1.9769702999997207,9.529809000000569,7,6,1.8105888366699219,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,OPTIMAL,NOT_RECORDED,experiments/results/e1c_development_probe_v1/L/AGGREGATE_BENDERS_STRUCTURED_ORACLE/result.json
E1C_DEVELOPMENT_PROBE_V1,L,25,24,12,2,prb_benders,22.586865600000237,0.09128010000040376,11.59702709999965,1.7172842999998466,9.181274100000337,6,48,1.8137435913085938,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,OPTIMAL,NOT_RECORDED,experiments/results/e1c_development_probe_v1/L/PRB_BENDERS/result.json
E1C_DEVELOPMENT_PROBE_V1,XL_low,30,30,14,2,pure_benders,1.7527012000000468,0.2634137000004557,0.4592088999997941,0.6934126000001015,0.3366659999996955,12,11,0.06660079956054688,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,OPTIMAL,NOT_RECORDED,experiments/results/e1c_development_probe_v1/XL_low/PURE_BENDERS/result.json
E1C_DEVELOPMENT_PROBE_V1,XL_low,30,30,14,2,aggregate_benders_structured_oracle,88.59402069999987,0.16394320000017615,58.5002984000007,5.005083900000045,24.92469519999895,10,9,4.8623199462890625,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,OPTIMAL,NOT_RECORDED,experiments/results/e1c_development_probe_v1/XL_low/AGGREGATE_BENDERS_STRUCTURED_ORACLE/result.json
E1C_DEVELOPMENT_PROBE_V1,XL_low,30,30,14,2,prb_benders,65.09377610000001,0.124758799999654,33.3956075000001,5.035496899999998,26.537912900000265,6,60,4.863739013671875,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,OPTIMAL,NOT_RECORDED,experiments/results/e1c_development_probe_v1/XL_low/PRB_BENDERS/result.json
