case_id,customer_count,covered_customers,coverage_ratio,common_reference_customers,nearest_center_assignments,region_id,customers_in_region,empty_region,center_customer_id,center_latitude,center_longitude,mapping_sha256
210310,485,485,1.0,298,187,1,13,False,40771302,35.66,-5.67,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210310,485,485,1.0,298,187,2,64,False,1925732,41.89,-5.06,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210310,485,485,1.0,298,187,3,23,False,2571500,40.49,-3.41,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210310,485,485,1.0,298,187,4,15,False,28237800,54.53,-1.36,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210310,485,485,1.0,298,187,5,66,False,239414,48.37,0.56,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210310,485,485,1.0,298,187,6,26,False,2814600,41.57,1.67,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210310,485,485,1.0,298,187,7,109,False,7235904,48.82,4.98,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210310,485,485,1.0,298,187,8,32,False,3043109,50.1,11.38,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210310,485,485,1.0,298,187,9,50,False,26367200,47.86,17.78,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210310,485,485,1.0,298,187,10,33,False,11509705,49.83,18.97,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210310,485,485,1.0,298,187,11,51,False,23342502,44.97,24.93,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210310,485,485,1.0,298,187,12,3,False,27752300,41.62,25.38,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210330,760,760,1.0,298,462,1,12,False,40771302,35.66,-5.67,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210330,760,760,1.0,298,462,2,108,False,1925732,41.89,-5.06,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210330,760,760,1.0,298,462,3,32,False,2571500,40.49,-3.41,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210330,760,760,1.0,298,462,4,27,False,28237800,54.53,-1.36,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210330,760,760,1.0,298,462,5,91,False,239414,48.37,0.56,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210330,760,760,1.0,298,462,6,59,False,2814600,41.57,1.67,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210330,760,760,1.0,298,462,7,150,False,7235904,48.82,4.98,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210330,760,760,1.0,298,462,8,63,False,3043109,50.1,11.38,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210330,760,760,1.0,298,462,9,78,False,26367200,47.86,17.78,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210330,760,760,1.0,298,462,10,56,False,11509705,49.83,18.97,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210330,760,760,1.0,298,462,11,80,False,23342502,44.97,24.93,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210330,760,760,1.0,298,462,12,4,False,27752300,41.62,25.38,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210323,690,690,1.0,298,392,1,12,False,40771302,35.66,-5.67,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210323,690,690,1.0,298,392,2,90,False,1925732,41.89,-5.06,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210323,690,690,1.0,298,392,3,28,False,2571500,40.49,-3.41,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210323,690,690,1.0,298,392,4,21,False,28237800,54.53,-1.36,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210323,690,690,1.0,298,392,5,88,False,239414,48.37,0.56,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210323,690,690,1.0,298,392,6,44,False,2814600,41.57,1.67,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210323,690,690,1.0,298,392,7,151,False,7235904,48.82,4.98,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210323,690,690,1.0,298,392,8,55,False,3043109,50.1,11.38,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210323,690,690,1.0,298,392,9,70,False,26367200,47.86,17.78,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210323,690,690,1.0,298,392,10,47,False,11509705,49.83,18.97,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210323,690,690,1.0,298,392,11,79,False,23342502,44.97,24.93,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210323,690,690,1.0,298,392,12,5,False,27752300,41.62,25.38,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210428,631,631,1.0,298,333,1,13,False,40771302,35.66,-5.67,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210428,631,631,1.0,298,333,2,88,False,1925732,41.89,-5.06,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210428,631,631,1.0,298,333,3,30,False,2571500,40.49,-3.41,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210428,631,631,1.0,298,333,4,20,False,28237800,54.53,-1.36,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210428,631,631,1.0,298,333,5,86,False,239414,48.37,0.56,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210428,631,631,1.0,298,333,6,43,False,2814600,41.57,1.67,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210428,631,631,1.0,298,333,7,131,False,7235904,48.82,4.98,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210428,631,631,1.0,298,333,8,42,False,3043109,50.1,11.38,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210428,631,631,1.0,298,333,9,61,False,26367200,47.86,17.78,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210428,631,631,1.0,298,333,10,42,False,11509705,49.83,18.97,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210428,631,631,1.0,298,333,11,70,False,23342502,44.97,24.93,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210428,631,631,1.0,298,333,12,5,False,27752300,41.62,25.38,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210611,673,673,1.0,298,375,1,17,False,40771302,35.66,-5.67,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210611,673,673,1.0,298,375,2,91,False,1925732,41.89,-5.06,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210611,673,673,1.0,298,375,3,27,False,2571500,40.49,-3.41,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210611,673,673,1.0,298,375,4,24,False,28237800,54.53,-1.36,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210611,673,673,1.0,298,375,5,91,False,239414,48.37,0.56,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210611,673,673,1.0,298,375,6,46,False,2814600,41.57,1.67,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210611,673,673,1.0,298,375,7,137,False,7235904,48.82,4.98,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210611,673,673,1.0,298,375,8,50,False,3043109,50.1,11.38,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210611,673,673,1.0,298,375,9,64,False,26367200,47.86,17.78,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210611,673,673,1.0,298,375,10,52,False,11509705,49.83,18.97,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210611,673,673,1.0,298,375,11,69,False,23342502,44.97,24.93,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210611,673,673,1.0,298,375,12,5,False,27752300,41.62,25.38,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
