family,variant,classification,source_commit,runner,dataset,case_or_scale,I,R,J,Gamma,iterations,cuts,historical_reported_time_seconds,reproduced_T_core_seconds,master_time_seconds,subproblem_time_seconds,termination,certification,algorithmic_features,comparability
historical_renault,joint_v1_core_point_strengthened,LEGACY_STRENGTHENED_BENDERS,b78f6c976984ba22602902ed325eb1442d572ba4,src/benders_ccg_tail_handoff_runner.py,renault_formal_instances_v6,210202,15,12,8,2,2154,2154,1800.1848966998514,,1521.661534596933,254.81346760271106,TIME_LIMIT,UNCERTIFIED,global robust-dual MILP; single cut; core-point strengthening; adaptive precision,NOT_COMPARABLE_OLD_MODEL_AND_DATASET
historical_fairness,persistent_certified_cache_batch5,LEGACY_STRENGTHENED_BENDERS,29ae09e968a206b1987714317ff7528165372a46,src/fairness_scalability_runner.py,generated synthetic regional-fairness,medium_large_seed161,6,10,6,2,1202,5778,362.2756171000656,,277.3528558027465,83.45786609849893,OPTIMAL,CERTIFIED,Farkas fairness cuts; persistent cache; solution pool; up to five cuts,NOT_COMPARABLE_DIFFERENT_MODEL_AND_CUT_FAMILY
historical_fairness,persistent_certified_cache,LEGACY_STRENGTHENED_BENDERS,ec33a047ecd60f4cb473260f1b3c4078726db776,src/fairness_scalability_runner.py,generated synthetic regional-fairness,large_seed160,8,12,8,2,6581,6581,1800.0161325000226,,1610.4610788000282,185.37589349457994,TIME_LIMIT,UNCERTIFIED,Farkas fairness cuts; persistent cache; single cut,NOT_COMPARABLE_DIFFERENT_MODEL_AND_CUT_FAMILY
historical_fairness,persistent_certified_cache_batch5,LEGACY_STRENGTHENED_BENDERS,ec33a047ecd60f4cb473260f1b3c4078726db776,src/fairness_scalability_runner.py,generated synthetic regional-fairness,large_seed160,8,12,8,2,2602,13010,1800.019336400088,,1460.2346805040725,336.5510796995368,TIME_LIMIT,UNCERTIFIED,Farkas fairness cuts; persistent cache; solution pool; up to five cuts,NOT_COMPARABLE_DIFFERENT_MODEL_AND_CUT_FAMILY
current,pure_benders,VANILLA_BENDERS,current_branch,experiments/run_e1b_pure_benders_local.py,RENAULT_EMPIRICAL_8CASE_V1,210202,15,12,8,2,9,8,,0.41859719999774825,0.06973239999206271,0.21662959997775033,OPTIMAL,CERTIFIED_PURE_BENDERS_EXACT,single theta; exact global adversarial MILP; single aggregate cut,CURRENT_PAPER_BASELINE
current,prb_benders,PRB_BENDERS,current_branch,experiments/run_e1_empirical_local.py,RENAULT_EMPIRICAL_8CASE_V1,210202,15,12,8,2,4,31,,1.2333677001297474,0.040858,0.500456,OPTIMAL,CERTIFIED_PRB_EXACT,product-risk cuts; structured global risk-budget composition,CURRENT_PAPER_METHOD
current,direct_exact,DIRECT_EXACT,current_branch,experiments/run_e1_empirical_local.py,RENAULT_EMPIRICAL_8CASE_V1,210202,15,12,8,2,,,,3.3410000801086426,,,OPTIMAL,CERTIFIED_DIRECT_EXACT,factorized exact extensive formulation,CURRENT_CORRECTNESS_BENCHMARK
