case,direct_objective,prb_objective,abs_diff,direct_bound,prb_bound,direct_gap,prb_gap,same_y,max_x_diff,L1_x_diff,Q_DirectEval_on_DirectX,Q_PRBEval_on_DirectX,Q_DirectEval_on_PRBX,Q_PRBEval_on_PRBX,reconstructed_direct_obj,reconstructed_prb_obj,classification,blocker
210310,714814.5477075904,714814.5477077012,1.1082738637924194e-07,714814.5477075904,714814.547707701,0.0,3.257217475504957e-16,True,3.549902771737834e-08,7.100078747157568e-08,638420.4557076722,638420.4557076731,638420.4557077825,638420.4557077837,714814.5477075897,714814.5477077,NUMERICAL_REPORTING_ONLY,
210330,657659.5492540546,657659.5492546142,5.596084520220757e-07,657659.5492540546,657659.549256254,0.0,0.0,True,4.629143802503677e-06,1.2220939984430856e-05,592009.2018260957,592009.2018260964,592009.2018266553,592009.201826656,657659.5492540539,657659.5492546135,NUMERICAL_REPORTING_ONLY,
