case,raw_customers,raw_depots,formal_I,R,J,planning_days,weekday_planning_days,demand_records,demand_density,total_nominal_demand,total_deviation,uncertainty_items
210202,551,15,15,12,8,20,14,319580,0.12353714249953063,6138.071428571428,1649.6000000000004,96
210628,634,15,15,12,8,19,13,361380,0.10841219768664563,3743.6923076923076,1792.707692307693,96
210129,499,15,15,12,8,22,16,318362,0.12908575772234124,4502.875,1648.1875,96
210310,485,16,16,12,8,21,15,295365,0.12634198364735158,3619.866666666667,1787.133333333333,96
210330,760,11,11,12,8,20,14,440800,0.10226860254083485,3511.285714285714,2053.8142857142866,96
210323,690,13,13,12,8,20,14,400200,0.1071464267866067,3494.4285714285716,2173.6142857142863,96
210428,631,18,18,12,8,21,15,397530,0.11251980982567353,4351.6,2124.2666666666664,96
210611,673,19,19,12,8,22,16,444180,0.10411094601287767,3182.0625,1859.375,96
