case,nominal_objective,first_stage_spending,nominal_recourse,B_ref
210202,1034674.0388228709,106510.9559990062,928163.0828238648,106510.9559990062
210628,625401.2683018016,77408.83107532002,547992.4372264816,77408.83107532002
210129,826685.3068302087,90311.11199905835,736374.1948311505,90311.11199905835
210310,644331.871374235,76394.09199991751,567937.7793743174,76394.09199991751
210330,588352.4624700468,65650.34742795816,522702.1150420888,65650.34742795816
210323,572191.0296509459,68276.20285663515,503914.82679431076,68276.20285663515
210428,735829.8570810186,75911.97599934557,659917.8810816731,75911.97599934557
210611,536966.3137658362,64656.257997955974,472310.05576788017,64656.257997955974
