case_id,status,B_ref,definition
210202,FROZEN_EXISTING,84614.30513135393,first-stage expenditure of the frozen nominal incumbent
210628,FROZEN_EXISTING,50558.18771213083,first-stage expenditure of the frozen nominal incumbent
210129,NOT_RUN_BLOCKED_BY_REGION_MAPPING,,first-stage expenditure of the frozen nominal incumbent
210310,NOT_RUN_BLOCKED_BY_REGION_MAPPING,,first-stage expenditure of the frozen nominal incumbent
210330,NOT_RUN_BLOCKED_BY_REGION_MAPPING,,first-stage expenditure of the frozen nominal incumbent
210323,NOT_RUN_BLOCKED_BY_REGION_MAPPING,,first-stage expenditure of the frozen nominal incumbent
210428,NOT_RUN_BLOCKED_BY_REGION_MAPPING,,first-stage expenditure of the frozen nominal incumbent
210611,NOT_RUN_BLOCKED_BY_REGION_MAPPING,,first-stage expenditure of the frozen nominal incumbent
