case,existing_objective,nominal_objective,robust_objective,existing_nominal_abs_objective_diff,existing_nominal_relative_objective_diff,baseline_consistency,robust_vs_existing_abs_improvement,robust_vs_existing_pct_improvement,robust_vs_nominal_abs_improvement,fixed_cost_change,inventory_cost_change,reconfiguration_cost,first_stage_spending_change,robust_recourse_change,implied_transport_cost_change,shortage_cost_change,service_penalty_change,total_shortage_change,min_fill_rate_change,avg_fill_rate_change,existing_budget_used,robust_budget_used,robust_budget_utilization,RI,RS,total_a_plus,total_a_minus,changed_pair_count,opened_depots,closed_depots,existing_active_depots,robust_active_depots,active_depot_change,classification
210202,1061031.1644750044,1061031.1644751027,1058780.7942496866,9.825453162193298e-08,9.260287059574644e-14,BASELINE_CONSISTENCY_PASS,2250.370225317776,0.21209275473367023,2250.3702254160307,0.0,-478.82351141329855,478.8235114133023,0.0,-2250.37022531766,-536.3826789510204,-2582.236535582284,868.2489892157027,16.935397089942853,-3.11972669919669e-14,-0.016396855079682027,106510.9559990062,106510.9559990062,1.0,0.13762008031004352,0.004495532942336655,28.430145990164846,83.79411449732783,3,,,2,2,0,MATERIAL_ROBUST_RECONFIGURATION
210628,676700.837302961,676700.8373030788,676700.8373031134,1.1781230568885803e-07,1.740980640106894e-13,BASELINE_CONSISTENCY_PASS,-1.5238765627145767e-07,-2.251920610573048e-11,-3.457535058259964e-08,0.0,-3.16067598760128e-08,3.295336289224188e-08,1.3533281162381172e-09,1.511070877313614e-07,1.511070877313614e-07,0.0,0.0,0.0,0.0,1.942890293094024e-15,77408.83107532,77408.83107532136,1.0000000000000173,1.8124781797773607e-11,4.2570547099694265e-13,0.0,1.098445429741396e-08,0,,,2,2,0,NO_MATERIAL_RECONFIGURATION
210129,852391.2100067992,852391.2100068971,851260.2478325499,9.790528565645218e-08,1.1485956742288699e-13,BASELINE_CONSISTENCY_PASS,1130.9621742493473,0.1326811164840996,1130.9621743472526,0.0,-248.10469877354626,248.10469877351852,-2.9103830456733704e-11,-1130.9621742492309,-113.67108289472526,-1386.4711243479396,369.180032993434,-3.750394183842218,1.1102230246251565e-16,-0.012325456261308904,90311.11199905835,90311.11199905832,0.9999999999999997,0.08565494889792966,0.0027472222773218145,14.731216489677559,43.41832228536601,3,,,2,2,0,MATERIAL_ROBUST_RECONFIGURATION
210310,714814.5477076541,714814.5477077012,714814.5477077012,4.71482053399086e-08,6.595865387897973e-14,BASELINE_CONSISTENCY_PASS,-4.71482053399086e-08,-6.595865387897973e-12,0.0,0.0,-1.4551915228366852e-11,0.0,-1.4551915228366852e-11,4.71482053399086e-08,-5.8906152844429016e-08,0.0,1.0605435818433762e-07,0.0,0.0,1.7763568394002505e-15,76394.09199991751,76394.0919999175,0.9999999999999998,0.0,0.0,0.0,0.0,0,,,4,4,0,NO_MATERIAL_RECONFIGURATION
210330,658377.0819420859,658377.0819422521,657659.5492546142,1.6624107956886292e-07,2.525013159305055e-13,BASELINE_CONSISTENCY_PASS,717.5326874717139,0.10898506450970777,717.532687637955,0.0,-139.22840310422907,139.2284031042169,-1.4551915228366852e-11,-717.5326874717139,83.61130637477618,-864.4494679921772,63.305474145687185,-24.287430170281823,4.440892098500626e-15,-0.0077306902648606735,65650.34742795816,65650.34742795814,0.9999999999999998,0.06521114504009128,0.002120756531517219,8.266686434312852,24.36497054323803,2,,,2,2,0,MATERIAL_ROBUST_RECONFIGURATION
210323,627611.3567129218,627611.3567129218,627147.2289325014,0.0,0.0,BASELINE_CONSISTENCY_PASS,464.12778042035643,0.0739514630282025,464.12778042035643,0.0,-89.14102361130062,89.14102361131269,1.4551915228366852e-11,-464.12778042047285,239.5574372948613,-625.0409544288123,-78.64426328649279,-38.60735484619909,1.6997514507011147e-13,-0.0047092514716012,68276.20285663515,68276.20285663517,1.0000000000000002,0.0394265819792268,0.0013055943342146462,5.292748276921714,15.59967913197966,2,,,2,2,0,MATERIAL_ROBUST_RECONFIGURATION
210428,793717.3880817087,793717.388081666,793717.3880816748,4.272442311048508e-08,5.382825644495877e-14,BASELINE_CONSISTENCY_PASS,3.387685865163803e-08,4.268126055989919e-12,-8.847564458847046e-09,0.0,-8.163624443113804e-09,8.16683609627944e-09,0.0,-3.387685865163803e-08,-3.387685865163803e-08,0.0,0.0,-4.547473508864641e-13,1.6653345369377348e-15,-7.494005416219807e-16,75911.97599934557,75911.97599934557,1.0,3.0942602355362093e-12,1.0758297342108241e-13,1.293159357373952e-09,5.35919753019698e-10,0,,,2,2,0,NO_MATERIAL_RECONFIGURATION
210611,617415.6681418419,617415.668142111,617415.6681423202,2.691522240638733e-07,4.3593358243386796e-13,BASELINE_CONSISTENCY_PASS,-4.783505573868752e-07,-7.747625822754167e-11,-2.0919833332300186e-07,0.0,-1.1171505320817232e-07,1.1170719497670783e-07,-7.275957614183426e-12,4.783505573868752e-07,4.783505573868752e-07,2.9103830456733704e-11,0.0,4.547473508864641e-13,0.0,5.578870698741412e-15,64656.257997955974,64656.25799795597,0.9999999999999999,7.500210320133502e-11,1.7277089401035133e-12,5.664312993758358e-09,3.157141866514425e-08,0,,,5,5,0,NO_MATERIAL_RECONFIGURATION
