case,component,total_seconds,percent_core,call_count,average_seconds,maximum_seconds,ipc_payload_bytes
210202,master_model_construction,0.03738559997873381,2.1161538986211874,1,0.03738559997873381,0.03738559997873381,
210202,worker_startup,1.3660452000331134,77.32286969815104,8,0.17075565000413917,1.3660452000331134,
210202,product_model_construction_critical_path,0.14196429995354265,8.035669000433456,8,0.01774553749419283,0.1419593999744393,
210202,product_model_construction_cumulative,0.815166899934411,46.141257979125655,8,0.10189586249180138,0.1419593999744393,
210202,master_solve,0.03541920002317056,2.004848879186412,4,0.00885480000579264,0.01270029996521771,
210202,product_model_update_cumulative,0.034855700039770454,1.9729528366613913,22,0.001584350001807748,0.002426499966531992,
210202,product_optimization_cumulative,0.2846347998129204,16.111311351161916,22,0.012937945446041836,0.023087400011718273,
210202,product_result_extraction_cumulative,0.2060838000033982,11.66505384607794,22,0.009367445454699919,0.013231499993707985,
210202,parallel_worker_compute_critical_path,0.13633699988713488,7.717144408584886,5,0.027267399977426977,0.13633699988713488,
210202,cache_lookup,0.00018989999080076814,0.010748994428597195,40,4.747499770019204e-06,0.00018989999080076814,
210202,worker_dispatch,0.0007298997370526195,0.041314842480663395,22,3.3177260775119066e-05,0.0007298997370526195,
210202,serialization_probe,0.0009253000607714057,0.052375174722611176,44,2.1029546835713766e-05,0.0009253000607714057,169708
210202,ipc_and_wait_residual,0.04109030036488548,2.3258527176808728,5,0.008218060072977096,0.04109030036488548,
210202,result_processing,9.789998875930905e-05,0.0055414770126954865,22,4.449999489059502e-06,9.789998875930905e-05,
210202,gamma_allocation,0.00015249993884935975,0.008632022498478975,5,3.049998776987195e-05,3.860000288113952e-05,
210202,lb_ub_computation,0.0034751001512631774,0.19670265389288302,4,0.0008687750378157943,0.0011970000341534615,
210202,cut_construction,0.0003093998529948294,0.017513098773866607,96,3.2229151353628063e-06,2.47000134550035e-05,
210202,cut_insertion,0.001083900046069175,0.06135248088862297,31,3.496451761513468e-05,0.0001289999927394092,
210202,certification_total,0.04341119999298826,2.457223641221271,1,0.04341119999298826,0.04341119999298826,
210202,certification_preparation,3.509997623041272e-05,0.001986779711540008,1,3.509997623041272e-05,3.509997623041272e-05,
210202,miscellaneous_python,0.001447599963285029,0.08193915057380476,1,0.001447599963285029,0.001447599963285029,
L,master_model_construction,0.10481170000275597,2.359229378104612,1,0.10481170000275597,0.10481170000275597,
L,worker_startup,0.7191287000314333,16.187024499246988,8,0.08989108750392916,0.7191287000314333,
L,product_model_construction_critical_path,1.525531699997373,34.33852521969435,12,0.12712764166644774,0.8130912000196986,
L,product_model_construction_cumulative,9.067799200012814,204.10906670592323,12,0.7556499333344012,0.8130912000196986,
L,master_solve,0.11482820013770834,2.5846929607346723,6,0.019138033356284723,0.026752300036605448,
L,product_model_update_cumulative,0.22531939973123372,5.071763431838673,34,0.006627041168565697,0.01806370000122115,
L,product_optimization_cumulative,3.9637728999950923,89.22142731734573,34,0.1165815558822086,0.1759267000015825,
L,product_result_extraction_cumulative,3.384971100022085,76.19305156768952,34,0.09955797353006132,0.11767080001300201,
L,parallel_worker_compute_critical_path,1.9419817999005318,43.71249120040355,7,0.2774259714143617,1.9419817999005318,
L,cache_lookup,0.00027290009893476963,0.006142767750906,84,3.2488107016044002e-06,0.00027290009893476963,
L,worker_dispatch,0.0025873000267893076,0.058238099687455525,26,9.951153949189644e-05,0.0025873000267893076,
L,serialization_probe,0.0018451999058015645,0.04153400647187716,52,3.548461357310701e-05,0.0018451999058015645,689678
L,ipc_and_wait_residual,0.014456699835136533,0.3254090045347742,7,0.0020652428335909334,0.014456699835136533,
L,result_processing,0.000126100261695683,0.00283841824883398,34,3.708831226343618e-06,0.000126100261695683,
L,gamma_allocation,0.0002397001371718943,0.0053954625822953805,7,3.4242876738842044e-05,3.750005271285772e-05,
L,lb_ub_computation,0.010985599947161973,0.24727726132452305,6,0.0018309333245269954,0.0019911000272259116,
L,cut_construction,0.0006599001935683191,0.01485383715026435,216,3.055093488742218e-06,2.340000355616212e-05,
L,cut_insertion,0.0023094998323358595,0.051985034619524036,48,4.811457984033041e-05,0.00015269999857991934,
L,certification_total,0.40154510003048927,9.038466093012286,1,0.40154510003048927,0.40154510003048927,
L,certification_preparation,3.739999374374747e-05,0.0008418446030248306,1,3.739999374374747e-05,3.739999374374747e-05,
L,miscellaneous_python,0.0028354995884001255,0.0638248776651959,1,0.0028354995884001255,0.0028354995884001255,
XL_low,master_model_construction,0.6058184999856167,6.205887225819792,1,0.6058184999856167,0.6058184999856167,
XL_low,worker_startup,0.9819560999749228,10.058967854720311,8,0.12274451249686535,0.9819560999749228,
XL_low,product_model_construction_critical_path,3.353792199981399,34.35559688654732,14,0.23955658571295707,1.7153488000039943,
XL_low,product_model_construction_cumulative,23.171484599937685,237.3641945325991,14,1.6551060428526918,1.7153488000039943,
XL_low,master_solve,0.11838479997823015,1.212710932290071,6,0.01973079999637169,0.029568800004199147,
XL_low,product_model_update_cumulative,0.3649223998072557,3.738194293229934,43,0.00848656743737804,0.014972099976148456,
XL_low,product_optimization_cumulative,11.85342929995386,121.42423098087657,43,0.27566114651055484,0.4222316999803297,
XL_low,product_result_extraction_cumulative,9.815872899955139,100.5518983681557,43,0.22827611395244507,0.2637716999743134,
XL_low,parallel_worker_compute_critical_path,4.665805500058923,47.795606690226286,7,0.6665436428655604,4.665805500058923,
XL_low,cache_lookup,0.0002622999018058181,0.0026869493255639427,98,2.67652961026345e-06,0.0002622999018058181,
XL_low,worker_dispatch,0.0007663998985663056,0.007850851930892076,31,2.4722577373106632e-05,0.0007663998985663056,
XL_low,serialization_probe,0.002892499789595604,0.02963020689424964,62,4.665322241283232e-05,0.002892499789595604,1248881
XL_low,ipc_and_wait_residual,0.009809100127313286,0.10048251939867484,7,0.0014013000181876123,0.009809100127313286,
XL_low,result_processing,0.00017960008699446917,0.00183978846083697,43,4.1767462091737015e-06,0.00017960008699446917,
XL_low,gamma_allocation,0.0003003000165335834,0.003076215131369352,7,4.290000236194048e-05,4.509999416768551e-05,
XL_low,lb_ub_computation,0.015338299854192883,0.1571225691080565,6,0.0025563833090321473,0.003279700002167374,
