case,gamma,beta,lambda_r,method,z_star,independently_evaluated_z,objective_level_difference,first_stage_expenditure,robust_recourse,fr_min_robust,worst_region,worst_scenario,first_stage_feasible,maximum_feasibility_violation,recourse_certified,on_global_optimal_level,exactly_certified,y,x
210202,1,1.1,0.0,exact,112802.97664731962,112802.97664731964,1.4551915228366852e-11,85096.58742739476,27706.389219924877,0.7672918223285893,12,1:BAC-O-6433,True,7.275957614183426e-12,True,True,True,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[[0.0, 78.85714285714286, 49.142857142857146, 134.21428571428572, 17.646045243539223, 0.0, 28.405541061797678, 6.214285714285714], [0.0, 20.071428571428573, 76.85714285714286, 35.025876630681935, 335.6715600977046, 60.357142857142854, 18.023030366773753, 23.0], [46.57142857142857, 19.785714285714285, 83.07142857142857, 163.22417590888173, 397.899547652456, 23.0, 173.5, 12.285714285714286], [0.0, 0.0, 26.642857142857142, 0.0, 0.0, 0.0, 8.613503011927214, 0.0], [233.17479796199459, 0.0, 0.0, 0.0, 234.29144876500007, 163.64285714285714, 0.0, 59.02686144388173], [39.785714285714285, 65.5, 136.0, 91.1472526625469, 271.6728369492857, 31.642857142857142, 191.0, 28.830281413261126], [2.513165794375998, 45.642857142857146, 114.28571428571429, 169.78571428571428, 127.06224664247301, 229.71428571428572, 140.07142857142858, 72.70858746901672], [15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.577126816697575], [0.0, 0.0, 0.0, 54.68840908360377, 4.52902377611543, 0.0, 6.905541061797676, 0.0], [23.91540563419543, 39.785714285714285, 52.07142857142857, 148.78571428571428, 125.42857142857143, 89.78571428571429, 99.91285335564802, 37.5], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 4.075828424683248, 5.785714285714286, 13.357142857142858, 49.05200886023646, 5.428571428571429, 11.534112490369111, 3.6411471581674646], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 38.5397276541455], [47.5, 6.285714285714286, 26.0, 76.14285714285714, 221.16227685404917, 23.785714285714285, 148.56810257062708, 118.10312948871163], [0.0, 0.0, 0.0, 0.0, 10.763005159140402, 0.0, 0.0, 0.0]]"
210202,1,1.1,0.0,prb,112802.97664731962,112802.97664732471,5.093170329928398e-09,85096.58742739404,27706.389219930665,0.7672918223279283,12,1:BAC-O-6433,True,1.2369127944111824e-10,True,True,True,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[[0.0, 78.85714285713624, 49.14285714288051, 134.21428571428683, 17.646045243733287, 0.0, 28.40554106175467, 6.214285714158761], [0.0, 20.071428571420544, 76.85714285711964, 35.025876630684095, 335.67156009760566, 60.35714285745433, 18.023030366590692, 23.000000000064055], [46.57142857143996, 19.785714285731967, 83.07142857144451, 163.22417590892363, 397.8995476525975, 22.99999999956552, 173.49999999998948, 12.285714285722882], [0.0, 0.0, 26.6428571428565, 0.0, 0.0, 0.0, 8.6135030119283, 0.0], [233.17479796198361, 0.0, 0.0, 0.0, 234.29144877437682, 163.64285714274695, 0.0, 59.02686143730608], [39.78571428573375, 65.49999999999945, 135.99999999998272, 91.14725266250558, 271.6728369399078, 31.642857143070977, 190.99999999999702, 28.830281419839135], [2.5131657944041157, 45.64285714285277, 114.28571428571539, 169.7857142856916, 127.062246642379, 229.71428571430994, 140.07142857143953, 72.70858746906099], [14.999999999993197, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.577126816705219], [-2.2247345051982805e-11, 0.0, 0.0, 54.688409083621565, 4.529023775981883, 0.0, 6.905541061980577, 0.0], [23.915405634156357, 39.78571428573791, 52.071428571419595, 148.7857142857309, 125.42857142857108, 89.78571428603378, 99.91285335542449, 37.499999999987146], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 4.0758284246823075, 5.7857142857148665, 13.357142857143188, 49.05200886025476, 5.42857142857125, 11.534112490372294, 3.641147158153263], [0.0, 0.0, 26.000000000009408, 14.83375906212095, 0.0, 0.0, 0.0, 0.0], [47.500000000029296, 6.285714285698243, 0.0, 61.309098080719664, 221.16227685403194, 23.785714285389755, 148.56810257089307, 156.6428571428634], [0.0, 0.0, 0.0, 0.0, 10.763005159140402, 0.0, 0.0, 0.0]]"
210202,2,1.1,0.0,exact,115770.16775308308,115770.16775308325,1.7462298274040222e-10,89028.28607979625,26741.881673287004,0.7882314575117346,12,1:BAC-O-6433;7:BAC-O-6433,True,1.6370904631912708e-11,True,True,True,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]","[[0.0, 78.85714285714286, 49.142857142857146, 134.21428571428572, 11.6927388846169, 0.0, 40.76360094825594, 3.485693650119327], [0.0, 35.425714285714264, 76.85714285714286, 89.71428571428571, 222.95356288962327, 60.357142857142854, 24.928571428571427, 25.72859206416639], [46.57142857142857, 31.17623968493896, 92.3266086614701, 182.21428571428572, 327.92857142857144, 23.0, 185.73502951968453, 12.285714285714286], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [247.02423829173043, 0.0, 0.0, 0.0, 213.9334588528078, 131.9, 0.0, 72.14285714285714], [39.785714285714285, 30.074285714285725, 126.74481990995847, 106.28792464236255, 342.19972225804736, 63.385714285714286, 178.76497048031547, 15.714285714285714], [15.142857142857142, 45.642857142857146, 114.28571428571429, 169.78571428571428, 109.05138385410487, 205.57142857142858, 140.07142857142858, 82.11790776714447], [15.0, 0.0, 0.0, 0.0, 13.29253184973606, 0.0, 0.0, 4.167806518569802], [0.0, 8.680903172203902, 0.0, 0.0, 61.20746815026394, 0.0, 5.664970480315475, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [95.97576170826957, 85.06000000000004, 93.03053419567276, 169.0, 429.1280498142106, 109.5, 189.81565524634527, 203.06688744493735], [0.0, 2.7857142857142856, 5.785714285714286, 13.357142857142858, 4.357142857142857, 5.428571428571429, 8.928571428571429, 2.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [19.492971146852305, 1.1285714285714286, 11.68375151861295, 55.92857142857143, 98.83983082687519, 69.75250152316127, 75.54931523397023, 8.561704619229042], [0.0, 0.0, 0.0, 0.0, 10.763005159140402, 0.0, 0.0, 0.0]]"
210202,2,1.1,0.0,prb,115770.16775308308,115770.1677530832,1.1641532182693481e-10,89028.2860797964,26741.881673286796,0.7882314575098561,12,1:BAC-O-6433;7:BAC-O-6433,True,4.9026210619567485e-12,True,True,True,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]","[[0.0, 78.85714285715713, 49.14285714298597, 134.21428571427722, 11.692738881845845, 0.0, 40.76360094826458, 3.4856936519423884], [0.0, 35.42571428568331, 76.85714285702659, 89.71428571430253, 222.9535628928388, 60.35714285715938, 24.92857142805521, 25.728592062310206], [46.57142857144497, 31.176239685044912, 92.32660866134921, 182.21428571429328, 327.9285714285412, 23.000000000002228, 185.7350295196124, 12.285714285714834], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [247.02423829160466, 0.0, 0.0, 0.0, 213.9334588529916, 131.90000000002263, 0.0, 72.14285714285816], [39.78571428571264, 30.07428571428631, 126.74481991007572, 106.28792464236305, 342.19972225783806, 63.385714285684685, 178.7649704803949, 15.714285714292627], [15.142857142867161, 45.64285714287431, 114.2857142857054, 169.78571428570123, 109.05138385384689, 205.57142857141687, 140.07142857165636, 82.11790776718924], [14.99999999996941, 0.0, 0.0, 0.0, 13.292531849812386, 0.0, 0.0, 4.167806518550145], [0.0, 8.680903172096764, 0.0, -4.9026210619567485e-12, 61.207468150264724, 0.0, 5.6649704805902665, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [115.46873285526668, 86.18857142857158, 104.7142857142859, 224.92857142857184, 406.27491757227807, 0.0, 0.0, 0.0], [0.0, 2.785714285714312, 5.785714285714094, 13.357142857142899, 4.3571428571430255, 5.428571428571064, 8.928571428568727, 2.0000000000000178], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 121.69296306859711, 179.2525015231609, 265.36497048031623, 211.62859206416604], [0.0, 0.0, 0.0, 0.0, 10.763005159140402, 0.0, 0.0, 0.0]]"
