Gamma,lambda_R,case_count,mean_normalized_objective,mean_normalized_robust_recourse,mean_RI,median_RI,material_case_count,mean_RI_conditional_on_material,mean_total_adjustment_conditional_on_material,mean_changed_pairs_conditional_on_material,mean_top_adjustment_share_conditional_on_material,mean_RS,mean_budget_utilization,budget_binding_case_count,network_change_case_count,mean_total_shortage,mean_average_fill_rate,mean_minimum_fill_rate,mean_core_prb_seconds_new_only,mean_post_evaluation_seconds_new_only,mean_total_wallclock_seconds
0,0.0025,8,1.0,1.0,9.12573253002e-11,4.1864312916713394e-11,0,,,,,-2.3584108619357874e-14,1.0000000000000044,8,0,3471.074273695049,0.14082779239472148,2.1399548799649892e-14,0.20048047500358734,0.011567262500193465,5.663057650001065
0,0.05,8,1.0,1.0,2.630686980384964e-11,4.171925586044371e-12,0,,,,,-3.834225940506339e-13,1.000000000000121,8,0,3471.0742736950524,0.14082779239321008,6.106226635438361e-16,,,5.330446999998912
0,0.2,8,1.0,1.0,2.8690151720680986e-11,5.250532377803317e-12,0,,,,,-5.239713046046564e-13,0.9999999999983413,7,0,3471.074273698396,0.14082779167268833,5.551115123125783e-16,0.07571212500261026,0.01774773750184977,5.642420975000277
2,0.0025,8,1.0856857069331347,1.0969146085787937,0.038213113597405035,0.01837821115800105,4,0.07642622705452187,52.18360727793018,3,0.728263321078805,6.350658379181033e-05,1.0000000000000118,8,0,3573.89592840743,0.13617352843307212,1.1936285293501214e-13,,,5.468969887498588
2,0.05,8,1.0858471091971489,1.0970956512686505,0.040989094550600375,0.019713291059970106,4,0.08197818906471964,55.974470916431706,2.5,0.7466666630598908,0.0013336382609564165,1.000000000000002,8,0,3565.939574511979,0.13568251076015533,2.2315482794965646e-14,,,5.350775762499325
2,0.2,8,1.0864637329455755,1.0977874080557284,0.03079911189224945,0.022912236164687554,4,0.06159822372974401,38.93568979696672,3,0.7999999838520506,0.0037652824053967552,0.9999999999987699,7,0,3577.7197185073705,0.13596499343124607,2.400857290751901e-15,,,5.359766037498957
4,0.0025,8,1.1315405431543015,1.1487526282554958,0.381016307574731,0.14412709195332424,5,0.6096260920588686,339.45846212289814,4.6,0.5510168224759299,0.0009261240159032485,1.000000000000065,8,2,3653.2850444519295,0.12861588340163943,4.649058915617843e-15,16.095944600005623,3018.1620506500008,3042.5125937625
4,0.05,8,1.1321787463107926,1.1494736378343395,0.12453631727980913,0.15459716446752805,5,0.19925810761878793,119.99049485923783,3.8,0.6610022771106584,0.0040159334524314284,1.0000000000000049,8,0,3659.7605370916826,0.12722949841597683,1.7444379274422772e-14,,,5.726567274998615
4,0.2,8,1.1339932708562062,1.1515211491674346,0.03458364405620028,0.028597386504476102,5,0.05533383046888975,34.418898798702855,2.8,0.7999999868137447,0.004224556152853657,1.0,8,0,3646.718769171439,0.13539089000304785,5.878630915390204e-14,12.766997825000544,3016.623347924996,3037.5602424625017
