case,delta_Gamma_RI_B080,percent_change_Gamma_RI_B080,delta_Gamma_objective_B080,percent_change_Gamma_objective_B080,delta_Gamma_recourse_B080,percent_change_Gamma_recourse_B080,delta_Gamma_RS_B080,percent_change_Gamma_RS_B080,first_material_gamma_B080,active_depot_change_any_B080,composition_change_G0_to_G4_B080,x_L1_change_G0_to_G4_B080,x_coordinate_changes_G0_to_G4_B080,budget_binding_transition_B080,delta_Gamma_RI_B100,percent_change_Gamma_RI_B100,delta_Gamma_objective_B100,percent_change_Gamma_objective_B100,delta_Gamma_recourse_B100,percent_change_Gamma_recourse_B100,delta_Gamma_RS_B100,percent_change_Gamma_RS_B100,first_material_gamma_B100,active_depot_change_any_B100,composition_change_G0_to_G4_B100,x_L1_change_G0_to_G4_B100,x_coordinate_changes_G0_to_G4_B100,budget_binding_transition_B100,delta_Gamma_RI_B120,percent_change_Gamma_RI_B120,delta_Gamma_objective_B120,percent_change_Gamma_objective_B120,delta_Gamma_recourse_B120,percent_change_Gamma_recourse_B120,delta_Gamma_RS_B120,percent_change_Gamma_RS_B120,first_material_gamma_B120,active_depot_change_any_B120,composition_change_G0_to_G4_B120,x_L1_change_G0_to_G4_B120,x_coordinate_changes_G0_to_G4_B120,budget_binding_transition_B120,DID_RI_tight_vs_relaxed,DID_RI_reference_vs_relaxed,DID_objective_tight_vs_relaxed,DID_recourse_tight_vs_relaxed,extensive_intensive_classification,mechanism_classification
210202,-4.052314039881821e-15,-1.1132183466126588e-14,44777.34635671473,0.042871231491855226,44777.346356714144,0.046679409396501254,-3.1051550219984847e-16,-2.3612519531107913e-14,0,True,False,3.296918293926865e-12,0,False,0.15523023989261572,40984596376.70202,42280.94625899219,0.04086402545390258,42280.94625899219,0.04555335914708934,0.00507079094504484,81240008551.55913,2,False,True,126.58471669866938,3,False,0.03932499408285367,1622645996.7385468,41208.06377156463,0.0398270974483972,35820.61823005043,0.03859302195156399,0.00200718808200145,4594824938.513054,2,False,True,32.06812824930996,1,False,-0.03932499408285772,0.11590524580976205,3569.2825851500966,8956.728126663715,INTENSIVE_MARGIN_FROM_G0,SCARCITY_INDUCED_RECONFIGURATION_SATURATION|RISK_RESPONSE_SUPPRESSED_BY_SCARCITY
210628,4.385380947269368e-15,1.1264260204718645e-14,83027.41899999976,0.13145720883328463,83027.41899999953,0.14574762411116893,-1.491862189340054e-16,-1.134782797752285e-14,0,True,False,9.593905916618597e-12,0,False,-3.535617084219924e-11,-0.5233805787379106,83027.41900003655,0.13275863546826103,83027.4190000334,0.15151197965442945,4.489841057469114e-13,,none_through_4,False,False,5.0436387510899294e-08,0,False,-9.37938777479295e-17,-2.4099194695467007e-06,83027.41900000011,0.13275863546821576,83027.41900000011,0.15151197965482885,0.0,,none_through_4,False,False,5.684341886080802e-14,0,False,4.479174825017298e-15,-3.535607704832149e-11,-3.4924596548080444e-10,-5.820766091346741e-10,INTENSIVE_MARGIN_FROM_G0,SCARCITY_INDUCED_RECONFIGURATION_SATURATION
210129,0.0,0.0,47438.74510706845,0.05675504392458343,47438.74510706845,0.062124974516345924,0.0,0.0,0,False,False,0.0,0,False,0.16843651180772048,36967626199.091415,45333.118032834725,0.05483721273165709,45333.118032834725,0.061562610899438014,0.005402286073512986,73281448100.09885,2,False,True,114.34838968496265,4,False,0.042670582964606026,1532822183.8866134,44143.352772769984,0.05339801301414552,39276.6853089045,0.053337943649581714,0.0021384049036368806,4353270771.333478,2,False,True,28.9682587383059,1,False,-0.042670582964606026,0.12576592884311447,3295.3923342984635,8162.059798163944,INTENSIVE_MARGIN_FROM_G0,SCARCITY_INDUCED_RECONFIGURATION_SATURATION|RISK_RESPONSE_SUPPRESSED_BY_SCARCITY
210310,8.087974734394265e-14,2.3765830785725323e-13,107763.22332039312,0.16506303118820972,107763.22332040011,0.18211067693428318,4.466912950640278e-15,3.3948538424866357e-13,0,False,True,6.666666666621623,2,False,0.26326143150163894,75442891854.93387,105391.47450334334,0.1635670671986814,105391.47450334334,0.1855686984222564,0.00818986179169919,,4,False,True,146.63837242249375,4,False,0.06674624800898339,510577335.5682845,103602.56435815338,0.16079068716123698,97356.64268765866,0.17142131800956464,0.003244413640900388,,4,False,True,37.17810519800124,1,False,-0.06674624800890251,0.19651518349265557,4160.658962239744,10406.580632741447,INTENSIVE_MARGIN_FROM_G0,SCARCITY_INDUCED_RECONFIGURATION_SATURATION|RISK_RESPONSE_SUPPRESSED_BY_SCARCITY|AGGREGATE_RI_INVARIANT_BUT_COMPOSITION_CHANGES
210330,7.66053886991358e-15,2.0554519824432318e-14,104366.4778012837,0.17561362949386258,104366.47780128359,0.19263778955118913,1.1622647289044608e-16,8.838462483659861e-15,0,True,False,7.897626115692899e-12,0,False,0.15396408902815154,14661400895.772661,102802.16029524873,0.17472886892243025,102802.16029524867,0.1966744678024186,0.005007124890186796,,2,False,True,77.04363014848104,4,False,0.03900423588509548,2230573477.2388296,102134.47815229255,0.17359403532260406,98855.50125319936,0.1891239740731139,0.0019819869354377666,7588772008.10903,2,False,True,19.517719651230284,1,False,-0.03900423588508782,0.11495985314305605,2231.9996489911573,5510.9765480842325,INTENSIVE_MARGIN_FROM_G0,SCARCITY_INDUCED_RECONFIGURATION_SATURATION|RISK_RESPONSE_SUPPRESSED_BY_SCARCITY
210323,-5.773159728050814e-15,-1.5083383915286667e-14,97395.53104312054,0.16851716405478342,97395.53104312002,0.18610545146590043,-4.49293380277993e-16,-3.417590966122493e-14,0,True,False,3.069544618483633e-12,0,False,0.25539826584147823,4761760219664657.0,94915.7172783144,0.16588116967890357,94915.71727831435,0.1883566671020233,0.008457403916640984,,2,False,True,135.33736534056567,4,False,0.06467084634651192,4049967811.1252775,93479.44438274787,0.16337104138047395,87722.16108932422,0.1740813257021013,0.0033461676721324653,,2,False,True,34.26954342982449,1,False,-0.0646708463465177,0.1907274194949663,3916.0866603726754,9673.369953795802,INTENSIVE_MARGIN_FROM_G0,SCARCITY_INDUCED_RECONFIGURATION_SATURATION|RISK_RESPONSE_SUPPRESSED_BY_SCARCITY
210428,-3.497202527569243e-15,-9.22480927435875e-15,90670.22899999982,0.12215373686379942,90670.22899999947,0.13303851869131875,-2.688821387764051e-16,-2.0455138773321993e-14,0,True,False,2.0463630789890885e-12,0,False,-1.1459382788033176e-13,-0.034469246726716404,90670.22900000494,0.12322173139264436,90670.22900000494,0.13739623004501436,5.3802976217916864e-14,,none_through_4,False,False,1.1397860433248752e-09,0,False,-5.7096325531891e-17,-2.621893194491465e-06,90670.2290000018,0.12322173139264382,90670.22899996536,0.1373962300450953,4.006321606242584e-13,,none_through_4,False,False,2.433025692027968e-08,0,False,-3.440106202037352e-15,-1.1453673155479987e-13,-1.979060471057892e-09,3.41096892952919e-08,INTENSIVE_MARGIN_FROM_G0,SCARCITY_INDUCED_RECONFIGURATION_SATURATION
210611,-1.1102230246251565e-16,-3.0433867841278748e-16,108236.97625000007,0.19936631360076176,108236.97625000007,0.22036110810233098,-6.071532165918825e-17,-4.64961178005238e-15,0,True,False,5.684341886080802e-14,0,False,-8.116084153044448e-12,-0.06922493985169344,108236.97625020915,0.2015712596398605,108236.97625027172,0.22916508960204665,4.931226798751092e-12,-1.539316156905364,none_through_4,False,False,1.1238337870964376e-07,0,False,2.312399049109821e-11,0.2603300370221409,108236.97624999413,0.20157125963946226,108236.97624999413,0.22916508960242313,0.0,,none_through_4,False,False,3.304363138667554e-08,0,False,-2.3124101513400674e-11,-3.124007464414266e-11,5.9371814131736755e-09,5.9371814131736755e-09,INTENSIVE_MARGIN_FROM_G0,SCARCITY_INDUCED_RECONFIGURATION_SATURATION
