case,scope,product_id,X0,Dnom,IC
210202,product,BAC---1041,0.0,446.92857142857144,0.0
210202,product,BAC-O-4312,0.0,278.7142857142857,0.0
210202,product,BAC-O-4325,0.0,569.8571428571429,0.0
210202,product,BAC-O-6423,0.0,984.8571428571429,0.0
210202,product,BAC-O-6433,0.0,1994.642857142857,0.0
210202,product,CON-S-0130,0.0,627.3571428571429,0.0
210202,product,SLI---0770,0.0,823.9285714285714,0.0
210202,product,SLI---1200,0.0,411.7857142857143,0.0
210202,system,,0.0,6138.071428571429,0.0
210628,product,BAC---1041,0.0,256.7692307692308,0.0
210628,product,BAC-O-4312,0.0,238.53846153846155,0.0
210628,product,BAC-O-4325,0.0,384.0,0.0
210628,product,BAC-O-6423,0.0,652.9230769230769,0.0
210628,product,BAC-O-6433,0.0,1055.3076923076924,0.0
210628,product,CON-S-0130,0.0,434.84615384615387,0.0
210628,product,SLI---0770,0.0,481.0,0.0
210628,product,SLI---1200,0.0,240.3076923076923,0.0
210628,system,,0.0,3743.692307692308,0.0
