run_id,case,Gamma,lambda_R,reused,timing_provenance,t_instance_load_seconds,t_reuse_validation_seconds,t_core_prb_seconds,t_exact_certification_seconds,t_post_evaluation_seconds,t_reporting_seconds,t_artifact_write_seconds,t_total_runner_wallclock_seconds
E7-210202-G0-L0025,210202,0,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.002447900002152892,5.306287399998837,0.2040586000039184,0.0032566999980190303,0.011206200000742683,0.05035710000083782,0.002012799999647541,5.73219600000084
E7-210202-G0-L0500,210202,0,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0011733999999705702,5.159470099999453,0.0,0.0,0.0,0.002962200000183657,0.0030721000002813525,5.260011200000008
E7-210202-G0-L2000,210202,0,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.00225979999959236,5.158665500002826,0.0700676000014937,0.0034089000000676606,0.014368599997396814,0.06915119999757735,0.0018626999990374316,5.466626500001439
E7-210202-G2-L0025,210202,2,0.0025,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.000945699997828342,5.322269500000402,0.0,0.0,0.0,0.0009486999988439493,0.002115100000082748,5.427876599998854
E7-210202-G2-L0500,210202,2,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0008927000017138198,5.136722000002919,0.0,0.0,0.0,0.0007807999973010737,0.003345399996760534,5.2273727000028885
E7-210202-G2-L2000,210202,2,0.2,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0023723000012978446,5.258700200000021,0.0,0.0,0.0,0.002074600000923965,0.00306319999799598,5.37412570000015
E7-210202-G4-L0025,210202,4,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.0010221000011370052,4.829465700000583,12.06845930000054,0.977515399998083,2935.7977489000004,0.0711196000011114,0.002078800000163028,2955.6955006999997
E7-210202-G4-L0500,210202,4,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0014434999975492246,5.373845300000539,0.0,0.0,0.0,0.0018966999996337108,0.0018560999997134786,5.493775899998582
E7-210202-G4-L2000,210202,4,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.0024510000002919696,5.231441100000666,13.58017629999813,0.9135112000003573,2933.315066700001,0.06395720000000438,0.0018665999996301252,2954.962373999999
E7-210628-G0-L0025,210628,0,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.0026686000019253697,5.346485300000495,0.2079197999992175,0.002946399999927962,0.01161829999909969,0.055419500000425614,0.0020731000004161615,5.776725899999292
E7-210628-G0-L0500,210628,0,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0020464000008360017,5.0462411000007705,0.0,0.0,0.0,0.001982300000236137,0.0018405999981041532,5.168073299999378
E7-210628-G0-L2000,210628,0,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.0024230999988503754,5.116619500000525,0.0715849000007438,0.003445599999395199,0.037128599997231504,0.07189279999874998,0.004640999999537598,5.462828100000479
E7-210628-G2-L0025,210628,2,0.0025,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0013614999988931231,5.312247099998785,0.0,0.0,0.0,0.0023816000029910356,0.004109299999981886,5.431737499999144
E7-210628-G2-L0500,210628,2,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0009074999979929999,5.01326109999718,0.0,0.0,0.0,0.0012234999994689133,0.002720899999985704,5.090888499998982
E7-210628-G2-L2000,210628,2,0.2,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0009461000008741394,4.894969099997979,0.0,0.0,0.0,0.0009344999998575076,0.001975700000912184,4.9913535000014235
E7-210628-G4-L0025,210628,4,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.0018022000003838912,5.653405799996108,21.300355100007437,0.8550264999939827,3024.4650074999954,0.09767730000021402,0.003485599998384714,3054.139435199999
