case,method,objective,objective_diff_vs_original,exact_certification,iterations,cuts,core_runtime_seconds,master_runtime_seconds,oracle_runtime_seconds,gamma_combination_seconds,certification_seconds,product_states_solved,product_pattern_evaluations,cache_hits,cache_misses,product_solves_avoided,warm_starts,cold_product_solve_runtime_cumulative,warm_product_solve_runtime_cumulative,simplex_iterations,parallel_workers,peak_memory_gib,runtime_reduction_vs_original,oracle_reduction_vs_original,runtime_ratio_vs_pure,max_x_diff_vs_original,same_y_as_original
210202,pure_benders,1058780.7942496866,0,true,9,8,0.41859719999774825,,,,,,,,,,,,,,,,,,,,
210202,prb_original,1058780.7942496866,0,true,4,31,1.2333677001297474,0.04085769993253052,0.5004560998640954,,0.09904590016230941,,,,,,,,,,,,,,,,
210202,prb_accelerated,1058780.7942496866,0,true,4,31,1.781168500019703,0.039329699997324497,0.09961559996008873,0.00014570000348612666,0.03162319998955354,66,1738,18,22,54,14,0.11939089995576069,0.17232990002958104,6996,8,0.3460502624511719,-0.44415043448302427,0.8009503730953814,4.255089379549802,0,true
L,pure_benders,2537677.659296398,4.656612873077393e-10,true,7,6,0.7585354000002553,,,,,,,,,,,,,,,,,,,,
L,prb_original,2537677.6592963985,0,true,6,48,22.586865600000237,0.09128010000040376,11.59702709999965,,1.7172842999998466,,,,,,,,,,,,,,,,
L,prb_accelerated,2537677.6592963985,0,true,6,48,4.191853000025731,0.11834869999438524,1.4872165000997484,0.0002704000216908753,0.3868472999893129,102,10234,50,34,150,22,1.1158535000286065,2.0439652000786737,112189,8,1.9665069580078125,0.8144119208808819,0.8717588148000626,5.526245709856546,0,true
XL_low,pure_benders,3410117.8260541093,8.260831236839294e-07,true,12,11,1.7527012000000468,,,,,,,,,,,,,,,,,,,,
XL_low,prb_original,3410117.8260549353,0,true,6,60,65.09377610000001,0.124758799999654,33.3956075000001,,5.035496899999998,,,,,,,,,,,,,,,,
XL_low,prb_accelerated,3410117.8260549335,1.862645149230957e-09,true,6,60,9.50632799998857,0.11618399998405948,3.648146800114773,0.00029939995147287846,0.9485004000016488,129,20038,55,43,165,29,3.374374300125055,7.228593000036199,387687,8,4.990062713623047,0.853959493986268,0.8907596814906044,5.423815536834411,5.684341886080802e-14,true
