case,product,state_index,local_gamma,v2_value,v3_value,absolute_value_difference,v2_pattern,v3_pattern,same_pattern,maximum_demand_dual_difference,maximum_supply_dual_difference,service_dual_difference,cut_alpha_difference,maximum_cut_beta_difference,v3_dual_feasible,v3_cut_tightness_error,v3_strong_duality_error,v2_solve_seconds,v3_solve_seconds,v2_build_seconds,v3_build_seconds
210202,BAC---1041,0,0,19057.03428571429,19057.034285714286,3.637978807091713e-12,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.018465699977241457,0.03561279998393729,0.2008209999767132,0.043050200038123876
210202,BAC---1041,0,1,22757.577142857146,22757.577142857146,0.0,[10],[10],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.018465699977241457,0.03561279998393729,0.2008209999767132,0.043050200038123876
210202,BAC---1041,0,2,23553.726857142858,23553.72685714286,3.637978807091713e-12,"[6, 10]","[6, 10]",True,0.0,0.0,0.0,0.0,0.0,True,3.637978807091713e-12,3.637978807091713e-12,0.018465699977241457,0.03561279998393729,0.2008209999767132,0.043050200038123876
210202,BAC---1041,1,0,19057.03428571429,19057.034285714286,3.637978807091713e-12,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.017190499987918884,0.0030767000280320644,0.2008209999767132,0.043050200038123876
210202,BAC---1041,1,1,22757.577142857146,22757.577142857146,0.0,[10],[10],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.017190499987918884,0.0030767000280320644,0.2008209999767132,0.043050200038123876
210202,BAC---1041,1,2,23553.726857142858,23553.72685714286,3.637978807091713e-12,"[6, 10]","[6, 10]",True,0.0,0.0,0.0,0.0,0.0,True,3.637978807091713e-12,3.637978807091713e-12,0.017190499987918884,0.0030767000280320644,0.2008209999767132,0.043050200038123876
210202,BAC---1041,2,0,19057.03428571429,19057.034285714286,3.637978807091713e-12,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.008662100008223206,0.0026382000069133937,0.2008209999767132,0.043050200038123876
210202,BAC---1041,2,1,22757.577142857146,22757.577142857146,0.0,[10],[10],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.008662100008223206,0.0026382000069133937,0.2008209999767132,0.043050200038123876
210202,BAC---1041,2,2,23553.726857142858,23553.72685714286,3.637978807091713e-12,"[6, 10]","[6, 10]",True,0.0,0.0,0.0,0.0,0.0,True,3.637978807091713e-12,3.637978807091713e-12,0.008662100008223206,0.0026382000069133937,0.2008209999767132,0.043050200038123876
210202,BAC---1041,3,0,2006.921765211865,2006.921765211865,0.0,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.023244600044563413,0.008534499967936426,0.2008209999767132,0.043050200038123876
210202,BAC---1041,3,1,2519.736003317715,2519.7360033177147,4.547473508864641e-13,[10],[10],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.023244600044563413,0.008534499967936426,0.2008209999767132,0.043050200038123876
