run_id,case,lambda_token,lambda_R,objective,normalized_objective_vs_L0500,normalized_objective_vs_L0000,objective_change_vs_L0000_pct,objective_change_vs_L0500_pct,fixed_cost,inventory_cost,reconfiguration_cost,robust_recourse_cost,normalized_robust_recourse_vs_L0500,normalized_robust_recourse_vs_L0000,recourse_change_vs_L0000_pct,B,budget_used,budget_utilization,budget_slack,canonical_total_adjustment,total_adjustment,canonical_RI,RI,RI_change_vs_L0000,RS,material_reconfiguration,changed_pair_count,largest_adjusted_pair_share,top3_adjusted_pair_share,active_depots,active_depot_ids,opened_depots,closed_depots,shortage_cost,transportation_cost,service_penalty,total_shortage,minimum_fill_rate,average_fill_rate,runtime_seconds,iterations,master_solves,subproblem_evaluations,cuts,lower_bound,upper_bound,relative_gap,status,certification_status,exact_certification_pass,global_coupling_diagnostic_status,global_coupling_diagnostic_source_status,reused_L0500
E5-210202-L0000,210202,L0000,0.0,1058206.9981404208,0.99945805957911,1.0,0.0,-0.05419404208899525,1120.9560000000001,105389.9999990062,0.0,951696.0421414145,0.9993974437851355,1.0,0.0,106510.9559990062,106510.95599900621,1.0000000000000002,-1.4551915228366852e-11,104.24386863060417,104.24386863060417,0.1278337634879958,0.1278337634879958,0.0,0.0,True,3,0.7272727215427851,0.9999999942700585,2,90016100|9624708,,,358719.19820692105,2327.9069580070372,590648.9369766916,5409.376433813081,2.220446049250313e-16,0.12211002619404426,1.5381404999643564,6,6,168,38,1058206.9981404205,1058206.9981404208,2.200237232063492e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210202-L0025,210202,L0025,0.0025,1058234.3217646715,0.9994838662658191,1.0000258206799792,0.0025820679979249306,-0.051613373418091246,1120.9560000000001,105367.1988794151,22.801119591109604,951723.3657656652,0.9994261369382242,1.0000287104527505,0.0028710452750546622,106510.9559990062,106510.95599900621,1.0000000000000002,-1.4551915228366852e-11,104.62388729045594,104.62388729045594,0.1282997785747599,0.1282997785747599,0.00046601508676410996,0.00021407299725412614,True,3,0.7282633314077828,0.9999999942908709,2,90016100|9624708,,,360815.2958720616,2026.7388158646058,588881.3310778218,5448.185023896603,6.661338147750939e-16,0.12199755661050034,1.2916576999705285,5,5,144,35,1058234.3217646712,1058234.3217646715,2.2001804219089216e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210202-L0100,210202,L0100,0.01,1058317.1206260375,0.9995620683467556,1.0001040651647648,0.010406516476479943,-0.043793165324435,1120.9560000000001,105298.10457762385,91.895421382351,951806.1646270312,0.9995130858869782,1.000115711824722,0.011571182472192021,106510.9559990062,106510.9559990062,1.0,0.0,105.77545898697693,105.77545898697693,0.12971194550434867,0.12971194550434867,0.0018781820163528695,0.0008627790495393586,True,3,0.7312217138100395,0.999999994353026,2,90016100|9624708,,,358762.0827369001,2315.8085331778293,590728.2733570774,5410.908024169672,4.440892098500626e-16,0.12165673968564707,1.1117919001262635,4,4,120,31,1058317.1206260372,1058317.1206260375,2.2000082878385342e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210202-L0500,210202,L0500,0.05,1058780.7942496866,1.0,1.0005422342795636,0.05422342795635693,0.0,1120.9560000000001,104911.1764875929,478.8235114133023,952269.8382506805,1.0,1.000602919507761,0.0602919507761035,106510.9559990062,106510.9559990062,1.0,0.0,112.22426048749267,112.22426048749267,0.13762008031004352,0.13762008031004352,0.009786316822047725,0.004495532942336655,True,3,0.7466666613441874,0.999999994677521,2,90016100|9624708,,,358942.64917865157,2264.867797194165,591062.3212748348,5417.3568256608505,1.3322676295501878e-15,0.11974816491655471,1.2333677001297474,4,4,120,31,1058780.7942496866,1058780.7942496866,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,MISSING_BY_REUSE_SCHEMA_SOURCE_REFERENCED,PASS,True
E5-210202-L2000,210202,L2000,0.2,1060814.859167269,1.001921138850109,1.002464414837013,0.24644148370129848,0.19211388501090276,1120.9560000000001,104445.99999938402,943.9999996221973,954303.9031682627,1.0021360173722595,1.002740224726563,0.2740224726563101,106510.9559990062,106510.95599900623,1.0000000000000002,-2.9103830456733704e-11,58.9999999763872,58.9999999763872,0.07235142116127283,0.07235142116127283,-0.05548234232672297,0.008862938002650218,True,3,0.7999999898758199,0.9999999898758216,2,90016100|9624708,,,361666.48571470566,2181.385167164103,590456.0322864964,5435.821428575628,1.2434497875801753e-14,0.12491735347322615,1.4760600998997688,7,7,192,35,1060814.8591672687,1060814.859167269,2.1948282647232127e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210628-L0000,210628,L0000,0.0,676700.8373029804,0.9999999999998034,1.0,0.0,-1.9662049766111522e-11,1909.9080000000001,75498.92307532002,0.0,599292.0062276603,0.9999999999997801,1.0,0.0,77408.83107532002,77408.83107532002,1.0,0.0,1.1365986493316882e-05,1.1365986493316882e-05,1.875432493322039e-08,1.875432493322039e-08,0.0,0.0,False,4,0.37942062793786585,0.879558334593855,2,90016100|9624708,,,227115.43076923076,2381.6379947191263,369794.9374615385,3207.1384615384613,0.0,0.14358015430156912,1.596153900027275,8,8,216,44,676700.8373029802,676700.8373029804,1.7203366008960914e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210628-L0025,210628,L0025,0.0025,676700.8373030825,0.9999999999999543,1.0000000000001508,1.5076828674409626e-11,-4.574118861455645e-12,1909.9080000000001,75498.92307532002,3.1372477948821142e-09,599292.0062277593,0.9999999999999453,1.0000000000001652,1.652011860642233e-11,77408.83107532002,77408.83107532316,1.0000000000000406,-3.14321368932724e-09,1.7784351769023488e-08,1.7784351769023488e-08,2.9344880182558256e-11,2.9344880182558256e-11,-1.8724980053037832e-08,4.052829310688754e-14,False,0,0.5880112268645684,1.0,2,90016100|9624708,,,227115.43076923076,2381.637997215383,369794.9374615385,3207.1384615384613,0.0,0.14358015430155144,1.3345520999282598,6,6,168,36,676700.8373030792,676700.8373030793,1.7203366008958397e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210628-L0100,210628,L0100,0.01,676700.8373030926,0.9999999999999692,1.0000000000001659,1.658673198789984e-11,-3.0753177782116836e-12,1909.9080000000001,75498.92307532002,1.326989007566226e-08,599292.0062277593,0.9999999999999453,1.0000000000001652,1.652011860642233e-11,77408.83107532002,77408.83107533329,1.0000000000001714,-1.3271346688270569e-08,1.898602164374097e-08,1.898602164374097e-08,3.132768275813453e-11,3.132768275813453e-11,-1.8722997250462257e-08,1.7142604908670493e-13,False,0,0.5824333048283243,1.0,2,90016100|9624708,,,227115.4307692308,2381.6379952724715,369794.9374615385,3207.1384615384613,0.0,0.14358015430157653,1.3214384999591857,6,6,168,39,676700.8373030793,676700.8373030793,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210628-L0500,210628,L0500,0.05,676700.8373031134,1.0,1.0000000000001967,1.9673151996357774e-11,0.0,1909.9080000000001,75498.9230752884,3.295336289224188e-08,599292.0062277921,1.0,1.0000000000002198,2.19824158875781e-11,77408.83107532002,77408.83107532136,1.0000000000000173,-1.3387762010097504e-09,1.83114039487009e-08,1.83114039487009e-08,3.02145370170305e-11,3.02145370170305e-11,-1.872411039620336e-08,4.2570547099694265e-13,False,0,0.5998693881225454,1.0,2,90016100|9624708,,,227115.4307692308,2381.63799702283,369794.9374615385,3207.1384615384613,0.0,0.14358015430158724,1.2426573000848293,5,5,144,34,676700.8373031134,676700.8373031134,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,MISSING_BY_REUSE_SCHEMA_SOURCE_REFERENCED,PASS,True
E5-210628-L2000,210628,L2000,0.2,676700.8373033447,1.0000000000003417,1.0000000000005385,5.384581669432009e-11,3.417266469796232e-11,1909.9080000000001,75498.92307532001,2.6540121211837686e-07,599292.0062277593,0.9999999999999453,1.0000000000001652,1.652011860642233e-11,77408.83107532002,77408.8310755854,1.0000000000034284,-2.653832780197263e-07,1.8986305860835273e-08,1.8986305860835273e-08,3.1328151727523265e-11,3.1328151727523265e-11,-1.8722996781492867e-08,3.4285650413728283e-12,False,0,0.5824395556279085,1.0,2,90016100|9624708,,,227115.43076923076,2381.6379958053794,369794.9374615385,3207.138461538461,0.0,0.1435801543014907,1.062599099939689,4,4,120,31,676700.8373030793,676700.8373030793,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
