case,gamma,beta,lambda_r,status,budget,objective,first_stage_expenditure,budget_utilization,robust_recourse_cost,total_inventory,active_depot_count,ri,ri_from_adjustments,reconfiguration_cost,rs,total_a_plus,total_a_minus,positive_changed_pairs,depot_activation_changes,balance_max_error,ri_representation_error,simultaneous_positive_adjustment_pairs,objective_accounting_error
210202,1,0.9,0.0,OPTIMAL,76152.87461821854,134054.09596896154,76152.87461821853,0.9999999999999998,57901.22135074304,5265.843996455597,11,0.6490031179480736,0.6490031179480736,0.0,0.0,1619.1607026838678,2129.7856572769892,55,2,0.0,0.0,0,2.9103830456733704e-11
210202,1,0.9,0.0025,OPTIMAL,76152.87461821854,134468.08354851385,76152.87461821864,1.0000000000000013,58315.20893029522,5262.618527266271,11,0.33523543043617304,0.33523543043614035,60.43214273327191,0.0007935635133439118,711.3133157117791,1225.1637394940383,39,2,1.8883383745560423e-10,1.8894752429332584e-10,0,1.4551915228366852e-11
210202,1,0.9,0.005,OPTIMAL,76152.87461821854,134804.61965587974,76152.87461821854,1.0,58651.74503766116,5259.167696553132,8,0.33780284611394074,0.33780284611394074,81.3998062711722,0.0010688999815077027,717.0031988287403,1234.3044533243267,46,5,0.0,0.0,0,3.637978807091713e-11
210202,1,0.9,0.01,OPTIMAL,76152.87461821854,135275.95114033998,76152.87461821844,0.9999999999999987,59123.07652212153,5258.468780857131,9,0.30939922431360756,0.30939922431360756,132.45222018360545,0.0017392937672758323,634.6174212672615,1152.6175914588503,40,4,1.7053025658242404e-13,2.2737367544323206e-13,0,7.275957614183426e-12
210202,1,0.9,0.025,OPTIMAL,76152.87461821854,136416.50197464105,76152.87461821856,1.0000000000000002,60263.627356422534,5259.049310670911,9,0.26236098142325426,0.2623609814232542,306.4650133596702,0.004024339394882837,499.0502113901445,1016.4698517679532,40,4,1.7053025658242404e-13,2.2737367544323206e-13,0,3.637978807091713e-11
210202,1,0.9,0.05,OPTIMAL,76152.87461821854,138154.90337415956,76152.8746182186,1.0000000000000007,62002.028755940955,5254.217692643409,9,0.20857952567368643,0.20857952567368643,559.1366042898103,0.007342291503675482,341.30094773660414,863.5522061419146,37,4,1.0658141036401503e-14,0.0,0,7.275957614183426e-12
210202,1,0.9,0.1,OPTIMAL,76152.87461821854,142039.63192900913,76152.87461821848,0.9999999999999992,65886.75731079059,5198.0649959551865,9,0.20103110780384081,0.20103110780384076,1116.5222538749294,0.014661590379515584,291.42299866514054,869.8269537586734,33,4,1.4566126083082054e-13,2.2737367544323206e-13,0,5.820766091346741e-11
210202,1,0.9,0.2,OPTIMAL,76152.87461821854,152430.1389601135,76152.8746182186,1.0000000000000007,76277.26434189492,4990.456158192643,9,0.171645250859905,0.17164525085990498,2164.5022905701753,0.028423119959969937,102.7453346655666,888.7581275216429,32,4,1.7053025658242404e-13,2.2737367544323206e-13,0,2.9103830456733704e-11
210202,1,0.9,0.4,OPTIMAL,76152.87461821854,185598.00064110057,76152.8746182186,1.0000000000000007,109445.12602288196,4348.945609429658,7,0.27230916548699646,0.27230916548699646,5531.21721315136,0.0726330718424133,72.7310489512809,1500.2543905703415,35,6,2.842170943040401e-14,0.0,0,1.4551915228366852e-11
210202,1,0.9,0.8,OPTIMAL,76152.87461821854,431068.82093865005,76152.8746182185,0.9999999999999994,354915.94632043154,3177.2189261670546,9,0.4499721277666992,0.44997212776669915,26500.68926390366,0.34799328845773775,0.0,2599.2500248816646,32,4,1.7053025658242404e-13,4.547473508864641e-13,0,0.0
210202,1,0.9,1.6,INFEASIBLE,76152.87461821854,,,,,,,,,,,,,,,,,,
210202,1,1.0,0.0,OPTIMAL,84614.30513135393,113164.57123020572,84564.42143901098,0.9994104579330232,28600.14979119475,5773.492468154314,13,0.08364104546707803,0.08364104546707803,0.0,0.0,240.0867096397128,243.0631925341176,21,0,0.0,0.0,0,1.4551915228366852e-11
210202,1,1.0,0.0025,OPTIMAL,84614.30513135393,113171.0845422307,84568.05888064308,0.9994534464280116,28603.025661587617,5773.460833424404,13,0.04847322864727652,0.048473228647276455,3.108995821481767,3.67431466423486e-05,138.49799130688115,141.50610893119662,14,0,2.5579538487363607e-13,3.410605131648481e-13,0,1.0913936421275139e-11
210202,1,1.0,0.005,OPTIMAL,84614.30513135393,113173.78901629124,84567.00259413954,0.9994409628828015,28606.786422151716,5773.3932485015985,13,0.0361866485533862,0.03618664855338614,4.859829258651723,5.743507851429376e-05,102.977674632013,106.05337717913403,10,0,2.8421709430404007e-13,3.694822225952521e-13,0,2.1827872842550278e-11
210202,1,1.0,0.01,OPTIMAL,84614.30513135393,113178.36136254208,84569.93303148447,0.999475595765981,28608.428331057607,5773.3932485015985,13,0.023777502240152175,0.02377750224015212,7.790266603612649,9.206796169417405e-05,67.1371504383045,70.21285298542558,9,0,2.5579538487363607e-13,3.126388037344441e-13,0,7.275957614183426e-12
210202,1,1.0,0.025,OPTIMAL,84614.30513135393,113188.08264885598,84575.53196946155,0.9995417658771505,28612.550679394437,5773.329197542741,13,0.01694493138587753,0.016944931385877472,16.049542365633826,0.00018967882961065232,47.371058261097026,50.51081176707514,9,0,2.5579538487363607e-13,3.268496584496461e-13,0,0.0
210202,1,1.0,0.05,OPTIMAL,84614.30513135393,113204.13219122177,84591.58151182721,0.9997314447067616,28612.550679394568,5773.329197542741,13,0.016944931385878048,0.01694493138587791,32.09908473126896,0.0003793576592213201,47.37105826109827,50.510811767076405,9,0,3.410605131648481e-13,8.100187187665142e-13,0,1.4551915228366852e-11
210202,1,1.0,0.1,OPTIMAL,84614.30513135393,113237.43211012325,84614.30513135393,1.0,28623.126978769298,5773.289780003534,13,0.01765866022708207,0.017658660227081843,60.5283020880113,0.0007153436052455682,49.412765736835624,52.59193678202155,11,0,5.115907697472721e-13,1.3358203432289883e-12,0,1.8189894035458565e-11
210202,1,1.0,0.2,OPTIMAL,84614.30513135393,113260.49201003119,84614.30513135396,1.0000000000000004,28646.186878677203,5770.419702903701,13,0.005733877037532663,0.005733877037532625,33.93262405710669,0.00040102703679277654,13.536157265710099,19.585405410728313,8,0,8.526512829121202e-14,2.2026824808563106e-13,0,2.1827872842550278e-11
210202,1,1.0,0.4,OPTIMAL,84614.30513135393,113310.18452811573,84614.30513135399,1.0000000000000007,28695.879396761775,5770.9968445356435,13,0.0049166154529212275,0.004916615452921142,50.49310145162651,0.0005967442665072035,11.464284997484809,16.936391510560497,8,0,4.263256414560601e-13,4.938272013532696e-13,0,3.637978807091713e-11
210202,1,1.0,0.8,OPTIMAL,84614.30513135393,113742.56203863944,84614.30513135393,1.0,29128.256907285526,5776.46895104872,13,3.6901924434187486e-17,0.0,0.0,0.0,0.0,0.0,0,0,1.2079226507921703e-13,2.1316282072803006e-13,0,1.4551915228366852e-11
210202,1,1.0,1.6,OPTIMAL,84614.30513135393,113742.56203864222,84614.3051313531,0.9999999999999902,29128.25690728909,5776.468951048571,13,2.5872848545730108e-14,4.633750049917966e-16,1.1660566632754069e-11,1.3780845466558386e-16,8.967617759481072e-13,1.779909553079051e-12,0,0,4.462208380573429e-12,1.4677703497056882e-10,0,2.9103830456733704e-11
210202,1,1.1,0.0,OPTIMAL,93075.73564448934,112802.97664731962,85096.58742739474,0.9142725205248806,27706.389219924873,5807.1901717495,14,0.11564014032088636,0.11564014032088638,0.0,0.0,349.35645037964923,318.6352296788679,35,1,0.0,1.1368683772161603e-13,0,7.275957614183426e-12
210202,1,1.1,0.0025,OPTIMAL,93075.73564448934,112814.0083339184,85106.88523106728,0.9143831594964797,27707.123102851117,5807.208337106438,14,0.06507152736418696,0.06507152736418689,7.90551077239681,8.493632328185489e-05,203.3115217371313,172.57213567941136,24,1,3.0686564400639327e-13,3.979039320256561e-13,0,7.275957614183426e-12
210202,1,1.1,0.005,OPTIMAL,93075.73564448934,112819.04346257201,85112.9553602059,0.9144483765919622,27706.08810236611,5807.315703993113,14,0.029478289046073882,0.029478289046073688,7.34687642255543,7.89343900607721e-05,100.56358717453881,69.7168342301454,20,1,3.410605131648481e-13,1.1368683772161603e-12,0,3.637978807091713e-12
210202,1,1.1,0.01,OPTIMAL,93075.73564448934,112824.11390406164,85121.0278742174,0.9145351071878108,27703.086029844246,5807.373696854727,14,0.02129425607432761,0.021294256074327573,9.176474147922912,9.859147590273401e-05,76.95517742752125,46.050431621512566,17,1,1.1368683772161603e-13,2.1316282072803006e-13,0,3.637978807091713e-12
210202,1,1.1,0.025,OPTIMAL,93075.73564448934,112835.40717496253,85130.03429409055,0.9146318716110065,27705.372880871975,5807.40294692609,14,0.01723879495025378,0.01723879495025374,16.620103543454032,0.00017856537397604815,65.25667983050386,34.3226839531323,13,1,1.1368683772161603e-13,2.5579538487363607e-13,0,0.0
210202,1,1.1,0.05,OPTIMAL,93075.73564448934,112851.54071765917,85142.23665691208,0.9147629730493892,27709.3040607471,5807.407591001906,14,0.011293543735753505,0.011293543735753418,28.607414133379926,0.000307356304361089,48.08772234503889,17.149082391851493,9,1,2.2737367544323206e-13,4.973799150320701e-13,0,1.0913936421275139e-11
210202,1,1.1,0.1,OPTIMAL,93075.73564448934,112873.03383988589,85155.62070875868,0.9149067704822424,27717.41313112723,5807.408745449126,14,0.008770323487628231,0.008770323487628151,41.87127623071243,0.0004498624259134875,40.80064785867243,9.860853458264902,7,1,1.1368683772161603e-13,4.547473508864641e-13,0,2.1827872842550278e-11
210202,1,1.1,0.2,OPTIMAL,93075.73564448934,112914.90511611661,85197.49198498938,0.9153566329081558,27717.413131127247,5807.408745449126,14,0.008770323487628191,0.008770323487628143,83.74255246142474,0.0008997248518269736,40.80064785867242,9.860853458264858,7,1,8.526512829121202e-14,2.8421709430404007e-13,0,1.0913936421275139e-11
210202,1,1.1,0.4,OPTIMAL,93075.73564448934,112978.07087938079,85071.95465458717,0.9140078675233545,27906.116224793634,5798.325090929803,14,0.007197796292156335,0.007197796292156233,107.69085267609913,0.0011570239217601618,31.716993339349177,9.860853458264899,6,1,2.779998453661392e-13,5.897504706808832e-13,0,1.8189894035458565e-11
210202,1,1.1,0.8,OPTIMAL,93075.73564448934,113057.09286908222,85117.40952833813,0.9144962319014195,27939.683340744086,5798.325090929803,14,0.0037836505426238343,0.0037836505426237063,153.14572642705886,0.0016453882998251224,21.856139881084477,0.0,3,1,4.263256414560601e-13,7.389644451905042e-13,0,0.0
210202,1,1.1,1.6,OPTIMAL,93075.73564448934,113183.55551514715,84939.10496405028,0.912580538589374,28244.450551096903,5789.664762523313,14,0.0022844079292070395,0.0022844079292069744,102.32204318339251,0.0010993417615759733,13.195811474593587,0.0,2,1,2.913225216616411e-13,3.765876499528531e-13,0,2.9103830456733704e-11
210202,2,0.9,0.0,OPTIMAL,76152.87461821854,139819.3006299691,76152.87461821853,0.9999999999999998,63666.42601175055,5262.880257579265,11,0.6389523719115525,0.6389523719115525,0.0,0.0,1588.6499220382814,2102.238615507735,58,2,0.0,0.0,0,2.9103830456733704e-11
210202,2,0.9,0.0025,OPTIMAL,76152.87461821854,140275.30457178998,76152.87461821864,1.0000000000000013,64122.4299535713,5261.221912375831,11,0.35675912401481863,0.35675912401476834,65.0313137745339,0.0008539574389090236,772.7804821010258,1288.0275207736227,42,2,2.906972440541722e-10,2.9058355721645057e-10,0,3.637978807091713e-11
210202,2,0.9,0.005,OPTIMAL,76152.87461821854,140732.4741401638,76152.87461821863,1.000000000000001,64579.59952194514,5233.652319631964,10,0.3378992462021048,0.3378992462016651,127.42756302158503,0.0016733125789462938,704.523936425038,1247.3405678416475,38,3,1.4517809177050367e-10,2.5399913283763453e-09,0,2.9103830456733704e-11
210202,2,0.9,0.01,OPTIMAL,76152.87461821854,141650.76594736357,76152.87461821856,1.0000000000000002,65497.89132914506,5241.423048410986,10,0.31612652805548197,0.3161265280553335,247.8709089758522,0.0032549120465710226,645.5245856383659,1180.5704882760995,35,3,2.1316282072803006e-14,8.578808774473146e-10,0,4.3655745685100555e-11
210202,2,0.9,0.025,OPTIMAL,76152.87461821854,143345.25891952077,76152.8746182185,0.9999999999999994,67192.38430130226,5218.320188936466,9,0.23288523001763767,0.23288523001763767,298.7588440765478,0.003923145982004385,393.5527691212351,951.7015312334879,38,4,0.0,0.0,0,1.4551915228366852e-11
210202,2,0.9,0.05,OPTIMAL,76152.87461821854,145822.56157767976,76152.87461821857,1.0000000000000004,69669.68695946122,5108.817372100776,10,0.22234793472721856,0.22234793472721853,541.0540433953294,0.0071048407050663,308.3671811668212,976.018760114764,26,3,0.0,2.2737367544323206e-13,0,2.9103830456733704e-11
210202,2,0.9,0.1,OPTIMAL,76152.87461821854,150796.4802399677,76152.87461821854,1.0,74643.60562174916,5031.979765284519,10,0.1810957783508385,0.18109577835083845,1004.8703923777441,0.01319543611998256,150.80247752270947,895.2916632869097,23,3,2.842170943040401e-14,2.2737367544323206e-13,0,0.0
210202,2,0.9,0.2,OPTIMAL,76152.87461821854,161452.27997044584,76152.8746182186,1.0000000000000007,85299.40535222727,4639.677708475863,10,0.22752340972340565,0.22752340972340565,2138.5619337444364,0.02808248466608527,88.74533466556659,1225.5365772384223,23,3,2.842170943040401e-14,0.0,0,2.9103830456733704e-11
210202,2,0.9,0.4,OPTIMAL,76152.87461821854,195482.15165177552,76152.8746182186,1.0000000000000007,119329.27703355691,4129.912728067564,8,0.31022729215196,0.31022729215196,5546.761124631385,0.07283718641534247,72.7310489512809,1719.2872719324357,35,5,1.4210854715202004e-14,2.2737367544323206e-13,0,1.4551915228366852e-11
210202,2,0.9,0.8,OPTIMAL,76152.87461821854,441204.9424683312,76152.87461821853,0.9999999999999998,365052.0678501126,3144.7184731434604,9,0.4555984806994357,0.4555984806994356,26500.689263903474,0.3479932884577353,0.0,2631.750477905259,33,4,1.4210854715202004e-13,4.547473508864641e-13,0,5.820766091346741e-11
210202,2,0.9,1.6,INFEASIBLE,76152.87461821854,,,,,,,,,,,,,,,,,,
210202,2,1.0,0.0,OPTIMAL,84614.30513135393,116815.11494450644,84614.30513135395,1.0000000000000002,32200.80981315251,5773.357545429824,13,0.09732384420268013,0.09732384420268013,0.0,0.0,279.53837930729514,282.64978492618945,22,0,0.0,0.0,0,2.1827872842550278e-11
210202,2,1.0,0.0025,OPTIMAL,84614.30513135393,116824.68044866312,84614.30513135395,1.0000000000000002,32210.375317309175,5773.278572910126,13,0.06347088011696297,0.06347088011696288,4.148802368795347,4.903192624881586e-05,181.7235950763892,184.91397321498238,16,0,2.8421709430404007e-13,5.115907697472721e-13,0,7.275957614183426e-12
