case,gamma,beta,lambda_r,status,objective,best_bound,mip_gap,runtime_seconds,node_count,scenario_count,variable_count,constraint_count,nonzero_count,peak_memory_gb,method,budget,activation_cost,final_inventory_cost,reconfiguration_cost,first_stage_expenditure,budget_slack,budget_utilization,robust_recourse_cost,total_inventory,active_depot_count,ri,ri_from_adjustments,rs,active_depot_changes,first_stage_accounting_error,objective_accounting_error,reconfiguration_identity_error,simultaneous_positive_adjustment_pairs,direct_robust_recourse_difference,error_message
210202,0,0.9,0.0,OPTIMAL,129500.10496056252,129500.10496056252,0.0,0.04800009727478027,1.0,1,1928,489,5631,,factorized_exact_extensive_form,76152.87461821854,3988.2128355176483,72164.6617827009,0.0,76152.87461821856,-1.4551915228366852e-11,1.0000000000000002,53347.23034234395,5342.532560969214,9,0.48241980189510797,0.48241980189510797,0.0,4,0.0,7.275957614183426e-12,0.0,0,0.0,
210202,0,0.9,0.0025,OPTIMAL,129675.66104692762,129675.66104692762,0.0,0.05299997329711914,1.0,1,1928,489,5871,,factorized_exact_extensive_form,76152.87461821854,3988.2128355176483,72126.44958370658,38.21219899435418,76152.87461821857,-2.9103830456733704e-11,1.0000000000000004,53522.78642870905,5338.905222667988,9,0.31054744446557075,0.31054744446557075,0.0005017827519437124,4,1.4551915228366852e-11,0.0,2.842170943040401e-14,0,0.0,
210202,0,0.9,0.05,OPTIMAL,132317.88940603577,132317.88940603577,0.0,0.03900003433227539,1.0,1,1928,489,5871,,factorized_exact_extensive_form,76152.87461821854,4014.9201623576896,71565.98204155527,571.9724143056216,76152.87461821862,-7.275957614183426e-11,1.0000000000000009,56165.01478781721,5270.118927786072,10,0.1998536575887219,0.1998536575887219,0.0075108446946109755,3,2.9103830456733704e-11,5.093170329928398e-11,1.7053025658242404e-13,0,7.275957614183426e-12,
210202,0,0.9,0.2,OPTIMAL,143862.13300720154,143862.1330072015,0.0,0.03900003433227539,1.0,1,1928,489,5871,,factorized_exact_extensive_form,76152.87461821854,4011.5287027376917,69733.57287434259,2407.7730411383004,76152.8746182186,-5.820766091346741e-11,1.0000000000000007,67709.25838898294,5187.122151062442,10,0.1803783860613896,0.1803783860613896,0.031617625115392206,3,2.9103830456733704e-11,0.0,5.329070518200751e-15,0,0.0,
210202,0,1.0,0.0,OPTIMAL,108999.13573275975,108999.13573275975,0.0,0.018000125885009766,1.0,1,1928,489,5631,,factorized_exact_extensive_form,84614.30513135393,4503.661236324868,80110.64389502906,0.0,84614.30513135393,0.0,1.0,24384.83060140581,5776.468951048722,13,1.0844753861811102e-14,1.0844753861811102e-14,0.0,0,0.0,7.275957614183426e-12,0.0,0,0.0,
210202,0,1.0,0.0025,OPTIMAL,108999.13573275974,108999.13573275974,0.0,0.023999929428100586,1.0,1,1928,489,5871,,factorized_exact_extensive_form,84614.30513135393,4503.661236324868,80110.64389502906,-1.3094589047174532e-13,84614.30513135396,-2.9103830456733704e-11,1.0000000000000004,24384.830601405793,5776.468951048723,13,7.115690458031439e-15,-2.2842291224762054e-15,-1.5475620850217578e-18,0,2.9103830456733704e-11,1.8189894035458565e-11,4.305888978706207e-12,0,1.8189894035458565e-11,
210202,0,1.0,0.05,OPTIMAL,108999.13573275965,108999.13573275965,0.0,0.017999887466430664,1.0,1,1928,489,5871,,factorized_exact_extensive_form,84614.30513135393,4503.661236324868,80110.64389502903,0.0,84614.3051313539,2.9103830456733704e-11,0.9999999999999997,24384.83060140576,5776.468951048715,13,3.1575746674186425e-15,0.0,0.0,0,0.0,1.4551915228366852e-11,1.1070255823142361e-11,0,5.093170329928398e-11,
210202,0,1.0,0.2,OPTIMAL,108999.13573275963,108999.13573275963,0.0,0.018000125885009766,1.0,1,1928,489,5871,,factorized_exact_extensive_form,84614.30513135393,4503.661236324868,80110.64389502902,0.0,84614.3051313539,2.9103830456733704e-11,0.9999999999999997,24384.830601405745,5776.468951048714,13,3.814428922347179e-15,0.0,0.0,0,1.4551915228366852e-11,1.4551915228366852e-11,1.3159251466277055e-11,0,6.548361852765083e-11,
210202,0,1.1,0.0,OPTIMAL,108999.13573275978,108999.13573275977,0.0,0.021000146865844727,1.0,1,1928,489,5631,,factorized_exact_extensive_form,93075.73564448934,4503.661236324868,80110.64389502905,0.0,84614.30513135392,8461.43051313542,0.9090909090909088,24384.830601405854,5776.468951048719,13,4.1714550412479433e-16,4.1714550412479433e-16,0.0,0,0.0,7.275957614183426e-12,0.0,0,4.3655745685100555e-11,
210202,0,1.1,0.0025,OPTIMAL,108999.13573275978,108999.13573275978,0.0,0.023000001907348633,1.0,1,1928,489,5871,,factorized_exact_extensive_form,93075.73564448934,4503.661236324868,80110.64389502905,0.0,84614.30513135393,8461.430513135405,0.909090909090909,24384.830601405854,5776.468951048719,13,4.2706289631648224e-16,0.0,0.0,0,1.4551915228366852e-11,7.275957614183426e-12,6.394884621840902e-13,0,4.3655745685100555e-11,
