run_id,case,beta,objective,robust_recourse_cost,RI,RS,total_adjustment,budget_utilization,worst_recourse_shortage_cost,worst_recourse_service_penalty_cost,worst_recourse_total_shortage,minimum_fill_rate,average_fill_rate,active_depots,B,B_ref,first_stage_economic_cost,fixed_cost,inventory_cost,reconfiguration_cost,budget_used,budget_slack,total_a_plus,total_a_minus,changed_pair_count,opened_depots,closed_depots,transport_cost,worst_region,runtime_seconds,iterations,master_solves,product_subproblem_evaluations,cuts_added,certification_status,status,objective_delta_pct_vs_B100,objective_absolute_change_from_previous_beta,objective_change_vs_B100,recourse_delta_pct_vs_B100,recourse_change_vs_B100,RI_delta_vs_B100,RS_delta_vs_B100,budget_utilization_delta_vs_B100,total_adjustment_delta_vs_B100,shortage_cost_delta_vs_B100,service_penalty_delta_vs_B100,average_fill_rate_delta_vs_B100,normalized_objective,normalized_robust_recourse,budget_feasibility_pass,reused_from_E1_or_E2
E3-210202-B080,210202,0.8,1070819.5202181868,985610.7554189813,0.36401789929283007,0.013150460364501033,296.8435962274837,1.0000000000000064,373148.5596246052,611697.869019781,5697.2650248174805,0.0,0.08892772056470444,1,85208.76479920496,106510.9559990062,85208.76479920551,1108.92,82979.31031500548,1120.5344842000356,85208.76479920551,-5.529727786779404e-10,0.0,296.8435962274837,4,,9624708,764.3267745950725,12,1.0246602999977767,3,3,96,26,CERTIFIED_PRB_EXACT,OPTIMAL,1.1370366778357999,,12038.725968500134,3.5012047876627164,33340.91716830083,0.22639781898278655,0.008654927422164378,6.439293542825908e-15,184.61933573999104,14205.910445953603,20635.547744946205,-0.030820444351850274,1.011370366778358,1.0350120478766272,True,False
E3-210202-B090,210202,0.9,1062530.0572092677,966670.1968101623,0.33422785189567455,0.009661945287331568,272.5508765059043,0.9999999999999999,366377.6837760395,599171.7486999587,5629.556266331824,0.0,0.09264244201171108,2,95859.86039910559,106510.9559990062,95859.86039910557,1120.9560000000001,93812.71167267817,926.1927264274002,95859.86039910557,1.4551915228366852e-11,21.708019381937447,250.8428571239668,4,,,1120.7643341640942,12,1.1620068999473006,4,4,120,28,CERTIFIED_PRB_EXACT,OPTIMAL,0.3541113495771375,-8289.463008919032,3749.2629595811013,1.512214078515314,14400.3585594818,0.19660777158563103,0.005166412344994913,-1.1102230246251565e-16,160.3266160184116,7435.034597387945,8109.427425123868,-0.02710572290484363,1.0035411134957715,1.0151221407851532,True,False
E3-210202-B100,210202,1.0,1058780.7942496866,952269.8382506805,0.13762008031004352,0.004495532942336655,112.22426048749267,1.0,358942.64917865157,591062.3212748348,5417.3568256608505,1.3322676295501878e-15,0.11974816491655471,2,106510.9559990062,106510.9559990062,106510.9559990062,1120.9560000000001,104911.1764875929,478.8235114133023,106510.9559990062,0.0,28.430145990164846,83.79411449732783,3,,,2264.867797194165,12,1.2333677001297474,4,4,120,31,CERTIFIED_PRB_EXACT,OPTIMAL,0.0,-3749.2629595811013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,True
E3-210202-B110,210202,1.1,1057867.6845983027,946580.4640729488,0.03486375367854438,0.001941252861463556,28.430145990164828,0.9498572191816438,356596.41397242947,586721.7861428572,5333.5627111528665,2.220446049250313e-16,0.13770478974292258,2,117162.05159890682,106510.9559990062,111287.2205253539,1120.9560000000001,109938.82335743257,227.44116792131865,111287.2205253539,5874.831073552923,28.430145990164828,0.0,1,,,3262.2639576621586,12,1.2874638000503182,5,5,144,36,CERTIFIED_PRB_EXACT,OPTIMAL,-0.08624161453844903,-913.1096513839439,-913.1096513839439,-0.5974539935217384,-5689.37417773169,-0.10275632663149914,-0.002554280080873099,-0.050142780818356214,-83.79411449732784,-2346.2352062221034,-4340.535131977638,0.017956624826367867,0.9991375838546155,0.9940254600647827,True,False
E3-210202-B120,210202,1.2,1057867.6845983027,946580.4640729488,0.03486375367854438,0.0017794817896749264,28.430145990164828,0.8707024509165069,356596.41397242947,586721.7861428572,5333.5627111528665,2.220446049250313e-16,0.13770478974292258,2,127813.14719880743,106510.9559990062,111287.2205253539,1120.9560000000001,109938.82335743257,227.44116792131865,111287.2205253539,16525.926673453534,28.430145990164828,0.0,1,,,3262.2639576621586,12,1.3830013999249786,5,5,144,36,CERTIFIED_PRB_EXACT,OPTIMAL,-0.08624161453844903,0.0,-913.1096513839439,-0.5974539935217384,-5689.37417773169,-0.10275632663149914,-0.0027160511526617285,-0.1292975490834931,-83.79411449732784,-2346.2352062221034,-4340.535131977638,0.017956624826367867,0.9991375838546155,0.9940254600647827,True,False
E3-210628-B080,210628,0.8,682892.3111317453,620965.2462714892,0.3893181502885004,0.013146676106608642,235.94476759566163,1.0000000000000013,235252.61522349788,384848.7287019326,3443.0832291580555,0.0,0.08546868080555299,1,61927.06486025602,77408.83107532002,61927.064860256105,1896.708,59216.22179630538,814.1350639507314,61927.064860256105,-8.731149137020111e-11,0.0,235.94476759566163,4,,9624708,863.9023460587487,12,1.2240196000784636,3,3,96,26,CERTIFIED_PRB_EXACT,OPTIMAL,0.9149499287317392,,6191.473828631919,3.6164740758212317,21673.240043697064,0.38931815027037564,0.013146676106182937,-1.5987211554602254e-14,235.94476758467718,8137.184454267088,15053.791240394115,-0.05811147349603425,1.0091494992873173,1.0361647407582124,True,False
E3-210628-B090,210628,0.9,678651.0326676909,608983.0846998998,0.2240835387894906,0.005847953216873162,135.80496681039267,1.0000000000000449,230917.96984034995,376829.63474318635,3342.9434283641453,0.0,0.10440202442779271,2,69667.94796778802,77408.83107532002,69667.94796779114,1909.9080000000001,67350.62506735997,407.414900431178,69667.94796779114,-3.128661774098873e-09,0.0,135.80496681039267,1,,,1235.4801163634402,12,1.2845968999899924,5,5,144,31,CERTIFIED_PRB_EXACT,OPTIMAL,0.28819165827393756,-4241.278464054456,1950.195364577463,1.6170878922793523,9691.078472107649,0.22408353877136583,0.005847953216447457,2.7533531010703882e-14,135.80496679940822,3802.5390711191576,7034.697281647881,-0.03917812987379453,1.0028819165827394,1.0161708789227935,True,False
E3-210628-B100,210628,1.0,676700.8373031134,599292.0062277921,1.8124781797773607e-11,4.2570547099694265e-13,1.098445429741396e-08,1.0000000000000173,227115.4307692308,369794.9374615385,3207.1384615384613,0.0,0.14358015430158724,2,77408.83107532002,77408.83107532002,77408.83107532136,1909.9080000000001,75498.9230752884,3.295336289224188e-08,77408.83107532136,-1.3387762010097504e-09,0.0,1.098445429741396e-08,0,,,2381.63799702283,12,1.2426573000848293,5,5,144,34,CERTIFIED_PRB_EXACT,OPTIMAL,0.0,-1950.195364577463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,True
E3-210628-B110,210628,1.1,676700.8373030176,599292.0062260946,3.891982819238343e-11,0.0,0.0,0.9090909091097352,227115.4307692308,369794.9374615385,3207.1384615384613,0.0,0.14358015430158733,2,85149.71418285203,77408.83107532002,77408.83107692306,1909.9080000000001,75498.92307692306,0.0,77408.83107692306,7740.883105928966,0.0,0.0,0,,,2381.6379953252617,12,1.455795400077477,5,5,144,32,CERTIFIED_PRB_EXACT,OPTIMAL,-1.4158370225372047e-11,-9.580980986356735e-08,-9.580980986356735e-08,-2.832622837013304e-10,-1.6975682228803635e-06,2.079504639460982e-11,-4.2570547099694265e-13,-0.0909090908902821,-1.098445429741396e-08,0.0,0.0,8.326672684688674e-17,0.9999999999998584,0.9999999999971674,True,False
E3-210628-B120,210628,1.2,676700.8373030176,599292.0062260946,3.891982819238343e-11,0.0,0.0,0.8333333333505906,227115.4307692308,369794.9374615385,3207.1384615384613,0.0,0.14358015430158733,2,92890.59729038403,77408.83107532002,77408.83107692306,1909.9080000000001,75498.92307692306,0.0,77408.83107692306,15481.76621346097,0.0,0.0,0,,,2381.6379953252617,12,1.3807689999230206,5,5,144,32,CERTIFIED_PRB_EXACT,OPTIMAL,-1.4158370225372047e-11,0.0,-9.580980986356735e-08,-2.832622837013304e-10,-1.6975682228803635e-06,2.079504639460982e-11,-4.2570547099694265e-13,-0.16666666664942675,-1.098445429741396e-08,0.0,0.0,8.326672684688674e-17,0.9999999999998584,0.9999999999971674,True,False
