case,depot_id,product_id,x0,inventory_upper_bound,rhoUB,ub_zero,compatible,absolute_excess
210202,90015100,BAC---1041,0.0,283.4419218914714,0.0,no,yes,0.0
210202,90015100,BAC-O-4312,0.0,226.75353751317712,0.0,no,yes,0.0
210202,90015100,BAC-O-4325,0.0,337.4308593946088,0.0,no,yes,0.0
210202,90015100,BAC-O-6423,0.0,337.4308593946088,0.0,no,yes,0.0
210202,90015100,BAC-O-6433,0.0,449.90781252614505,0.0,no,yes,0.0
210202,90015100,CON-S-0130,0.0,708.6048047286785,0.0,no,yes,0.0
210202,90015100,SLI---0770,0.0,566.8838437829428,0.0,no,yes,0.0
210202,90015100,SLI---1200,0.0,318.4740695409791,0.0,no,yes,0.0
210202,90016100,BAC---1041,0.0,384.1684772718565,0.0,no,yes,0.0
210202,90016100,BAC-O-4312,0.0,307.3347818174852,0.0,no,yes,0.0
210202,90016100,BAC-O-4325,0.0,457.34342532363866,0.0,no,yes,0.0
210202,90016100,BAC-O-6423,0.0,457.34342532363866,0.0,no,yes,0.0
210202,90016100,BAC-O-6433,0.0,609.7912337648515,0.0,no,yes,0.0
210202,90016100,CON-S-0130,0.0,846.9321428571429,0.0,no,yes,0.0
210202,90016100,SLI---0770,0.0,768.336954543713,0.0,no,yes,0.0
210202,90016100,SLI---1200,0.0,431.6499744627601,0.0,no,yes,0.0
210202,90016200,BAC---1041,0.0,603.3535714285715,0.0,no,yes,0.0
210202,90016200,BAC-O-4312,0.0,376.26428571428573,0.0,no,yes,0.0
210202,90016200,BAC-O-4325,0.0,756.8486665801966,0.0,no,yes,0.0
210202,90016200,BAC-O-6423,0.0,756.8486665801966,0.0,no,yes,0.0
210202,90016200,BAC-O-6433,0.0,1009.131555440262,0.0,no,yes,0.0
210202,90016200,CON-S-0130,0.0,846.9321428571429,0.0,no,yes,0.0
210202,90016200,SLI---0770,0.0,1112.3035714285716,0.0,no,yes,0.0
210202,90016200,SLI---1200,0.0,555.9107142857143,0.0,no,yes,0.0
210202,90016500,BAC---1041,0.0,26.686751505963606,0.0,no,yes,0.0
210202,90016500,BAC-O-4312,0.0,21.349401204770885,0.0,no,yes,0.0
210202,90016500,BAC-O-4325,0.0,31.769942269004293,0.0,no,yes,0.0
210202,90016500,BAC-O-6423,0.0,31.769942269004293,0.0,no,yes,0.0
210202,90016500,BAC-O-6433,0.0,42.35992302533906,0.0,no,yes,0.0
210202,90016500,CON-S-0130,0.0,66.71687876490901,0.0,no,yes,0.0
210202,90016500,SLI---0770,0.0,53.37350301192721,0.0,no,yes,0.0
210202,90016500,SLI---1200,0.0,29.9851140516445,0.0,no,yes,0.0
210202,90016700,BAC---1041,0.0,498.7694602261422,0.0,no,yes,0.0
210202,90016700,BAC-O-4312,0.0,376.26428571428573,0.0,no,yes,0.0
210202,90016700,BAC-O-4325,0.0,593.7731669358835,0.0,no,yes,0.0
210202,90016700,BAC-O-6423,0.0,593.7731669358835,0.0,no,yes,0.0
210202,90016700,BAC-O-6433,0.0,791.6975559145114,0.0,no,yes,0.0
210202,90016700,CON-S-0130,0.0,846.9321428571429,0.0,no,yes,0.0
210202,90016700,SLI---0770,0.0,997.5389204522844,0.0,no,yes,0.0
210202,90016700,SLI---1200,0.0,555.9107142857143,0.0,no,yes,0.0
210202,90016900,BAC---1041,0.0,603.3535714285715,0.0,no,yes,0.0
210202,90016900,BAC-O-4312,0.0,376.26428571428573,0.0,no,yes,0.0
