case,B_ref,objective_B080,objective_B090,objective_B100,objective_B110,objective_B120,normalized_objective_B080,normalized_objective_B090,normalized_objective_B100,normalized_objective_B110,normalized_objective_B120,first_empirical_plateau_beta,B110_vs_B120_objective_change,B110_budget_utilization,B120_budget_utilization,B110_budget_slack,B120_budget_slack,B100_RI,B080_RI,B090_RI
210202,106510.9559990062,1070819.5202181868,1062530.0572092677,1058780.7942496866,1057867.6845983027,1057867.6845983027,1.011370366778358,1.0035411134957715,1.0,0.9991375838546155,0.9991375838546155,1.1,0.0,0.9498572191816438,0.8707024509165069,5874.831073552923,16525.926673453534,0.13762008031004352,0.36401789929283007,0.33422785189567455
210628,77408.83107532002,682892.3111317453,678651.0326676909,676700.8373031134,676700.8373030176,676700.8373030176,1.0091494992873173,1.0028819165827394,1.0,0.9999999999998584,0.9999999999998584,1.0,0.0,0.9090909091097352,0.8333333333505906,7740.883105928966,15481.76621346097,1.8124781797773607e-11,0.3893181502885004,0.2240835387894906
210129,90311.11199905835,861628.5253965204,854321.8321644915,851260.2478325499,850751.9629470824,850751.9629470824,1.0121799151203994,1.0035965315421893,1.0,0.9994029030642959,0.9994029030642959,1.1,0.0,0.934003220207509,0.85616961852355,6556.266828558524,15587.378028464358,0.08565494889792966,0.3515237908247434,0.2989984730384073
210310,76394.09199991751,723343.7230780666,717196.6339085782,714814.5477077012,714814.547707342,714814.547707342,1.0119320114534842,1.0033324534433665,1.0,0.9999999999994974,0.9999999999994974,1.0,0.0,0.9090909090960047,0.8333333333380043,7639.409199563554,15278.818399555297,0.0,0.3403194614703833,0.24061601203278637
210330,65650.34742795816,664379.9192111919,659625.5864502352,657659.5492546142,657456.3208219801,657456.3208219801,1.010218615337061,1.0029894452195658,1.0,0.9996909823131674,0.9996909823131674,1.1,0.0,0.9283223149161206,0.8509621220064443,5176.231421447301,11741.26616424309,0.06521114504009128,0.3726936428263184,0.2953887670158687
210323,68276.20285663515,633424.4144599607,629066.3757005916,627147.2289325014,627009.4482307294,627009.4482307294,1.0100091098834065,1.0030601215784,1.0,0.9997803056516625,0.9997803056516625,1.1,0.0,0.9209302759014503,0.8441860862429962,5938.438574607833,12766.05886027134,0.0394265819792268,0.3827496376459638,0.2654714912541972
210428,75911.97599934557,800150.7750716611,795660.3209493209,793717.3880816748,793717.3880816456,793717.3880816456,1.008105387492562,1.0024478900132727,1.0,0.9999999999999631,0.9999999999999631,1.0,0.0,0.9090909090991834,0.8333333333409182,7591.19759924362,15182.39519917818,3.0942602355362093e-12,0.37910838300907174,0.22529927132160063
210611,64656.257997955974,623354.3933212913,619142.2796216115,617415.6681423202,617415.6681420989,617415.6681420989,1.009618682332503,1.002796513869637,1.0,0.9999999999996415,0.9999999999996415,1.0,0.0,0.9090909091196492,0.8333333333596784,6465.625797751549,12931.251597547147,7.500210320133502e-11,0.3647985298534134,0.22859551673613795
