case,gamma,beta,lambda_r,comparison_status,objective_difference,first_stage_difference,robust_recourse_difference,maximum_x_difference,fr_min_difference,exact_certification_pass,prb_certification_pass,exact_first_stage_feasible,prb_first_stage_feasible
210202,2,1.0,0.2,EXACT_SOLUTION_IDENTITY,1.1641532182693481e-10,1.4551915228366852e-11,9.094947017729282e-11,3.353761712787673e-12,3.802513859341161e-13,True,True,True,True
210202,2,1.1,0.0,OPTIMAL_FACE_EQUIVALENT,5.820766091346741e-11,1.4551915228366852e-10,2.0736479200422764e-10,203.06688744493735,1.878497357665765e-12,True,True,True,True
210202,2,1.1,0.0025,EXACT_SOLUTION_IDENTITY,5.820766091346741e-11,1.3096723705530167e-10,1.0186340659856796e-10,8.227516445913352e-10,4.244937734654286e-12,True,True,True,True
210202,2,1.1,0.05,EXACT_SOLUTION_IDENTITY,4.3655745685100555e-11,2.9103830456733704e-11,1.8189894035458565e-11,1.2857270803579013e-11,6.052935930256353e-13,True,True,True,True
210202,2,1.1,0.2,EXACT_SOLUTION_IDENTITY,2.9103830456733704e-11,1.4551915228366852e-11,3.637978807091713e-12,1.1107204045401886e-10,6.106226635438361e-13,True,True,True,True
210628,0,0.9,0.0,EXACT_SOLUTION_IDENTITY,7.275957614183426e-11,1.4551915228366852e-11,1.0186340659856796e-10,1.1448797465618554e-09,3.886890809212673e-13,True,True,True,True
210628,0,0.9,0.0025,EXACT_SOLUTION_IDENTITY,8.891220204532146e-09,8.89849616214633e-09,1.4551915228366852e-11,2.5767299405288213e-10,1.021405182655144e-14,True,True,True,True
210628,0,0.9,0.05,EXACT_SOLUTION_IDENTITY,4.511093720793724e-10,2.546585164964199e-10,1.8189894035458565e-10,2.417550604150165e-10,1.6586731987899839e-13,True,True,True,True
210628,0,0.9,0.2,EXACT_SOLUTION_IDENTITY,3.055902197957039e-10,5.093170329928398e-11,3.2014213502407074e-10,1.3145040611561853e-12,1.7055246104291655e-12,True,True,True,True
210628,0,1.0,0.0,EXACT_SOLUTION_IDENTITY,0.0,2.1827872842550278e-11,3.637978807091713e-12,6.212303560459986e-09,3.3306690738754696e-16,True,True,True,True
210628,0,1.0,0.0025,EXACT_SOLUTION_IDENTITY,2.6047928258776665e-09,4.3655745685100555e-11,2.6539055397734046e-09,2.5563196004441124e-10,1.887379141862766e-15,True,True,True,True
210628,0,1.0,0.05,EXACT_SOLUTION_IDENTITY,2.9103830456733704e-11,2.9103830456733704e-11,3.637978807091713e-12,1.1795009413617663e-11,1.7763568394002505e-15,True,True,True,True
210628,0,1.0,0.2,EXACT_SOLUTION_IDENTITY,5.820766091346741e-11,4.3655745685100555e-11,9.094947017729282e-12,1.2319922859660437e-11,2.55351295663786e-15,True,True,True,True
