Gamma,case_count,mean_normalized_objective,median_normalized_objective,min_normalized_objective,max_normalized_objective,mean_normalized_robust_recourse,median_normalized_robust_recourse,min_normalized_robust_recourse,max_normalized_robust_recourse,mean_RI,median_RI,min_RI,max_RI,mean_RS,median_RS,min_RS,max_RS,mean_budget_utilization,median_budget_utilization,min_budget_utilization,max_budget_utilization,mean_total_adjustment,median_total_adjustment,min_total_adjustment,max_total_adjustment,mean_active_depots,median_active_depots,min_active_depots,max_active_depots,mean_shortage_cost,median_shortage_cost,min_shortage_cost,max_shortage_cost,mean_service_penalty,median_service_penalty,min_service_penalty,max_service_penalty,mean_average_fill_rate,median_average_fill_rate,min_average_fill_rate,max_average_fill_rate,mean_runtime_seconds,median_runtime_seconds,min_runtime_seconds,max_runtime_seconds,mean_iterations,median_iterations,min_iterations,max_iterations,mean_cuts_added,median_cuts_added,min_cuts_added,max_cuts_added,material_reconfiguration_case_count,active_depot_set_change_case_count
0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.630686980384964e-11,4.171925586044371e-12,5.363526386455982e-17,1.1724219869937388e-10,-3.834225940506339e-13,0.0,-3.203517858647579e-12,7.371969596088943e-14,1.000000000000121,1.0,0.9999999999999998,1.0000000000009681,-4.388197832883023e-09,0.0,-3.9540864582576774e-08,2.2192359061534717e-09,2.625,2.0,2.0,5.0,234086.92108516468,211780.7974358971,179271.25,351522.9,381200.122573909,344235.4166795644,291362.5125,573540.7660714287,0.14082779239321008,0.142869824584115,0.13302141299987194,0.14742642735621023,0.09696436248486862,0.09405425004661083,0.07482429989613593,0.1164369999896735,5.0,5.0,5.0,5.0,13.25,13.0,13.0,14.0,0,0
1,8,1.057013156423561,1.0542466325743334,1.0128078335854993,1.1029358787657075,1.0644802328346825,1.0610465195065681,1.0142775910286803,1.1170271492214117,0.01771575333534203,2.147526469466614e-11,3.209387463299813e-12,0.07334668362085336,0.0005736376453026934,2.6897205868938582e-14,-2.442604533072238e-17,0.002395961633548232,1.0,1.0,0.9999999999999998,1.0000000000000004,13.2791318485773,2.245522458036033e-09,0.0,59.81160096706935,2.625,2.0,2.0,5.0,247423.86813336678,227268.64871794856,200011.625,355677.26255169656,403745.6609812568,370022.6890645516,325895.236875,583211.9683717003,0.13812433870337468,0.1391079024705893,0.12588750775962235,0.14478398181074595,0.2864124749612529,0.2754196999594569,0.23384519992396235,0.36432289984077215,5.0,5.0,4.0,6.0,21.75,22.0,21.0,23.0,2,0
2,8,1.0858471091971489,1.0890359211735665,1.0232988888492696,1.1498219763746689,1.0970956512686505,1.1013360761720163,1.0259725428341893,1.1703316569118372,0.04098909454043905,0.01971329102711445,0.0,0.13762008031004352,0.0013336382609564165,0.0006527971679711775,0.0,0.004495532942336655,1.000000000000002,1.0,0.9999999999999997,1.0000000000000173,27.98723546237972,10.446213723068553,0.0,112.22426048749267,2.625,2.0,2.0,5.0,253996.79731504028,234629.24871794874,209458.625,358942.64917865157,415638.8152516632,382278.0880641209,341624.49187500007,591062.3212748348,0.13568251076015533,0.1362756072517014,0.11974816491655471,0.14478398181076774,1.2781659250031225,1.2380125001072884,0.9831330000888556,1.7427417999133468,4.625,5.0,4.0,5.0,32.5,33.0,31.0,34.0,4,0
3,8,1.110210925612261,1.1208645956626944,1.032229020974684,1.177130634290517,1.1246428500277643,1.137552504907256,1.0359274484368903,1.2013786972953453,0.07112361750067188,0.05218342787030888,3.20992987839238e-12,0.21133887056772357,0.002325150746688136,0.0016970771692701376,-3.3161642663032083e-12,0.006998395959302808,0.9999999999997263,0.9999999999999998,0.9999999999977713,1.0000000000000404,44.469253984814,26.11258729625723,-3.166691975585078e-08,116.95936056877648,2.625,2.0,2.0,5.0,260312.9031561067,241342.13333333336,214960.9999999977,364504.54561206227,425266.877053655,393455.040948749,350785.94625000004,595059.4240963174,0.1313918040126319,0.13080456059736786,0.11476735565989878,0.144783981810768,4.202452074969187,4.042255650041625,3.213654899969697,5.206302599981427,4.5,4.5,4.0,5.0,44.125,44.0,40.0,48.0,4,0
4,8,1.1321787463107926,1.1481628513334712,1.0408640254539026,1.2015712596398604,1.1494736378343395,1.1685403390383429,1.0455533591470894,1.2291650896020467,0.12453631727980913,0.15459716446752805,3.20992987839238e-12,0.2632614315051285,0.0040159334524314284,0.005038957917647026,5.3802976217916864e-14,0.008457403916640984,1.0000000000000049,0.9999999999999998,0.9999999999999996,1.0000000000000404,74.99405928537155,95.69600991780268,1.3614300797826218e-09,146.63837236103825,2.625,2.0,2.0,5.0,265407.9468220869,247285.54809495615,219885.5,365538.0659403893,434481.1380229718,403290.78300134867,358985.23875,602704.9566407697,0.12722949841597683,0.12513607844414826,0.11331826715511613,0.1442635707325769,12.089464824966853,11.713009099825285,9.079976900015026,15.278107000049204,5.125,5.0,4.0,8.0,56.75,56.0,51.0,64.0,5,0
