case,delta_Gamma_RI_L0025,delta_Gamma_objective_L0025,delta_Gamma_recourse_L0025,delta_Gamma_RS_L0025,delta_Gamma_changed_pairs_L0025,first_material_gamma_L0025,delta_Gamma_RI_L0500,delta_Gamma_objective_L0500,delta_Gamma_recourse_L0500,delta_Gamma_RS_L0500,delta_Gamma_changed_pairs_L0500,first_material_gamma_L0500,delta_Gamma_RI_L2000,delta_Gamma_objective_L2000,delta_Gamma_recourse_L2000,delta_Gamma_RS_L2000,delta_Gamma_changed_pairs_L2000,first_material_gamma_L2000,DID_RI_low_vs_high_friction,DID_objective_low_vs_high_friction,DID_recourse_low_vs_high_friction,DID_RS_low_vs_high_friction,extensive_trigger_invariant_across_lambda,interaction_classification
210202,0.1447172923885359,41664.54598697345,41664.54598697345,0.00024146623542873366,3,2,0.15523023989261572,42280.94625899219,42280.94625899219,0.00507079094504484,3,2,0.07235142116127283,44560.04398615926,44560.04398615926,0.008862938002650218,3,2,0.07236587122726307,-2895.4979991858127,-2895.4979991858127,-0.008621471767221485,True,FRICTION_DAMPENS_RISK_RESPONSE
210628,1.409253013152301e-14,83027.41900000104,83027.41900000104,6.378766119706113e-15,0,none_through_4,-3.535617084219924e-11,83027.41900003655,83027.4190000334,4.489841057469114e-13,0,none_through_4,-5.1586632761361225e-16,83027.41900000011,83027.41900000011,0.0,0,none_through_4,1.4608396459136622e-14,9.313225746154785e-10,9.313225746154785e-10,6.378766119706113e-15,True,FRICTION_EFFECT_WEAK_OVER_TESTED_RANGE
210129,0.15702917127949742,44753.57290170528,44753.572901705396,0.00025725171773462884,4,2,0.16843651180772048,45333.118032834725,45333.118032834725,0.005402286073512986,4,2,0.045824472215508956,47296.34740490629,47296.34740490629,0.005511503386700579,3,2,0.11120469906398847,-2542.7745032010134,-2542.774503200897,-0.00525425166896595,True,FRICTION_DAMPENS_RISK_RESPONSE
210310,0.7964432856017107,104324.55093334685,104324.55093334685,0.0020169085395242608,7,4,0.26326143150163894,105391.47450334334,105391.47450334334,0.00818986179169919,4,4,0.011370300679577016,107645.72335972567,107645.72335871193,0.0013264550962480475,2,4,0.7850729849221337,-3321.17242637882,-3321.1724253650755,0.0006904534432762132,True,FRICTION_DAMPENS_RISK_RESPONSE
210330,0.14353689143612824,102425.52972388372,102425.52972388372,0.00023843451854014866,2,2,0.15396408902815154,102802.16029524873,102802.16029524867,0.005007124890186796,4,2,0.07827666435751686,104188.22355396964,104188.22355396964,0.009546244767006135,4,2,0.06526022707861139,-1762.6938300859183,-1762.6938300859183,-0.009307810248465985,True,FRICTION_DAMPENS_RISK_RESPONSE
210323,1.806403819284274,94050.08941434417,94050.08941434417,0.004654931115365774,7,2,0.25539826584147823,94915.7172783144,94915.71727831435,0.008457403916640984,4,2,0.06884629380620588,97252.67897460738,97252.67897460744,0.008549307974416045,2,2,1.737557525478068,-3202.589560263208,-3202.5895602632663,-0.0038943768590502708,True,FRICTION_DAMPENS_RISK_RESPONSE
210428,0.0,90670.22899999993,90670.22899999993,0.0,0,none_through_4,-1.1459382788033176e-13,90670.22900000494,90670.22900000494,5.3802976217916864e-14,0,none_through_4,0.0,90670.22899999993,90670.22899999993,0.0,0,none_through_4,0.0,0.0,0.0,0.0,True,FRICTION_EFFECT_WEAK_OVER_TESTED_RANGE
210611,-1.22370954285801e-10,108236.97624996782,108236.97624993639,8.147357822886932e-13,0,none_through_4,-8.116084153044448e-12,108236.97625020915,108236.97625027172,4.931226798751092e-12,0,none_through_4,0.0,108236.97624992591,108236.97624992585,0.0,0,none_through_4,-1.22370954285801e-10,4.190951585769653e-08,1.05355866253376e-08,8.147357822886932e-13,True,FRICTION_EFFECT_WEAK_OVER_TESTED_RANGE
