case,depot_id,product_id,x0,y0,depot_total_x0,product_total_x0,capacity_load,capacity,capacity_utilization,inventory_upper_bound,ub_utilization
210628,90015100,BAC---1041,0.0,1,416.8886696917783,231.09230769230768,33093.6169598128,33093.61695981282,0.9999999999999996,330.9361695981282,0.0
210628,90015100,BAC-O-4312,54.69230769230769,1,416.8886696917783,238.53846153846155,33093.6169598128,33093.61695981282,0.9999999999999996,264.74893567850256,0.2065817849357597
210628,90015100,BAC-O-4325,46.0,1,416.8886696917783,383.9999999999999,33093.6169598128,33093.61695981282,0.9999999999999996,393.97163047396214,0.11675967618445099
210628,90015100,BAC-O-6423,155.0923076923077,1,416.8886696917783,587.6307692307693,33093.6169598128,33093.61695981282,0.9999999999999996,393.97163047396214,0.3936636440185453
210628,90015100,BAC-O-6433,102.56559276870138,1,416.8886696917783,949.7769230769231,33093.6169598128,33093.61695981282,0.9999999999999996,525.2955072986161,0.19525313151097567
210628,90015100,CON-S-0130,23.923076923076906,1,416.8886696917783,434.8461538461538,33093.6169598128,33093.61695981282,0.9999999999999996,587.0423076923078,0.04075187871402267
210628,90015100,SLI---0770,29.076923076923077,1,416.8886696917783,480.99999999999983,33093.6169598128,33093.61695981282,0.9999999999999996,649.35,0.04477850631696785
210628,90015100,SLI---1200,5.538461538461538,1,416.8886696917783,240.3076923076923,33093.6169598128,33093.61695981282,0.9999999999999996,324.4153846153846,0.017072129748186088
210628,90015700,BAC---1041,7.26218408959425,1,7.26218408959425,231.09230769230768,726.218408959425,726.218408959425,1.0,7.26218408959425,1.0
210628,90015700,BAC-O-4312,0.0,1,7.26218408959425,238.53846153846155,726.218408959425,726.218408959425,1.0,5.8097472716754,0.0
210628,90015700,BAC-O-4325,0.0,1,7.26218408959425,383.9999999999999,726.218408959425,726.218408959425,1.0,8.645457249516964,0.0
210628,90015700,BAC-O-6423,0.0,1,7.26218408959425,587.6307692307693,726.218408959425,726.218408959425,1.0,8.645457249516964,0.0
210628,90015700,BAC-O-6433,0.0,1,7.26218408959425,949.7769230769231,726.218408959425,726.218408959425,1.0,11.527276332689286,0.0
210628,90015700,CON-S-0130,0.0,1,7.26218408959425,434.8461538461538,726.218408959425,726.218408959425,1.0,18.155460223985624,0.0
210628,90015700,SLI---0770,0.0,1,7.26218408959425,480.99999999999983,726.218408959425,726.218408959425,1.0,14.5243681791885,0.0
210628,90015700,SLI---1200,0.0,1,7.26218408959425,240.3076923076923,726.218408959425,726.218408959425,1.0,8.159757404038483,0.0
210628,90016100,BAC---1041,86.69230769230768,1,937.561325894211,231.09230769230768,69053.12343841797,69053.12343841797,1.0,346.63846153846157,0.25009431240707447
210628,90016100,BAC-O-4312,83.37054622451633,1,937.561325894211,238.53846153846155,69053.12343841797,69053.12343841797,1.0,322.0269230769231,0.2588930932479875
210628,90016100,BAC-O-4325,57.84615384615385,1,937.561325894211,383.9999999999999,69053.12343841797,69053.12343841797,1.0,518.4000000000001,0.11158594491927823
210628,90016100,BAC-O-6423,169.41946143449695,1,937.561325894211,587.6307692307693,69053.12343841797,69053.12343841797,1.0,822.0609933144997,0.20609110858235474
210628,90016100,BAC-O-6433,219.3846153846154,1,937.561325894211,949.7769230769231,69053.12343841797,69053.12343841797,1.0,1096.0813244193328,0.20015359307470915
210628,90016100,CON-S-0130,123.84615384615381,1,937.561325894211,434.8461538461538,69053.12343841797,69053.12343841797,1.0,587.0423076923078,0.21096631745844543
210628,90016100,SLI---0770,139.3846153846153,1,937.561325894211,480.99999999999983,69053.12343841797,69053.12343841797,1.0,649.35,0.2146525223448299
210628,90016100,SLI---1200,57.617472081351764,1,937.561325894211,240.3076923076923,69053.12343841797,69053.12343841797,1.0,324.4153846153846,0.17760400651054511
210628,90016200,BAC---1041,2.3076923076923075,1,68.11525597604376,231.09230769230768,5962.899160067918,5962.8991600679165,1.0000000000000002,59.628991600679164,0.03870084409856133
210628,90016200,BAC-O-4312,19.53846153846154,1,68.11525597604376,238.53846153846155,5962.899160067918,5962.8991600679165,1.0000000000000002,47.70319328054333,0.40958393337644083
210628,90016200,BAC-O-4325,7.0,1,68.11525597604376,383.9999999999999,5962.899160067918,5962.8991600679165,1.0000000000000002,70.98689476271329,0.09860975076313429
210628,90016200,BAC-O-6423,17.615384615384613,1,68.11525597604376,587.6307692307693,5962.899160067918,5962.8991600679165,1.0000000000000002,70.98689476271329,0.24814981235997524
210628,90016200,BAC-O-6433,7.04042036508784,1,68.11525597604376,949.7769230769231,5962.899160067918,5962.8991600679165,1.0000000000000002,94.64919301695106,0.074384367585965
210628,90016200,CON-S-0130,0.0,1,68.11525597604376,434.8461538461538,5962.899160067918,5962.8991600679165,1.0000000000000002,149.0724790016979,0.0
210628,90016200,SLI---0770,13.384615384615385,1,68.11525597604376,480.99999999999983,5962.899160067918,5962.8991600679165,1.0000000000000002,119.25798320135833,0.11223244788582788
210628,90016200,SLI---1200,1.2286817648020758,1,68.11525597604376,240.3076923076923,5962.899160067918,5962.8991600679165,1.0000000000000002,66.99886696705524,0.018338843930095782
210628,90016500,BAC---1041,0.0,1,28.69965202024065,231.09230769230768,2051.6783885019336,2051.678388501934,0.9999999999999998,20.51678388501934,0.0
210628,90016500,BAC-O-4312,0.0,1,28.69965202024065,238.53846153846155,2051.6783885019336,2051.678388501934,0.9999999999999998,16.413427108015473,0.0
210628,90016500,BAC-O-4325,20.53846153846154,1,28.69965202024065,383.9999999999999,2051.6783885019336,2051.678388501934,0.9999999999999998,24.42474272026112,0.8408875284251907
210628,90016500,BAC-O-6423,0.0,1,28.69965202024065,587.6307692307693,2051.6783885019336,2051.678388501934,0.9999999999999998,24.42474272026112,0.0
210628,90016500,BAC-O-6433,0.0,1,28.69965202024065,949.7769230769231,2051.6783885019336,2051.678388501934,0.9999999999999998,32.566323627014825,0.0
210628,90016500,CON-S-0130,8.161190481779109,1,28.69965202024065,434.8461538461538,2051.6783885019336,2051.678388501934,0.9999999999999998,51.29195971254835,0.1591124715748092
210628,90016500,SLI---0770,0.0,1,28.69965202024065,480.99999999999983,2051.6783885019336,2051.678388501934,0.9999999999999998,41.03356777003868,0.0
210628,90016500,SLI---1200,0.0,1,28.69965202024065,240.3076923076923,2051.6783885019336,2051.678388501934,0.9999999999999998,23.05256616294308,0.0
210628,90016900,BAC---1041,99.21473898732884,1,840.9642916068024,231.09230769230768,58903.88702363529,58903.887023635325,0.9999999999999993,346.63846153846157,0.28621964956511436
210628,90016900,BAC-O-4312,33.92307692307692,1,840.9642916068024,238.53846153846155,58903.88702363529,58903.887023635325,0.9999999999999993,322.0269230769231,0.10534236267870578
210628,90016900,BAC-O-4325,118.9230769230769,1,840.9642916068024,383.9999999999999,58903.88702363529,58903.887023635325,0.9999999999999993,518.4000000000001,0.22940408357075015
210628,90016900,BAC-O-6423,37.965153950118406,1,840.9642916068024,587.6307692307693,58903.88702363529,58903.887023635325,0.9999999999999993,701.2367502813729,0.05414027991956325
210628,90016900,BAC-O-6433,266.2459371308937,1,840.9642916068024,949.7769230769231,58903.88702363529,58903.887023635325,0.9999999999999993,934.9823337084972,0.2847603933593703
210628,90016900,CON-S-0130,130.76923076923077,1,840.9642916068024,434.8461538461538,58903.88702363529,58903.887023635325,0.9999999999999993,587.0423076923078,0.2227594656393524
210628,90016900,SLI---0770,106.15384615384616,1,840.9642916068024,480.99999999999983,58903.88702363529,58903.887023635325,0.9999999999999993,649.35,0.16347708655400964
210628,90016900,SLI---1200,47.76923076923077,1,840.9642916068024,240.3076923076923,58903.88702363529,58903.887023635325,0.9999999999999993,324.4153846153846,0.147247119078105
210628,90017100,BAC---1041,1.9230769230769231,1,363.3369286089874,231.09230769230768,25626.109607949773,38045.71365649012,0.6735610176569333,346.63846153846157,0.005547788651443534
210628,90017100,BAC-O-4312,6.629453775483668,1,363.3369286089874,238.53846153846155,25626.109607949773,38045.71365649012,0.6735610176569333,304.365709251921,0.021781211135044533
210628,90017100,BAC-O-4325,96.76923076923072,1,363.3369286089874,383.9999999999999,25626.109607949773,38045.71365649012,0.6735610176569333,452.9251625772634,0.21365390745479523
210628,90017100,BAC-O-6423,72.70747483350384,1,363.3369286089874,587.6307692307693,25626.109607949773,38045.71365649012,0.6735610176569333,452.9251625772634,0.1605286719328623
210628,90017100,BAC-O-6433,58.38461538461536,1,363.3369286089874,949.7769230769231,25626.109607949773,38045.71365649012,0.6735610176569333,603.9002167696844,0.09667924230416709
210628,90017100,CON-S-0130,58.23076923076923,1,363.3369286089874,434.8461538461538,25626.109607949773,38045.71365649012,0.6735610176569333,587.0423076923078,0.09919347969940576
210628,90017100,SLI---0770,44.923076923076906,1,363.3369286089874,480.99999999999983,25626.109607949773,38045.71365649012,0.6735610176569333,649.35,0.06918160764314607
210628,90017100,SLI---1200,23.769230769230766,1,363.3369286089874,240.3076923076923,25626.109607949773,38045.71365649012,0.6735610176569333,324.4153846153846,0.07326789016929862
210628,90018300,BAC---1041,0.0,0,0.0,231.09230769230768,0.0,2796.831940026252,0.0,27.968319400262523,0.0
210628,90018300,BAC-O-4312,0.0,0,0.0,238.53846153846155,0.0,2796.831940026252,0.0,22.374655520210016,0.0
210628,90018300,BAC-O-4325,0.0,0,0.0,383.9999999999999,0.0,2796.831940026252,0.0,33.29561833364586,0.0
210628,90018300,BAC-O-6423,0.0,0,0.0,587.6307692307693,0.0,2796.831940026252,0.0,33.29561833364586,0.0
210628,90018300,BAC-O-6433,0.0,0,0.0,949.7769230769231,0.0,2796.831940026252,0.0,44.394157778194476,0.0
210628,90018300,CON-S-0130,0.0,0,0.0,434.8461538461538,0.0,2796.831940026252,0.0,69.9207985006563,0.0
210628,90018300,SLI---0770,0.0,0,0.0,480.99999999999983,0.0,2796.831940026252,0.0,55.936638800525046,0.0
210628,90018300,SLI---1200,0.0,0,0.0,240.3076923076923,0.0,2796.831940026252,0.0,31.425077977823058,0.0
210628,90018400,BAC---1041,0.0,1,15.301265940306905,231.09230769230768,612.0506376122762,612.0506376122762,1.0,6.120506376122762,0.0
210628,90018400,BAC-O-4312,0.0,1,15.301265940306905,238.53846153846155,612.0506376122762,612.0506376122762,1.0,4.8964051008982095,0.0
210628,90018400,BAC-O-4325,0.0,1,15.301265940306905,383.9999999999999,612.0506376122762,612.0506376122762,1.0,7.28631711443186,0.0
210628,90018400,BAC-O-6423,0.0,1,15.301265940306905,587.6307692307693,612.0506376122762,612.0506376122762,1.0,7.28631711443186,0.0
210628,90018400,BAC-O-6433,0.0,1,15.301265940306905,949.7769230769231,612.0506376122762,612.0506376122762,1.0,9.715089485909147,0.0
210628,90018400,CON-S-0130,15.301265940306905,1,15.301265940306905,434.8461538461538,612.0506376122762,612.0506376122762,1.0,15.301265940306905,1.0
210628,90018400,SLI---0770,0.0,1,15.301265940306905,480.99999999999983,612.0506376122762,612.0506376122762,1.0,12.241012752245524,0.0
210628,90018400,SLI---1200,0.0,1,15.301265940306905,240.3076923076923,612.0506376122762,612.0506376122762,1.0,6.87697345631771,0.0
210628,90019100,BAC---1041,0.0,1,43.73523677152833,231.09230769230768,2663.1721101564203,2663.1721101564194,1.0000000000000004,26.631721101564196,0.0
210628,90019100,BAC-O-4312,0.0,1,43.73523677152833,238.53846153846155,2663.1721101564203,2663.1721101564194,1.0000000000000004,21.305376881251355,0.0
210628,90019100,BAC-O-4325,0.0,1,43.73523677152833,383.9999999999999,2663.1721101564203,2663.1721101564194,1.0000000000000004,31.704429882814516,0.0
210628,90019100,BAC-O-6423,0.0,1,43.73523677152833,587.6307692307693,2663.1721101564203,2663.1721101564194,1.0000000000000004,31.704429882814516,0.0
210628,90019100,BAC-O-6433,39.728810404142926,1,43.73523677152833,949.7769230769231,2663.1721101564203,2663.1721101564194,1.0000000000000004,42.272573177086024,0.9398247473063231
210628,90019100,CON-S-0130,4.0064263673854015,1,43.73523677152833,434.8461538461538,2663.1721101564203,2663.1721101564194,1.0000000000000004,66.57930275391048,0.0601752526936772
210628,90019100,SLI---0770,0.0,1,43.73523677152833,480.99999999999983,2663.1721101564203,2663.1721101564194,1.0000000000000004,53.26344220312839,0.0
210628,90019100,SLI---1200,0.0,1,43.73523677152833,240.3076923076923,2663.1721101564203,2663.1721101564194,1.0000000000000004,29.92328213658898,0.0
210628,91017200,BAC---1041,4.6923076923076925,1,551.0372693991396,231.09230769230768,38593.162042998636,38593.16204299865,0.9999999999999997,346.63846153846157,0.013536604309522225
210628,91017200,BAC-O-4312,34.69230769230769,1,551.0372693991396,238.53846153846155,38593.162042998636,38593.16204299865,0.9999999999999997,308.7452963439892,0.11236546144384071
210628,91017200,BAC-O-4325,32.46153846153845,1,551.0372693991396,383.9999999999999,38593.162042998636,38593.16204299865,0.9999999999999997,459.44240527379344,0.07065420624853684
210628,91017200,BAC-O-6423,85.29252516649615,1,551.0372693991396,587.6307692307693,38593.162042998636,38593.16204299865,0.9999999999999997,459.44240527379344,0.18564356312662988
210628,91017200,BAC-O-6433,161.23076923076923,1,551.0372693991396,949.7769230769231,38593.162042998636,38593.16204299865,0.9999999999999997,612.5898736983913,0.26319528962725103
210628,91017200,CON-S-0130,62.69230769230769,1,551.0372693991396,434.8461538461538,38593.162042998636,38593.16204299865,0.9999999999999997,587.0423076923078,0.1067935085271013
210628,91017200,SLI---0770,99.9230769230769,1,551.0372693991396,480.99999999999983,38593.162042998636,38593.16204299865,0.9999999999999997,649.35,0.15388169234323076
210628,91017200,SLI---1200,70.05243654033575,1,551.0372693991396,240.3076923076923,38593.162042998636,38593.16204299865,0.9999999999999997,324.4153846153846,0.21593438493488043
210628,91017300,BAC---1041,0.0,0,0.0,231.09230769230768,0.0,48428.29785758718,0.0,346.63846153846157,0.0
210628,91017300,BAC-O-4312,0.0,0,0.0,238.53846153846155,0.0,48428.29785758718,0.0,322.0269230769231,0.0
210628,91017300,BAC-O-4325,0.0,0,0.0,383.9999999999999,0.0,48428.29785758718,0.0,518.4000000000001,0.0
210628,91017300,BAC-O-6423,0.0,0,0.0,587.6307692307693,0.0,48428.29785758718,0.0,576.5273554474664,0.0
210628,91017300,BAC-O-6433,0.0,0,0.0,949.7769230769231,0.0,48428.29785758718,0.0,768.7031405966219,0.0
210628,91017300,CON-S-0130,0.0,0,0.0,434.8461538461538,0.0,48428.29785758718,0.0,587.0423076923078,0.0
210628,91017300,SLI---0770,0.0,0,0.0,480.99999999999983,0.0,48428.29785758718,0.0,649.35,0.0
210628,91017300,SLI---1200,0.0,0,0.0,240.3076923076923,0.0,48428.29785758718,0.0,324.4153846153846,0.0
210628,91017500,BAC---1041,13.23076923076923,1,205.8485611862235,231.09230769230768,14289.906560958503,14289.906560958505,0.9999999999999999,142.89906560958505,0.09258821374603703
210628,91017500,BAC-O-4312,5.6923076923076925,1,205.8485611862235,238.53846153846155,14289.906560958503,14289.906560958505,0.9999999999999999,114.31925248766804,0.049793080066909454
210628,91017500,BAC-O-4325,4.461538461538453,1,205.8485611862235,383.9999999999999,14289.906560958503,14289.906560958505,0.9999999999999999,170.11793524950602,0.02622614984713323
210628,91017500,BAC-O-6423,49.53846153846153,1,205.8485611862235,587.6307692307693,14289.906560958503,14289.906560958505,0.9999999999999999,170.11793524950602,0.29120069830265227
210628,91017500,BAC-O-6433,81.53846153846153,1,205.8485611862235,949.7769230769231,14289.906560958503,14289.906560958505,0.9999999999999999,226.82391366600802,0.35947912290467166
210628,91017500,CON-S-0130,2.3076923076923075,1,205.8485611862235,434.8461538461538,14289.906560958503,14289.906560958505,0.9999999999999999,357.2476640239626,0.006459642819490956
210628,91017500,SLI---0770,48.15384615384615,1,205.8485611862235,480.99999999999983,14289.906560958503,14289.906560958505,0.9999999999999999,285.7981312191701,0.16848901687505577
210628,91017500,SLI---1200,0.9254842631465579,1,205.8485611862235,240.3076923076923,14289.906560958503,14289.906560958505,0.9999999999999999,160.56074787593826,0.005764075438049523
210628,91017600,BAC---1041,15.76923076923077,1,54.783965637815484,231.09230769230768,4774.440506141985,4774.440506141987,0.9999999999999997,47.74440506141987,0.33028437047115256
210628,91017600,BAC-O-4312,0.0,1,54.783965637815484,238.53846153846155,4774.440506141985,4774.440506141987,0.9999999999999997,38.19552404913589,0.0
210628,91017600,BAC-O-4325,0.0,1,54.783965637815484,383.9999999999999,4774.440506141985,4774.440506141987,0.9999999999999997,56.83857745407127,0.0
210628,91017600,BAC-O-6423,0.0,1,54.783965637815484,587.6307692307693,4774.440506141985,4774.440506141987,0.9999999999999997,56.83857745407127,0.0
210628,91017600,BAC-O-6433,0.0,1,54.783965637815484,949.7769230769231,4774.440506141985,4774.440506141987,0.9999999999999997,75.7847699387617,0.0
210628,91017600,CON-S-0130,5.608040287451658,1,54.783965637815484,434.8461538461538,4774.440506141985,4774.440506141987,0.9999999999999997,119.36101265354966,0.04698385312572062
210628,91017600,SLI---0770,0.0,1,54.783965637815484,480.99999999999983,4774.440506141985,4774.440506141987,0.9999999999999997,95.48881012283974,0.0
