lambda_token,lambda_R,case_count,material_reconfiguration_case_count,stay_put_case_count,active_depot_set_change_case_count,mean_objective_change_vs_L0000_pct,median_objective_change_vs_L0000_pct,mean_objective_change_vs_L0500_pct,median_objective_change_vs_L0500_pct,mean_recourse_change_vs_L0000_pct,median_recourse_change_vs_L0000_pct,mean_normalized_objective_vs_L0500,median_normalized_objective_vs_L0500,min_normalized_objective_vs_L0500,max_normalized_objective_vs_L0500,mean_normalized_robust_recourse_vs_L0500,median_normalized_robust_recourse_vs_L0500,min_normalized_robust_recourse_vs_L0500,max_normalized_robust_recourse_vs_L0500,mean_RI,median_RI,min_RI,max_RI,mean_RS,median_RS,min_RS,max_RS,mean_total_adjustment,median_total_adjustment,min_total_adjustment,max_total_adjustment,mean_budget_utilization,median_budget_utilization,min_budget_utilization,max_budget_utilization,mean_shortage_cost,median_shortage_cost,min_shortage_cost,max_shortage_cost,mean_transportation_cost,median_transportation_cost,min_transportation_cost,max_transportation_cost,mean_service_penalty,median_service_penalty,min_service_penalty,max_service_penalty,mean_average_fill_rate,median_average_fill_rate,min_average_fill_rate,max_average_fill_rate
L0000,0.0,8,4,4,0,0.0,0.0,-0.01612015043431919,-0.008142976904734756,0.0,0.0,0.9998387984956568,0.9999185702309527,0.99945805957911,0.9999999999998451,0.9998202921284228,0.9999086221120304,0.9993974437851355,0.9999999999998055,0.04327147930199697,0.030286963406893345,2.5625555576661776e-10,0.1278337634879958,0.0,0.0,0.0,0.0,28.751047021313035,15.155597479233343,1.2722127384900972e-07,104.24386863060417,1.000000000000135,1.0,0.9999999999999997,1.0000000000010807,253941.1236916605,234629.24871794874,209458.625,358719.19820692105,1929.582358779619,1834.6183714470899,1516.1503742625805,2381.6379947191263,415535.4387851327,382278.0880641287,341624.49187500007,590648.9369766916,0.13619911427506354,0.13679739586773587,0.12211002619404426,0.14478398181076793
L0025,0.0025,8,4,4,0,0.0007745485581023281,0.00041614985206717137,-0.015345898736128516,-0.00772689483204414,0.0008635602060214076,0.0004669993757366875,0.9998465410126387,0.9999227310516796,0.9994838662658191,0.9999999999999548,0.9998289240465095,0.9999132912522531,0.9994261369382242,0.99999999999995,0.038213113597405035,0.01837821115800105,2.9344880182558256e-11,0.1282997785747599,6.350658379181033e-05,3.1085579592613315e-05,-8.973816950422752e-13,0.00021407299725412614,26.091803675701755,9.738745359476786,1.7784351769023488e-08,104.62388729045594,1.0000000000000118,1.0000000000000002,0.9999999999999997,1.0000000000000406,254294.4073669563,234629.24871794874,209458.62499999997,360815.2958720616,1842.585762330854,1832.6129063853193,1215.1554189556825,2381.637997215383,415275.90340151795,382278.0880642085,341624.49187500007,588881.3310778218,0.13617352843307212,0.13676716354625645,0.12199755661050034,0.14478398181076793
L0100,0.01,8,4,4,0,0.003099133449147029,0.0015870821898911203,-0.013022209751036018,-0.00655615319259395,0.0034551241697711177,0.0017810084280367455,0.9998697779024897,0.9999344384680741,0.9995620683467556,1.000000000000006,0.9998548285688006,0.9999264289412693,0.9995130858869782,1.0000000000000042,0.038633716736354906,0.018580495901273336,3.991212374705473e-12,0.12971194550434867,0.0002559507773269872,0.00012528430492656756,-2.4455524171118033e-13,0.0008627790495393586,26.378990292336468,9.845937493470005,2.2231319007914863e-09,105.77545898697693,1.000000000000065,1.000000000000011,0.9999999999999997,1.0000000000002542,253951.7664500543,234629.24871794874,209458.625,358762.0827369001,1925.9403266697448,1828.7809951585489,1516.1503741455854,2381.6379952724715,415555.50815141975,382278.08806424227,341624.49187500007,590728.2733570774,0.13610027929508645,0.13669268531935694,0.12165673968564707,0.1447839818107679
L0500,0.05,8,4,4,0,0.01612636256485278,0.008144303282198173,0.0,0.0,0.017978495831458274,0.009139459085882873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.040989094550600375,0.019713291059970106,3.0942602355362093e-12,0.13762008031004352,0.0013336382609564165,0.0006527971679711775,0.0,0.004495532942336655,27.987235467748505,10.446213739908364,1.82907911039365e-09,112.22426048749267,1.000000000000002,1.0,0.9999999999999997,1.0000000000000173,253996.79731504028,234629.24871794874,209458.625,358942.64917865157,1911.4482019169736,1807.3222922737477,1516.1503744137008,2381.63799702283,415638.8152516632,382278.0880641209,341624.49187500007,591062.3212748348,0.13568251076015533,0.1362756072517014,0.11974816491655471,0.14478398181076774
L2000,0.2,8,4,4,0,0.07471795842834417,0.03857390742809663,0.05856923256252616,0.030424648394633547,0.083300433807168,0.043287269212211044,1.0005856923256253,1.0003042464839464,0.9999999999983787,1.001921138850109,1.0006529418621837,1.0003414156941681,0.9999999999997726,1.0021360173722595,0.03079911189224945,0.022912236164687554,0.0,0.07827666436801795,0.0037652824053967552,0.002755751697885224,-1.3261621213318e-11,0.009546244767006162,19.467844913366108,13.231870724145832,0.0,58.9999999763872,0.9999999999987699,1.0,0.9999999999867308,1.0000000000034284,254659.2252604297,234629.24871794874,209458.625,361666.48571470566,1813.1266215489536,1705.7969065103262,1108.01959594093,2381.6379958053794,415584.0475527851,382278.0880641444,341624.49187500007,590456.0322864964,0.13596499343124607,0.13634532120680243,0.12446283171843035,0.14478398181076776
