case,lambda_r,feasible_runs,total_runs,ri_min,ri_median,ri_max,reconfiguration_cost_min,reconfiguration_cost_median,reconfiguration_cost_max,rs_min,rs_median,rs_max,depot_activation_changes_min,depot_activation_changes_median,depot_activation_changes_max,robust_recourse_cost_min,robust_recourse_cost_median,robust_recourse_cost_max
210202,0.0,6,6,0.08364104546707803,0.35783251430222757,0.6490031179480736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,26741.881673286844,30400.47980217363,63666.42601175055
210202,0.0025,6,6,0.04847322864727652,0.20015347890018,0.4201321265666941,3.108995821481767,34.16882675283436,73.05813477335047,3.67431466423486e-05,0.00043493422310941917,0.0008539574389090236,0.0,1.5,3.0,26732.95190991983,30406.700489448398,64122.4299535713
210202,0.005,6,6,0.029478289046073882,0.19188970716686543,0.3699799920924279,4.859829258651723,44.37334134686381,139.12904387890984,5.743507851429376e-05,0.0005739171857842373,0.0016733125789462938,0.0,2.0,5.0,26737.372245934694,30410.853157670546,64579.59952194514
210202,0.01,6,6,0.02129425607432761,0.16686757742723243,0.3452439857915115,7.790266603612649,70.82050792262044,273.21775362990076,9.206796169417405e-05,0.0009239450052579596,0.0032549120465710226,0.0,2.0,4.0,26736.752181689248,30415.0730338526,65497.89132914506
210202,0.025,6,6,0.0156942543823634,0.01886246603014641,0.26236098142325426,16.049542365633826,19.340569233481354,306.4650133596702,0.00017856537397604815,0.0002187464120956933,0.004024339394882837,0.0,1.0,4.0,27705.372880871975,31691.438224403104,67192.38430130226
210202,0.05,6,6,0.011293543735753505,0.018929209679225442,0.22234793472721856,28.607414133379926,34.46092259346741,559.1366042898103,0.000307356304361089,0.0004072706446028341,0.007342291503675482,0.0,1.0,4.0,27709.3040607471,31705.717641948722,69669.68695946122
210202,0.1,6,6,0.008760156504035386,0.018207366030811384,0.20103110780384081,41.87127623071243,60.782819666035394,1116.5222538749294,0.0004498624259134875,0.0007183515786329166,0.014661590379515584,0.0,1.0,4.0,27717.41313112723,31732.905433779855,74643.60562174916
210202,0.2,6,6,0.005733877037532663,0.008765239995831757,0.22752340972340565,33.93262405710669,90.3570640371503,2164.5022905701753,0.00040102703679277654,0.0010191868391403037,0.028423119959969937,0.0,1.0,4.0,27717.413131127247,31781.912818762212,85299.40535222727
210202,0.4,6,6,0.0049166154529212275,0.00821125516213552,0.31022729215196,50.49310145162651,163.85233843230634,5546.761124631385,0.0005967442665072035,0.0018390954402117807,0.07283718641534247,0.0,1.0,6.0,27906.116224793634,31899.438280500293,119329.27703355691
210202,0.8,6,6,3.6901924434187486e-17,0.00456793309404923,0.4555984806994357,0.0,222.34675623999436,26500.68926390366,0.0,0.002388879923434252,0.34799328845773775,0.0,1.0,4.0,27939.683340744086,32195.723490004257,365052.0678501126
210202,1.6,4,6,2.5723870249016668e-14,0.0011422039646164562,0.00341444609338158,7.680686046347744e-12,51.16102159170209,296.7900285174451,9.07729022229086e-17,0.0005496708807880556,0.0031886938788328223,0.0,0.5,1.0,28244.450551096903,30382.270679139714,33184.48204525789
210628,0.0,6,6,0.12698222742497792,0.3454336594054418,0.6451358180093176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,17241.626370536684,27221.9167045894,59687.636257924205
210628,0.0025,6,6,0.07665121116397643,0.20466985945556934,0.5878499003908875,9.600544056163494,22.310731599120516,58.77890305750094,0.0001726281680324327,0.0004412881989788436,0.0012917767673551682,0.0,5.0,7.0,17235.994423053784,27302.73720536142,60156.86168114101
210628,0.005,6,6,0.06163624129600757,0.1980338803984038,0.5110547854775832,17.816931161847492,43.54961956885592,98.11982492902492,0.0003203676967093454,0.0008613761991790444,0.002156367398287064,0.0,5.0,7.0,17236.911143204903,27372.608632413154,60573.20132927596
210628,0.01,6,6,0.06162022613344473,0.19921108097973325,0.5059902125013305,35.624402398331384,87.53913428481744,194.77786089364304,0.0006405652937268724,0.0017314531680456867,0.004280609239192603,0.0,5.0,7.0,17237.864395442226,27511.410485766617,61337.71201874178
210628,0.025,6,6,0.06120490302193002,0.13243435304656961,0.3412869010535953,88.92509938317644,127.73049294927989,235.7631786482754,0.0015989694863974423,0.0025264056867812237,0.00518133855743644,0.0,3.0,6.0,17237.616487046158,27798.783973241163,62848.60195602644
210628,0.05,6,6,0.04888644366461681,0.10011554652211824,0.29713482797511676,164.85651615905627,209.13299530414537,436.5895962198248,0.003088155656535578,0.003921405880820148,0.009594876187363162,0.0,2.5,5.0,17241.729710817195,28182.706422328185,64672.22273128299
210628,0.1,6,6,0.03649609445401521,0.09053370118916404,0.29315388349913424,299.5521153759451,414.03212413893,882.2742080648079,0.005567040195080351,0.007780937565163076,0.019389632421344723,0.0,2.5,5.0,17609.85179352782,28850.853705571324,68357.84147793974
210628,0.2,6,6,0.03649609445401503,0.06008588352058724,0.2725677104540349,583.5583873483296,768.3909906003805,1633.815711525164,0.011134080390160677,0.0144405756274276,0.0359061681743775,0.0,1.0,4.0,17609.851793527818,30345.630855804488,76686.13264348531
