case,workers,core_runtime_seconds,oracle_runtime_seconds,objective,correctness_pass
210202,1,1.5005851000314578,0.323191300034523,1058780.7942496866,True
L,1,17.907051700050943,5.4703884999617,2537677.6592963985,True
XL_low,1,48.12941829999909,15.573795300035272,3410117.8260549335,True
210202,2,0.994252200005576,0.21742810000432655,1058780.7942496866,True
L,2,9.452007099986076,3.686831000028178,2537677.6592963985,True
XL_low,2,22.592913799977396,8.347907100105658,3410117.8260549335,True
210202,4,1.157541399996262,0.20771450002212077,1058780.7942496866,True
L,4,6.41066240001237,2.950332599983085,2537677.6592963985,True
XL_low,4,15.723956000001635,6.95399680006085,3410117.8260549335,True
210202,8,1.766676799976267,0.13601290003862232,1058780.7942496866,True
L,8,4.442624399962369,1.5597812000778504,2537677.6592963985,True
XL_low,8,9.761996600020211,3.7562030999106355,3410117.8260549335,True
L,12,4.648880799999461,1.3751475999015383,2537677.6592963985,True
XL_low,14,8.927450800023507,3.430444900004659,3410117.8260549335,True
