case,RI_trajectory,objective_trajectory,recourse_trajectory,RS_trajectory,material_pattern,first_stay_put_lambda,largest_tested_lambda_with_material_reconfiguration,active_depot_set_changed,mechanism_classification
210202,0.1278337634879958|0.12829977857475991|0.12971194550434867|0.13762008031004352|0.072351421161272828,1058206.9981404208|1058234.3217646715|1058317.1206260375|1058780.7942496866|1060814.859167269,951696.04214141448|951723.36576566519|951806.16462703119|952269.83825068048|954303.90316826268,0|0.00021407299725412614|0.00086277904953935855|0.0044955329423366549|0.0088629380026502176,MATERIAL|MATERIAL|MATERIAL|MATERIAL|MATERIAL,,0.2,False,NONMONOTONE_PEAK_THEN_SUPPRESSION
210628,1.875432493322039e-08|2.9344880182558256e-11|3.1327682758134531e-11|3.0214537017030499e-11|3.1328151727523265e-11,676700.83730298036|676700.83730308246|676700.83730309259|676700.83730311343|676700.83730334474,599292.00622766034|599292.0062277593|599292.0062277593|599292.00622779212|599292.0062277593,0|4.0528293106887538e-14|1.7142604908670493e-13|4.2570547099694265e-13|3.4285650413728283e-12,STAY_PUT|STAY_PUT|STAY_PUT|STAY_PUT|STAY_PUT,0.0,,False,STAY_PUT_ACROSS_GRID
210129,0.079563930309632325|0.079853978813836934|0.080732913675063023|0.085654948897929656|0.045824472215509039,850966.58522495127|850980.56915864639|851022.94471529848|851260.24783254985|852320.70079861546,760655.47322589299|760669.45715958811|760711.8327162402|760949.13583349157|762009.58879955707,0|0.00013082010844389576|0.00052724467948600377|0.0027472222773218145|0.0055115033867005787,MATERIAL|MATERIAL|MATERIAL|MATERIAL|MATERIAL,,0.2,False,NONMONOTONE_PEAK_THEN_SUPPRESSION
210310,5.6693765511709621e-10|1.3748864167316565e-10|3.9912123747054729e-12|3.4895458674603015e-12|1.1386607008790608e-10,714814.54770759051|714814.54770762054|714814.54770770553|714814.54770770122|714814.5477065423,638420.45570759044|638420.45570770302|638420.45570778637|638420.45570778369|638420.45570763852,0|3.9471303199459728e-13|2.4398315748488486e-14|0|-1.3261621213318001e-11,STAY_PUT|STAY_PUT|STAY_PUT|STAY_PUT|STAY_PUT,0.0,,False,STAY_PUT_ACROSS_GRID
210330,0.060573908059461758|0.060794728868062614|0.061463882833522228|0.065211145040091276|0.078276664368017945,657501.81741929031|657509.30452901358|657531.99274081318|657659.54925461416|658258.12602476543,591851.46999133215|591858.95710105542|591881.64531285502|592009.201826656|592607.77859680727,0|0.00010098840626272275|0.00040701387978613101|0.0021207565315172188|0.0095462447670061623,MATERIAL|MATERIAL|MATERIAL|MATERIAL|MATERIAL,,0.2,False,RI_INCREASES_WITH_FRICTION
210323,0.078200208976365093|0.03675642196142806|0.037160991665880404|0.039426582010814094|0.04994033717417623,627045.09202466975|627050.31091902091|627064.99546652194|627147.2289325014|627528.84361059102,558768.88916803454|558774.10806238453|558788.79260988173|558871.02607586619|559252.64075395581,0|6.21711587905136e-05|0.00025056860967029971|0.0013055943342146462|0.0062015730875802713,MATERIAL|MATERIAL|MATERIAL|MATERIAL|MATERIAL,,0.2,False,NONMONOTONE_DIP_THEN_REALLOCATION
210428,4.0050026708418488e-09|3.9745187938886351e-11|4.0039780938080362e-11|3.0942602355362093e-12|0,793717.38808153523|793717.38808163896|793717.38808164978|793717.38808167481|793717.38808170869,717805.41208218969|717805.41208229342|717805.41208230425|717805.41208232928|717805.41208236315,0|4.5364793706431495e-14|1.828354319287414e-13|1.0758297342108241e-13|0,STAY_PUT|STAY_PUT|STAY_PUT|STAY_PUT|STAY_PUT,0.0,,False,STAY_PUT_ACROSS_GRID
210611,2.5625555576661776e-10|3.5457404105490013e-10|1.3666626918842403e-10|1.0912611454632943e-10|7.3825334789387893e-11,617415.66814213351|617415.66814215982|617415.66814215842|617415.66814232024|617415.66814286087,552759.4101441775|552759.4101442016|552759.410144186|552759.41014436423|552759.41014490486,0|-8.9738169504227516e-13|-2.4455524171118033e-13|1.7277089401035133e-12|9.0698686344330708e-12,STAY_PUT|STAY_PUT|STAY_PUT|STAY_PUT|STAY_PUT,0.0,,False,STAY_PUT_ACROSS_GRID
