beta,mean_objective,median_objective,min_objective,max_objective,mean_normalized_objective,median_normalized_objective,min_normalized_objective,max_normalized_objective,mean_robust_recourse_cost,median_robust_recourse_cost,min_robust_recourse_cost,max_robust_recourse_cost,mean_normalized_robust_recourse,median_normalized_robust_recourse,min_normalized_robust_recourse,max_normalized_robust_recourse,mean_RI,median_RI,min_RI,max_RI,mean_RS,median_RS,min_RS,max_RS,mean_budget_utilization,median_budget_utilization,min_budget_utilization,max_budget_utilization,mean_total_adjustment,median_total_adjustment,min_total_adjustment,max_total_adjustment,mean_worst_recourse_shortage_cost,median_worst_recourse_shortage_cost,min_worst_recourse_shortage_cost,max_worst_recourse_shortage_cost,mean_worst_recourse_service_penalty_cost,median_worst_recourse_service_penalty_cost,min_worst_recourse_service_penalty_cost,max_worst_recourse_service_penalty_cost,mean_average_fill_rate,median_average_fill_rate,min_average_fill_rate,max_average_fill_rate,mean_objective_improvement_vs_B100_pct,material_reconfiguration_case_count
0.8,757499.1977360781,703118.017104906,623354.3933212913,1070819.5202181868,1.0103229484606364,1.0101138626102337,1.008105387492562,1.0121799151203994,694987.2202005582,641596.8478748109,571629.3869229265,985610.7554189813,1.0349097925078263,1.0353387842432649,1.0301137074561038,1.0373618927008061,0.3680661869014031,0.3687460863398659,0.3403194614703833,0.3893181502885004,0.013139076770762708,0.013148377156842759,0.01305814862214238,0.013157894736842118,1.0000000000000024,1.0000000000000009,0.9999999999999998,1.000000000000009,219.43956079581142,213.46015713559467,181.10879011912914,296.8435962274837,263173.01483195665,243047.05138297332,216432.004014202,373148.5596246052,431199.8480720239,397851.02299346443,354525.2430512745,611697.869019781,0.09263736450800998,0.09089054056576418,0.08546868080555299,0.10362674941693435,-1.0322948460636416,8
0.9,752024.2648339735,697923.8332881345,619142.2796216115,1062530.0572092677,1.0030807482181179,1.003024783398983,1.0024478900132727,1.0035965315421893,681698.2901065128,628712.517904276,560951.6474234511,966670.1968101623,1.0151307557272427,1.0153864600134783,1.0132823329374434,1.0161708789227935,0.2640851152605204,0.2530437516434918,0.2240835387894906,0.33422785189567455,0.007094621141648197,0.006580124797327421,0.005847953216304898,0.009661945287331568,1.0000000000000133,1.0,0.9999999999999997,1.0000000000000628,160.0651010846932,138.2401031243415,113.48910172246346,272.5508765059043,258259.03759018765,238406.86437283322,212632.81984983748,366377.6837760395,422451.545805276,389266.67702574155,347496.7523472317,599171.7486999587,0.10447443225266503,0.10455026131329814,0.09264244201171108,0.11551623333897854,-0.3080748218117803,8
1.0,749687.0326880203,695757.6925054074,617415.6681423202,1058780.7942496866,1.0,1.0,1.0,1.0,671547.0607686205,618856.2309677879,552759.4101443642,952269.8382506805,1.0,1.0,1.0,1.0,0.04098909454043905,0.01971329102711445,0.0,0.13762008031004352,0.0013336382609564165,0.0006527971679711775,0.0,0.004495532942336655,1.000000000000002,1.0,0.9999999999999997,1.0000000000000173,27.98723546237972,10.446213723068553,0.0,112.22426048749267,253996.79731504028,234629.24871794874,209458.625,358942.64917865157,415638.8152516632,382278.0880641209,341624.49187500007,591062.3212748348,0.13568251076015533,0.1362756072517014,0.11974816491655471,0.14478398181076774,0.0,4
1.1,749466.7322290249,695757.6925051798,617415.6681420989,1057867.6845983027,0.9997514718603377,0.9998901528255799,0.9991375838546155,0.9999999999999631,670135.6235677671,618856.2309665454,552759.4101420989,946580.4640729488,0.9981973023509976,0.9990812169828083,0.9940254600647827,0.9999999999989967,0.010383903992046212,0.004994033790770446,2.177669782712025e-11,0.03486375367854438,0.0005758892486469017,0.0002818896861820329,-3.014694787548371e-12,0.001941252861463556,0.9211845833289121,0.9150105925105497,0.9090909090960047,0.9498572191816438,7.090099647493046,2.6463741487280807,-3.166691975585078e-08,28.430145990164828,253411.6775122651,234629.24871794868,209458.625,356596.41397242947,414556.3436164699,382278.0880640935,341624.49187500007,586721.7861428572,0.14138549746688403,0.1431587210532833,0.13302141299985462,0.1488667457536507,0.02485281396622527,4
1.2,749466.7322290249,695757.6925051798,617415.6681420989,1057867.6845983027,0.9997514718603377,0.9998901528255799,0.9991375838546155,0.9999999999999631,670135.6235677671,618856.2309665454,552759.4101420989,946580.4640729488,0.9981973023509976,0.9990812169828083,0.9940254600647827,0.9999999999989967,0.01038390399204624,0.004994033790770446,2.177669782712025e-11,0.03486375367854438,0.0005278984779263279,0.00025839887900019686,-2.7634702219193406e-12,0.0017794817896749264,0.8444192013848361,0.8387597098013373,0.8333333333380043,0.8707024509165069,7.09009964749306,2.6463741487280807,-3.166691975585078e-08,28.430145990164828,253501.67751225593,234629.24871794868,209458.625,356596.41397242947,414515.0264927177,382278.0880640935,341624.49187500007,586721.7861428572,0.1413854974668867,0.1431587210532833,0.13302141299985462,0.1488667457536507,0.02485281396622527,4
