case,variable,depot_id,product_id,baseline_value,minimum,maximum,range_width,forced_flip_objective_gap
210202,y,90015100,,1,1,1,0.0,1334.3159740373521
210202,y,90016100,,1,1,1,0.0,1785.8574748028623
210202,y,90016200,,1,1,1,0.0,3479.6978146964393
210202,y,90016500,,1,1,1,0.0,78.43563721689861
210202,y,90016700,,1,1,1,0.0,5907.456553394033
210202,y,90016900,,1,1,1,0.0,4037.9130740402034
210202,y,90017100,,1,1,1,0.0,2151.361699920133
210202,y,90018300,,1,1,1,0.0,134.99327219369297
210202,y,90019100,,1,1,1,0.0,445.6792502319731
210202,y,91017200,,1,1,1,0.0,484.60664965130854
210202,y,91017300,,0,0,0,0.0,484.60664965130854
210202,y,91017500,,1,1,1,0.0,526.3227820447792
210202,y,91017600,,0,0,0,0.0,21.8083585351269
210202,y,91017700,,1,1,1,0.0,484.60664965130854
210202,y,9624708,,1,1,1,0.0,63.67832475165778
210202,x,90015100,BAC---1041,,0.0,9.99799215223307e-07,9.99799215223307e-07,
210202,x,90015100,BAC-O-4312,,78.8571362252618,78.8571437949597,7.569697899612038e-06,
210202,x,90015100,BAC-O-4325,,49.14277358433234,49.142863711291746,9.012695940668891e-05,
210202,x,90015100,BAC-O-6423,,134.21427869156366,134.21428693627308,8.24470942006883e-06,
210202,x,90015100,BAC-O-6433,,3.3420441485207846,3.3421643165500825,0.00012016802929792902,
210202,x,90015100,CON-S-0130,,0.0,4.537804257354061e-06,4.537804257354061e-06,
210202,x,90015100,SLI---0770,,46.42855691712595,46.428573444956854,1.6527830901225116e-05,
210202,x,90015100,SLI---1200,,6.214261736346565,6.214288300386545,2.656403998013701e-05,
210202,x,90016100,BAC---1041,,0.0,2.2713871068447133e-06,2.2713871068447133e-06,
210202,x,90016100,BAC-O-4312,,20.071426306941216,20.071950282579326,0.0005239756381101301,
210202,x,90016100,BAC-O-4325,,76.85713369297639,76.8572264103432,9.271736681171205e-05,
210202,x,90016100,BAC-O-6423,,38.87115049766258,38.87121207544484,6.157778225457378e-05,
210202,x,90016100,BAC-O-6433,,380.3234019609944,380.32352211762975,0.00012015663537567889,
210202,x,90016100,CON-S-0130,,0.0,4.660225280783692e-05,4.660225280783692e-05,
210202,x,90016100,SLI---0770,,0.0,3.769364361168925e-05,3.769364361168925e-05,
210202,x,90016100,SLI---1200,,25.01454021433955,25.015296861178896,0.0007566468393456205,
210202,x,90016200,BAC---1041,,46.57142669186837,46.571429120097704,2.4282293367150487e-06,
210202,x,90016200,BAC-O-4312,,19.785713068383934,19.78571569303251,2.6246485766989736e-06,
210202,x,90016200,BAC-O-4325,,83.07142339821179,83.07143003534478,6.637132983655647e-06,
210202,x,90016200,BAC-O-6423,,131.08589564095087,131.08593366675697,3.8025806105679294e-05,
210202,x,90016200,BAC-O-6433,,402.4285640819618,402.42857265978756,8.577825781230786e-06,
210202,x,90016200,CON-S-0130,,83.35709626564028,83.35714499003882,4.8724398538979585e-05,
210202,x,90016200,SLI---0770,,173.49999662939635,173.50002661195566,2.9982559311747536e-05,
210202,x,90016200,SLI---1200,,12.285712559615193,12.285715438606417,2.878991223198568e-06,
210202,x,90016500,BAC---1041,,0.0,2.563917593167986e-07,2.563917593167986e-07,
210202,x,90016500,BAC-O-4312,,0.0,3.553063490091546e-07,3.553063490091546e-07,
210202,x,90016500,BAC-O-4325,,26.64285648255462,26.642857173435598,6.908809773165103e-07,
210202,x,90016500,BAC-O-6423,,0.0,5.568945261253637e-06,5.568945261253637e-06,
210202,x,90016500,BAC-O-6433,,0.0,1.1105117188154032e-06,1.1105117188154032e-06,
210202,x,90016500,CON-S-0130,,0.0,7.37070824374797e-07,7.37070824374797e-07,
210202,x,90016500,SLI---0770,,8.613493655007813,8.61350412171567,1.0466707855982804e-05,
210202,x,90016500,SLI---1200,,0.0,1.9825216552177808e-07,1.9825216552177808e-07,
210202,x,90016700,BAC---1041,,226.9499981439907,226.95000005529505,1.911304337909314e-06,
210202,x,90016700,BAC-O-4312,,0.0,9.289485394248231e-07,9.289485394248231e-07,
210202,x,90016700,BAC-O-4325,,0.0,5.21483681414385e-07,5.21483681414385e-07,
210202,x,90016700,BAC-O-6423,,0.0,1.6361345416271433e-06,1.6361345416271433e-06,
210202,x,90016700,BAC-O-6433,,225.64312988922853,225.64314203718695,1.2147958415198445e-05,
210202,x,90016700,CON-S-0130,,163.64284471687043,163.6428573828906,1.2666020182905413e-05,
210202,x,90016700,SLI---0770,,0.0,5.365470798324168e-06,5.365470798324168e-06,
210202,x,90016700,SLI---1200,,72.14285450456583,72.14285726558393,2.761018095043255e-06,
210202,x,90016900,BAC---1041,,39.78571367747487,39.7857161661474,2.488672535605474e-06,
210202,x,90016900,BAC-O-4312,,46.54037821275815,46.540379891912444,1.6791542947203197e-06,
210202,x,90016900,BAC-O-4325,,135.99999853604737,136.0000051734815,6.637434125877917e-06,
210202,x,90016900,BAC-O-6423,,126.77144205839814,126.77144932457449,7.266176353937226e-06,
210202,x,90016900,BAC-O-6433,,280.32114367731447,280.32115582319733,1.2145882863023871e-05,
210202,x,90016900,CON-S-0130,,31.64285501092709,31.64286957418233,1.4563255241739625e-05,
210202,x,90016900,SLI---0770,,190.9999946359339,191.00000248871822,7.852784335682372e-06,
210202,x,90016900,SLI---1200,,15.714284733527437,15.714289081487744,4.347960306461118e-06,
210202,x,90017100,BAC---1041,,15.142854872455747,15.14285988796428,5.015508532935087e-06,
210202,x,90017100,BAC-O-4312,,45.64233522980505,45.642859407923844,0.0005241781187947936,
