beta_token,beta,Gamma_token,Gamma,case_count,material_case_count,active_depot_change_case_count,positive_inventory_footprint_change_case_count,budget_binding_case_count,composition_change_vs_G0_case_count,mean_objective,median_objective,min_objective,max_objective,mean_normalized_objective,median_normalized_objective,min_normalized_objective,max_normalized_objective,mean_robust_recourse_cost,median_robust_recourse_cost,min_robust_recourse_cost,max_robust_recourse_cost,mean_normalized_robust_recourse,median_normalized_robust_recourse,min_normalized_robust_recourse,max_normalized_robust_recourse,mean_fixed_cost,median_fixed_cost,min_fixed_cost,max_fixed_cost,mean_inventory_cost,median_inventory_cost,min_inventory_cost,max_inventory_cost,mean_reconfiguration_cost,median_reconfiguration_cost,min_reconfiguration_cost,max_reconfiguration_cost,mean_RI,median_RI,min_RI,max_RI,mean_RS,median_RS,min_RS,max_RS,mean_canonical_total_adjustment,median_canonical_total_adjustment,min_canonical_total_adjustment,max_canonical_total_adjustment,mean_budget_utilization,median_budget_utilization,min_budget_utilization,max_budget_utilization,mean_budget_slack,median_budget_slack,min_budget_slack,max_budget_slack,mean_inventory_spending_share,median_inventory_spending_share,min_inventory_spending_share,max_inventory_spending_share,mean_reconfiguration_spending_share,median_reconfiguration_spending_share,min_reconfiguration_spending_share,max_reconfiguration_spending_share,mean_shortage_cost,median_shortage_cost,min_shortage_cost,max_shortage_cost,mean_transportation_cost,median_transportation_cost,min_transportation_cost,max_transportation_cost,mean_service_penalty,median_service_penalty,min_service_penalty,max_service_penalty,mean_total_shortage,median_total_shortage,min_total_shortage,max_total_shortage,mean_minimum_fill_rate,median_minimum_fill_rate,min_minimum_fill_rate,max_minimum_fill_rate,mean_average_fill_rate,median_average_fill_rate,min_average_fill_rate,max_average_fill_rate,mean_active_depots,median_active_depots,min_active_depots,max_active_depots,mean_runtime_seconds,median_runtime_seconds,min_runtime_seconds,max_runtime_seconds,mean_iterations,median_iterations,min_iterations,max_iterations,mean_cuts,median_cuts,min_cuts,max_cuts,mean_master_solves,median_master_solves,min_master_solves,max_master_solves,mean_subproblem_evaluations,median_subproblem_evaluations,min_subproblem_evaluations,max_subproblem_evaluations
B080,0.8,G0,0,8,8,6,6,8,0,702773.294092272,642226.8944382393,542905.0389462912,1044461.3975043293,0.9318440575024943,0.9274524501736189,0.8793185320025704,0.986475579437097,640261.3165567522,580705.7252081442,491180.0325479264,959252.6327051243,0.9472376321143342,0.9429417514075481,0.8885964192263047,1.0073327896925426,1295.0595,1363.776,592.98,1896.708,60395.430252157625,58757.43284181445,50224.65617996699,82979.31031500496,821.4877833620997,801.2183578908547,675.432821031116,1120.534484200062,0.3680661869014027,0.3687460863398689,0.34031946147038195,0.38931815028849515,0.01313907677076282,0.013148377156843014,0.01305814862214244,0.013157894736842124,219.4395608037364,213.46015713559297,181.10879011912954,296.843596227487,1.0000000000000004,1.0000000000000004,0.9999999999999998,1.000000000000002,-3.183231456205249e-11,-2.546585164964199e-11,-1.2369127944111824e-10,1.4551915228366852e-11,0.965479059594833,0.9644709948676633,0.9562252293069603,0.97547776386411,0.01313907677076282,0.013148377156843014,0.01305814862214244,0.013157894736842124,242580.86349392415,220198.59870945162,186244.62901420286,363146.5739103005,766.5370339924556,743.8382625289457,533.6446444596553,1061.495989439045,396913.9160293353,359808.3490325401,304263.26367626624,595044.562805484,3690.513831024406,3313.0055511970804,2866.7087901420286,5619.450739103005,0.0,0.0,0.0,0.0,0.09258099252912755,0.09089054056576243,0.08501770497767856,0.10362674941380214,1.75,1.0,1.0,4.0,0.07972181258787714,0.06198784997013718,0.04147860035300255,0.1598507002927363,3.5,3.0,3.0,7.0,9.5,9.0,9.0,13.0,3.5,3.0,3.0,7.0,36.0,32.0,32.0,64.0
B080,0.8,G2,2,8,8,6,6,8,0,757499.1977360781,703118.017104906,623354.3933212913,1070819.5202181868,1.0103229484606364,1.0101138626102337,1.008105387492562,1.0121799151203994,694987.2202005582,641596.8478748109,571629.3869229265,985610.7554189813,1.0349097925078263,1.0353387842432649,1.0301137074561038,1.0373618927008061,1295.0595,1363.776,592.98,1896.708,60395.430252157756,58757.43284181443,50224.65617996746,82979.31031500548,821.4877833620926,801.2183578908554,675.4328210311128,1120.5344842000356,0.3680661869014031,0.3687460863398659,0.3403194614703833,0.3893181502885004,0.013139076770762708,0.013148377156842759,0.01305814862214238,0.013157894736842118,219.43956080373655,213.46015713559473,181.10879011912948,296.8435962274837,1.0000000000000024,1.0000000000000009,0.9999999999999998,1.000000000000009,-1.5370460459962487e-10,-4.729372449219227e-11,-5.529727786779404e-10,1.4551915228366852e-11,0.9654790595948349,0.9644709948676631,0.9562252293069613,0.9754777638641102,0.013139076770762708,0.013148377156842759,0.01305814862214238,0.013157894736842118,263173.01483195665,243047.05138297332,216432.004014202,373148.5596246052,614.3572965776184,612.6635454007483,343.4940309813246,863.9023460587487,431199.8480720239,397851.02299346443,354525.2430512745,611697.869019781,3791.5928580837603,3400.5850522912715,2988.58379014202,5697.2650248174805,0.0,0.0,0.0,0.0,0.09263736450800998,0.09089054056576418,0.08546868080555299,0.10362674941693435,1.75,1.0,1.0,4.0,1.2059050750394817,1.1459785000188276,0.8741103000938892,2.0106341999489814,3.5,3.0,3.0,7.0,26.375,26.0,25.0,32.0,3.5,3.0,3.0,7.0,108.0,96.0,96.0,192.0
B080,0.8,G4,4,8,8,6,6,8,1,788232.7875770944,737622.2155984358,651142.0151962913,1089238.743861044,1.0537196688133206,1.0553303030481245,1.0287670023642068,1.0768630523891887,725720.8100415753,676101.046368344,599417.0087979265,1004029.9790618385,1.0834119174704127,1.0867577364262837,1.0543544893811205,1.1106868812270516,1295.0595,1363.776,592.98,1896.708,60395.43025215693,58757.43284181101,50224.65617996711,82979.31031500548,821.4877833621246,801.218357890983,675.4328210311128,1120.5344842000356,0.3680661869014126,0.36874608633987266,0.3403194614704628,0.38931815028849953,0.013139076770763237,0.013148377156842998,0.01305814862214238,0.013157894736846478,219.43956080374178,213.4601571355904,181.10879011912948,296.8435962274837,0.9999999999999895,1.000000000000003,0.9999999999998885,1.0000000000000089,6.330083124339581e-10,-1.8917489796876907e-10,-5.529727786779404e-10,6.810296326875687e-09,0.9654790595948215,0.9644709948676069,0.9562252293069635,0.9754777638641102,0.013139076770763237,0.013148377156842998,0.01305814862214238,0.013157894736846478,274713.74185250286,256027.91035804574,226858.87901420213,380060.0881960142,591.9096276580682,612.6635455000971,343.49403108134516,863.9023462581682,450415.15856152057,419464.15318804316,371885.989926274,623205.5640911979,3853.251242929791,3482.133770247126,3040.458790142021,5731.650739103,1.5265566588595902e-16,0.0,0.0,1.2212453270876722e-15,0.09263736379819804,0.09089054056576623,0.08546867512944674,0.1036267494142934,1.75,1.0,1.0,4.0,12.999092762437726,10.347634950187057,7.278121399693191,32.731618099845946,3.375,3.0,3.0,6.0,45.0,44.0,42.0,54.0,3.375,3.0,3.0,6.0,175.0,160.0,160.0,280.0
B100,1.0,G0,0,8,0,0,0,8,0,695554.0185379063,634866.5698387233,536966.313767111,1034674.0388239038,0.9222132475414181,0.9182813965957016,0.8696998496697288,0.9772315898090441,617414.046618499,557965.1083011045,472310.05576909246,928163.0828248976,0.9130995123923101,0.9080326981561004,0.854458643491459,0.9746849533005614,1314.786,1371.234,691.008,1909.9080000000001,76825.18591943166,74781.79999963153,63965.24999822569,105389.99999899956,-2.4227703926404942e-08,0.0,-2.071274771697773e-07,6.657707718460415e-09,2.630686980384964e-11,4.171925586044371e-12,5.363526386455982e-17,1.1724219869937388e-10,-3.834225940506339e-13,0.0,-3.203517858647579e-12,7.371969596088943e-14,1.4311556301160877e-08,3.0908979820054583e-09,2.842170943040401e-14,5.820635506914584e-08,1.000000000000121,1.0,0.9999999999999998,1.0000000000009681,-7.824382919352502e-09,0.0,-6.259506335482001e-08,1.4551915228366852e-11,0.9826084760085759,0.981999695507006,0.9753270011513078,0.9904761221408098,-3.834225940506339e-13,0.0,-3.203517858647579e-12,7.371969596088943e-14,234086.92108516468,211780.7974358971,179271.25,351522.9,2127.0029581712943,2099.7905896959664,1516.1503743484448,3099.41675269835,381200.122573909,344235.4166795644,291362.5125,573540.7660714287,3471.0742736950524,3100.2530769230725,2685.6000000000004,5322.607142857141,6.106226635438361e-16,0.0,0.0,3.4416913763379853e-15,0.14082779239321008,0.142869824584115,0.13302141299987194,0.14742642735621023,2.625,2.0,2.0,5.0,0.09696436248486862,0.09405425004661083,0.07482429989613593,0.1164369999896735,5.0,5.0,5.0,5.0,13.25,13.0,13.0,14.0,5.0,5.0,5.0,5.0,48.0,48.0,48.0,48.0
B100,1.0,G2,2,8,4,0,0,8,4,749687.0326880203,695757.6925054074,617415.6681423202,1058780.7942496866,1.0,1.0,1.0,1.0,671547.0607686205,618856.2309677879,552759.4101443642,952269.8382506805,1.0,1.0,1.0,1.0,1314.786,1371.234,691.008,1909.9080000000001,76705.77371476789,74781.79999962746,63898.34302485392,104911.1764875929,119.41220463189723,44.57051186150994,0.0,478.8235114133023,0.040989094550600375,0.019713291059970106,3.0942602355362093e-12,0.13762008031004352,0.0013336382609564165,0.0006527971679711775,0.0,0.004495532942336655,27.987235467748505,10.446213739908364,1.82907911039365e-09,112.22426048749267,1.000000000000002,1.0,0.9999999999999997,1.0000000000000173,-1.609805622138083e-10,3.637978807091713e-12,-1.3387762010097504e-09,2.9103830456733704e-11,0.9812748377471171,0.9819996955069523,0.9733130977710848,0.9893125890438391,0.0013336382609564165,0.0006527971679711775,0.0,0.004495532942336655,253996.79731504028,234629.24871794874,209458.625,358942.64917865157,1911.4482019169736,1807.3222922737477,1516.1503744137008,2381.63799702283,415638.8152516632,382278.0880641209,341624.49187500007,591062.3212748348,3565.939574511979,3187.832564102564,2807.475,5417.3568256608505,2.2315482794965646e-14,1.1102230246251565e-15,0.0,1.6997514507011147e-13,0.13568251076015533,0.1362756072517014,0.11974816491655471,0.14478398181076774,2.625,2.0,2.0,5.0,1.2781659250031225,1.2380125001072884,0.9831330000888556,1.7427417999133468,4.625,5.0,4.0,5.0,32.5,33.0,31.0,34.0,4.625,5.0,4.0,5.0,135.0,144.0,120.0,144.0
B100,1.0,G4,4,8,5,0,0,8,5,779636.2736152794,729076.0165904132,645203.2900173202,1076954.985082896,1.0422786001723383,1.0459462122382157,1.0171652063693586,1.0637163271294572,701496.3016958794,652174.5550527929,580547.0320193642,970444.0290838898,1.0472508939986123,1.0516064781800005,1.0190851270335257,1.0715004287797367,1314.786,1371.234,691.008,1909.9080000000001,76505.2112664852,74468.97147203865,63708.85193930221,104849.90520777169,319.97465291479557,408.30297564929106,4.084290239347865e-09,625.6570551816772,0.12453631727980913,0.15459716446752805,3.20992987839238e-12,0.2632614315051285,0.0040159334524314284,0.005038957917647026,5.3802976217916864e-14,0.008457403916640984,74.99405929647209,95.69600991780268,1.8974537496774246e-09,146.6383724244373,1.0000000000000049,0.9999999999999998,0.9999999999999996,1.0000000000000404,-3.792592906393111e-10,1.0913936421275139e-11,-3.128661774098873e-09,4.3655745685100555e-11,0.978592542555645,0.9796095935080414,0.9683857722728748,0.9893125890438391,0.0040159334524314284,0.005038957917647026,5.3802976217916864e-14,0.008457403916640984,265407.9468220869,247285.54809495615,219885.5,365538.0659403893,1607.2168504848037,1513.8077038312513,814.8099183051545,2381.6379950487053,434481.1380229718,403290.78300134867,358985.23875,602704.9566407697,3659.7605370916826,3305.552080594445,2859.35,5453.141317399666,1.7444379274422772e-14,6.106226635438361e-16,0.0,7.605027718682322e-14,0.12722949841597683,0.12513607844414826,0.11331826715511613,0.1442635707325769,2.625,2.0,2.0,5.0,12.089464824966853,11.713009099825285,9.079976900015026,15.278107000049204,5.125,5.0,4.0,8.0,56.75,56.0,51.0,64.0,5.125,5.0,4.0,8.0,245.0,240.0,200.0,360.0
B120,1.2,G0,0,8,0,0,0,0,0,695554.0185379208,634866.5698386398,536966.3137671052,1034674.0388238613,0.9222132475414514,0.9182813965959906,0.8696998496697194,0.977231589809004,617414.0466175,557965.1082998789,472310.0557671052,928163.0828238054,0.9130995123907693,0.9080326981546327,0.8544586434878638,0.9746849532994144,1314.786,1371.234,691.008,1909.9080000000001,76825.18592040456,74781.80000029952,63965.250000000015,105390.0,1.620547096514713e-08,0.0,0.0,5.5833471179767e-08,4.5722101491249075e-11,2.6036512409173725e-11,1.5968237122492887e-11,1.3072700913113046e-10,1.4865353412420281e-13,0.0,0.0,4.91217986650036e-13,2.6155956595053098e-08,1.9330752110136018e-08,8.46168290991045e-09,7.281581559936967e-08,0.8333333333445654,0.8333333333414625,0.8333333333395301,0.8333333333596784,15627.994382858777,15230.60679925832,12931.251597547147,21302.191198751592,0.8188403966844763,0.8183330795964812,0.8127725009766804,0.8253967684594256,1.4865353412420281e-13,0.0,0.0,4.91217986650036e-13,234086.92108516453,211780.7974358974,179271.25,351522.8999999999,2127.0029586063533,2099.7905896345956,1516.1503743037615,3099.4167523268507,381200.1225738418,344235.4166792957,291362.5125,573540.7660714287,3471.07427369505,3100.253076923076,2685.6,5322.607142857141,2.19824158875781e-14,0.0,0.0,1.5443202272535927e-13,0.1408277923947843,0.1428698245905446,0.13302141299979825,0.14742642735621533,2.625,2.0,2.0,5.0,0.09819724995486467,0.09695949998058495,0.07757999980822206,0.13313789991661906,5.0,5.0,4.0,6.0,13.0,13.0,12.0,14.0,5.0,5.0,4.0,6.0,48.0,48.0,40.0,56.0
B120,1.2,G2,2,8,4,0,0,0,4,749466.7322290249,695757.6925051798,617415.6681420989,1057867.6845983027,0.9997514718603377,0.9998901528255799,0.9991375838546155,0.9999999999999631,670135.6235677671,618856.2309665454,552759.4101420989,946580.4640729488,0.9981973023509976,0.9990812169828083,0.9940254600647827,0.9999999999989967,1314.786,1371.234,691.008,1909.9080000000001,77959.60186409068,74781.80000029952,63965.250000000015,109938.82335743257,56.72079716711056,21.170993138488956,-2.5333535804680626e-07,227.44116792131865,0.01038390399204624,0.004994033790770446,2.177669782712025e-11,0.03486375367854438,0.0005278984779263279,0.00025839887900019686,-2.7634702219193406e-12,0.0017794817896749264,7.090099673609737,2.646374179129715,1.2872641619310343e-08,28.430145990164828,0.8444192013848361,0.8387597098013373,0.8333333333380043,0.8707024509165069,14436.85764202174,15230.606799366738,11741.26616424309,16525.926673453534,0.8293983662469693,0.8243995464371551,0.8127725009766802,0.860152697644068,0.0005278984779263279,0.00025839887900019686,-2.7634702219193406e-12,0.0017794817896749264,253501.67751225593,234629.24871794868,209458.625,356596.41397242947,2118.9195627934387,2137.8265599295264,1516.1503736811574,3262.2639576621586,414515.0264927177,382278.0880640935,341624.49187500007,586721.7861428572,3550.0906529842805,3187.832564102563,2807.475,5333.5627111528665,8.479328350574633e-15,0.0,0.0,5.3512749786932545e-14,0.1413854974668867,0.1431587210532833,0.13302141299985462,0.1488667457536507,2.625,2.0,2.0,5.0,1.365629049949348,1.3818851999239996,1.0716995000839233,1.564868199871853,5.125,5.0,4.0,6.0,33.875,33.5,32.0,37.0,5.125,5.0,4.0,6.0,147.0,144.0,120.0,168.0
B120,1.2,G4,4,8,5,0,0,0,5,778866.8344988613,728181.5615177166,645203.2900170994,1075882.102595426,1.0412512251521944,1.0456699416483046,1.0161518875659794,1.0614261585232878,697534.8257198872,648157.1391437082,580547.0320170993,963983.7010538558,1.0413925429445121,1.0477914088109368,1.012300991097958,1.0586288432914204,1314.786,1371.234,691.008,1909.9080000000001,79865.22102384023,75094.06153846154,63965.250000000015,110520.90051573372,152.00175513399708,193.94391343341476,0.0,297.4248410024779,0.03155211345961889,0.03916461500483523,2.177669782712025e-11,0.0667462481397104,0.0015897701544623514,0.0019945875090686136,0.0,0.0033461676721324653,19.000219412082597,24.242989182376803,1.2872641619310343e-08,37.178105188773515,0.8667185065968119,0.8752196710262112,0.8333333333409182,0.903602854448183,12435.957524305317,13063.403266249195,7897.957277395733,15914.745657237334,0.8506357997824092,0.8586040537351782,0.8127725009766802,0.8816442772190916,0.0015897701544623514,0.0019945875090686136,0.0,0.0033461676721324653,263442.88206659054,245751.20243292244,219885.5,362891.6014627804,2161.7004643208043,2220.778105787307,1525.7483732741052,3283.1022323832035,431930.2431886908,400452.2435265571,358985.23875,597808.997357143,3596.703427007479,3250.792229457429,2859.35,5358.624728913518,1.04638520070921e-14,0.0,0.0,7.982503547054876e-14,0.14265739726681123,0.14392185962969845,0.13302141299987236,0.15025874714490237,2.625,2.0,2.0,5.0,14.56163788750888,12.174278600141406,9.008636799640954,30.989847800000007,5.375,5.0,5.0,7.0,60.625,59.0,56.0,66.0,5.375,5.0,5.0,7.0,255.0,240.0,240.0,320.0
