depot_id,product_id,initial_inventory,mapping_status
91017700,CON-S-0130,,MISSING_SOURCE_FIELD
91017700,SLI---0770,,MISSING_SOURCE_FIELD
91017700,SLI---1200,,MISSING_SOURCE_FIELD
9624708,BAC---1041,,MISSING_SOURCE_FIELD
9624708,BAC-O-4312,,MISSING_SOURCE_FIELD
9624708,BAC-O-4325,,MISSING_SOURCE_FIELD
9624708,BAC-O-6423,,MISSING_SOURCE_FIELD
9624708,BAC-O-6433,,MISSING_SOURCE_FIELD
9624708,CON-S-0130,,MISSING_SOURCE_FIELD
9624708,SLI---0770,,MISSING_SOURCE_FIELD
9624708,SLI---1200,,MISSING_SOURCE_FIELD
