common_scenario,scenario_source_solution,evaluated_solution,shock_set,recourse_cost,transportation_cost,shortage_cost,soft_service_penalty,total_shortage,FR_min,avg_fill,worst_region
C_A3,A3,A3,"[[""1"", ""SLI---0770""], [""8"", ""BAC-O-4312""]]",33184.482045254714,18846.929196337416,11277.37651362565,3060.176335748445,457.7739060958015,0.7649740428290493,0.9718966617684526,12
C_A3,A3,A4,"[[""1"", ""SLI---0770""], [""8"", ""BAC-O-4312""]]",33184.48204525425,18846.92919654574,11277.376513627802,3060.1763357483806,457.7739060958661,0.7649740428290482,0.9718966617684442,12
C_A3,A3,A5,"[[""1"", ""SLI---0770""], [""8"", ""BAC-O-4312""]]",32149.772164505033,18632.53130287474,10663.569720075497,2853.6711420426595,462.5186748429449,0.7515143799570729,0.9745941420807318,12
C_A4,A4,A3,"[[""1"", ""SLI---0770""], [""8"", ""BAC-O-4312""]]",33184.482045254714,18846.929196337416,11277.37651362565,3060.176335748445,457.7739060958015,0.7649740428290493,0.9718966617684526,12
C_A4,A4,A4,"[[""1"", ""SLI---0770""], [""8"", ""BAC-O-4312""]]",33184.48204525425,18846.92919654574,11277.376513627802,3060.1763357483806,457.7739060958661,0.7649740428290482,0.9718966617684442,12
C_A4,A4,A5,"[[""1"", ""SLI---0770""], [""8"", ""BAC-O-4312""]]",32149.772164505033,18632.53130287474,10663.569720075497,2853.6711420426595,462.5186748429449,0.7515143799570729,0.9745941420807318,12
C_A5,A5,A3,"[[""8"", ""BAC-O-4312""], [""12"", ""BAC---1041""]]",32810.525478714786,18937.04691530386,8512.747942132177,5360.730621527644,523.5024775260686,0.7403827566197294,0.969847387917676,12
C_A5,A5,A4,"[[""8"", ""BAC-O-4312""], [""12"", ""BAC---1041""]]",32810.52547871432,18937.04691564948,8512.747942138187,5360.730621531969,523.5024775263972,0.7403827566195853,0.9698473879176559,12
C_A5,A5,A5,"[[""8"", ""BAC-O-4312""], [""12"", ""BAC---1041""]]",32261.04063060048,18705.691690097527,8401.123513084687,5154.225427758509,530.7456659951423,0.7261999101523611,0.9724846029303394,12
