run_id,mode,objective,original_objective,objective_absolute_difference,runtime_seconds,optimality_gap,solution_payload_sha256,solution_file_sha256
A3,existing_system,108999.13573275977,108999.13573275977,0.0,0.009999990463256836,0.0,ecad6cd417efa5f101782c370119dece55c483ca1c50969961650674e05b8666,9a302ce88eb1189337158b796e30630302c4c3d87e66ec5458bbd5573d5d63d2
A4,nominal_reconfiguration,108999.13573275965,108999.13573275965,0.0,0.03500008583068848,0.0,b402255a469e708010d7a374a5831ecaf55c8b06b126e5f2273ea79f65e594f3,404d859d14d6a7dbfa8ed6a5ca4622db262958ab37a48151bcb18f143325b31b
A5,robust_reconfiguration,116875.3457619544,116875.3457619544,0.0,9.735000133514404,0.0,669129e988a8ab1c18eddc78edf00ab477f35a7762cf4985b92dbe55eab4919b,268b7b777f805b352e1084ea170f811ced7728faf40a00d2f1471c4aa161b2c8
