scale,seed,method,status,exact_certification,objective,iterations,cuts,core_runtime_seconds,master_runtime_seconds,oracle_runtime_seconds,certification_runtime_seconds,peak_process_tree_memory_gib,iter90,iter95,iter99
L10,20260921,aggregate_benders_structured_oracle,OPTIMAL,True,2048661.1441684463,8,7,28.22424649997265,0.10164589999476448,16.389135500008706,1.7132243000087328,1.8138236999511719,2,2,2
L10,20260921,prb_benders,OPTIMAL,True,2048661.1441684843,7,56,25.2911084999796,0.12504899996565655,13.942083399975672,1.7777357999875676,1.8157272338867188,2,2,2
L10,20260921,pure_benders,OPTIMAL,True,2048661.1441685709,10,9,1.1996219999855384,0.21040879999054596,0.3591963000362739,0.4094205000437796,0.069732666015625,2,2,2
L10,20260922,aggregate_benders_structured_oracle,OPTIMAL,True,2315097.0066326396,8,7,26.07340339999064,0.122152800031472,15.179754700016929,1.7533639000030234,1.8141441345214844,2,2,2
L10,20260922,prb_benders,OPTIMAL,True,2315097.0066326396,5,47,20.767615799995838,0.07584569999016821,9.777983900014078,1.7737612999917474,1.8141326904296875,2,2,2
L10,20260922,pure_benders,OPTIMAL,True,2315097.0066326354,8,7,0.8378904999990482,0.14780949996202253,0.23155399999814108,0.28188809999846853,0.055248260498046875,2,2,2
L10,20260923,aggregate_benders_structured_oracle,OPTIMAL,True,1455944.876890503,52,51,109.66744339998695,1.2594162001623772,97.32671520006261,1.7421717999968678,1.8200645446777344,2,2,2
L10,20260923,prb_benders,OPTIMAL,True,1455944.8768905029,18,87,45.632186400005594,0.31935869998415,33.735998100048164,1.723697000008542,1.8175697326660156,2,2,2
L10,20260923,pure_benders,OPTIMAL,True,1455944.876890503,70,69,6.3273603999987245,1.6379163999517914,2.1312458999454975,1.7868539999763016,0.08319091796875,2,2,2
L10,20260924,aggregate_benders_structured_oracle,OPTIMAL,True,1670084.0125524732,12,11,35.46081869999762,0.18959270001505502,24.329505399917252,1.733810799982166,1.8147430419921875,2,2,3
L10,20260924,prb_benders,OPTIMAL,True,1670084.0125524737,8,61,27.69252020001295,0.17403050005668774,16.388440200011246,1.7820957000076305,1.8178291320800781,2,2,2
L10,20260924,pure_benders,OPTIMAL,True,1670084.0125522665,17,16,1.6062629999942146,0.3763168000150472,0.3854933000111487,0.5630873999907635,0.06915283203125,2,2,3
L10,20260925,aggregate_benders_structured_oracle,OPTIMAL,True,2110693.7284294404,9,8,29.417676299985033,0.11827920001815073,18.199393299990334,1.7346215000143275,1.8107757568359375,2,2,2
L10,20260925,prb_benders,OPTIMAL,True,2110693.728429405,4,50,19.019667200016556,0.04586129996459931,8.138226799987024,1.6710372999950778,1.8118553161621094,2,2,2
L10,20260925,pure_benders,OPTIMAL,True,2110693.728429405,13,12,1.407714999979362,0.20371960004558787,0.5970749000262003,0.38490650002495386,0.07332229614257812,2,2,2
L10,20260926,aggregate_benders_structured_oracle,OPTIMAL,True,2032984.9093269228,14,13,39.19728980000946,0.2259674000670202,28.043827100016642,1.7831561999919359,1.8129844665527344,2,2,2
L10,20260926,prb_benders,OPTIMAL,True,2032984.9093276798,6,56,23.85027789999731,0.11462950002169237,12.412992100056726,1.7098026000021491,1.8166007995605469,2,2,2
