row_type,method,fold_a,fold_b,top5_a,top5_b,intersection_size,union_size,jaccard_overlap,average_jaccard,minimum_jaccard,maximum_jaccard
fold_pair,logistic_full,210330,210428,Gamma|beta|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products,Gamma|beta|demand_density|incumbent_inventory_concentration_across_depots|total_deviation,4,6,0.6666666666666666,,,
fold_pair,logistic_full,210330,210611,Gamma|beta|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products,Gamma|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products|nominal_demand_cv,4,6,0.6666666666666666,,,
fold_pair,logistic_full,210330,210628,Gamma|beta|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products,Gamma|beta|capacity_slack_ratio|incumbent_capacity_utilization|incumbent_inventory_concentration_across_depots,3,7,0.42857142857142855,,,
fold_pair,logistic_full,210428,210611,Gamma|beta|demand_density|incumbent_inventory_concentration_across_depots|total_deviation,Gamma|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products|nominal_demand_cv,3,7,0.42857142857142855,,,
fold_pair,logistic_full,210428,210628,Gamma|beta|demand_density|incumbent_inventory_concentration_across_depots|total_deviation,Gamma|beta|capacity_slack_ratio|incumbent_capacity_utilization|incumbent_inventory_concentration_across_depots,3,7,0.42857142857142855,,,
fold_pair,logistic_full,210611,210628,Gamma|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products|nominal_demand_cv,Gamma|beta|capacity_slack_ratio|incumbent_capacity_utilization|incumbent_inventory_concentration_across_depots,2,8,0.25,,,
fold_summary,logistic_full,210129,ALL_OTHER_FOLDS,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|product_demand_concentration,,,,,0.25,0.25,0.25
fold_summary,logistic_full,210202,ALL_OTHER_FOLDS,Gamma|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products|nominal_demand_cv,,,,,0.46768707482993194,0.25,1.0
fold_summary,logistic_full,210310,ALL_OTHER_FOLDS,Gamma|beta|demand_density|fixed_cost_cv|incumbent_inventory_concentration_across_products,,,,,0.38605442176870747,0.25,0.6666666666666666
fold_summary,logistic_full,210323,ALL_OTHER_FOLDS,Gamma|beta|incumbent_inventory_concentration_across_depots|total_deviation|transport_cost_cv,,,,,0.36054421768707484,0.25,0.6666666666666666
fold_summary,logistic_full,210330,ALL_OTHER_FOLDS,Gamma|beta|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products,,,,,0.5391156462585034,0.25,0.6666666666666666
