held_out_case,method,train_case_count,train_n,test_n,tuned_parameter,accuracy,balanced_accuracy,material_recall,false_negative_count,false_negative_rate,true_negative,false_positive,false_negative,true_positive
210611,majority,7,119,17,training_majority=1,0.11764705882352941,0.5,1.0,0,0.0,0,15,0,2
210611,gamma_threshold,7,119,17,Gamma>=2,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
210611,logistic_control,7,119,17,,0.5294117647058824,0.7333333333333334,1.0,0,0.0,7,8,0,2
210611,logistic_full,7,119,17,,0.8823529411764706,0.5,0.0,2,1.0,15,0,2,0
210611,tree_control,7,119,17,,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
210611,tree_full,7,119,17,,0.8823529411764706,0.5,0.0,2,1.0,15,0,2,0
210611,gradient_boosting_control,7,119,17,,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
210611,gradient_boosting_full,7,119,17,,1.0,1.0,1.0,0,0.0,15,0,0,2
210628,majority,7,119,17,training_majority=1,0.11764705882352941,0.5,1.0,0,0.0,0,15,0,2
210628,gamma_threshold,7,119,17,Gamma>=2,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
210628,logistic_control,7,119,17,,0.5294117647058824,0.7333333333333334,1.0,0,0.0,7,8,0,2
210628,logistic_full,7,119,17,,0.11764705882352941,0.5,1.0,0,0.0,0,15,0,2
210628,tree_control,7,119,17,,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
210628,tree_full,7,119,17,,0.8823529411764706,0.5,0.0,2,1.0,15,0,2,0
210628,gradient_boosting_control,7,119,17,,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
210628,gradient_boosting_full,7,119,17,,1.0,1.0,1.0,0,0.0,15,0,0,2
