scope,held_out_case,method,n,accuracy,balanced_accuracy,material_recall,false_negative_count,false_negative_rate,true_negative,false_positive,false_negative,true_positive
held_out_case,210330,logistic_control,17,0.7647058823529411,0.8461538461538461,0.6923076923076923,4,0.3076923076923077,4,0,4,9
held_out_case,210330,logistic_full,17,0.7647058823529411,0.5,1.0,0,0.0,0,4,0,13
held_out_case,210330,tree_control,17,0.5294117647058824,0.6923076923076923,0.38461538461538464,8,0.6153846153846154,4,0,8,5
held_out_case,210330,tree_full,17,0.9411764705882353,0.875,1.0,0,0.0,3,1,0,13
held_out_case,210330,gradient_boosting_control,17,0.5294117647058824,0.6923076923076923,0.38461538461538464,8,0.6153846153846154,4,0,8,5
held_out_case,210330,gradient_boosting_full,17,1.0,1.0,1.0,0,0.0,4,0,0,13
held_out_case,210428,majority,17,0.11764705882352941,0.5,1.0,0,0.0,0,15,0,2
held_out_case,210428,gamma_threshold,17,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
held_out_case,210428,logistic_control,17,0.5294117647058824,0.7333333333333334,1.0,0,0.0,7,8,0,2
held_out_case,210428,logistic_full,17,0.11764705882352941,0.5,1.0,0,0.0,0,15,0,2
held_out_case,210428,tree_control,17,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
held_out_case,210428,tree_full,17,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
held_out_case,210428,gradient_boosting_control,17,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
held_out_case,210428,gradient_boosting_full,17,0.29411764705882354,0.6,1.0,0,0.0,3,12,0,2
held_out_case,210611,majority,17,0.11764705882352941,0.5,1.0,0,0.0,0,15,0,2
held_out_case,210611,gamma_threshold,17,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
held_out_case,210611,logistic_control,17,0.5294117647058824,0.7333333333333334,1.0,0,0.0,7,8,0,2
held_out_case,210611,logistic_full,17,0.8823529411764706,0.5,0.0,2,1.0,15,0,2,0
held_out_case,210611,tree_control,17,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
held_out_case,210611,tree_full,17,0.8823529411764706,0.5,0.0,2,1.0,15,0,2,0
held_out_case,210611,gradient_boosting_control,17,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
held_out_case,210611,gradient_boosting_full,17,1.0,1.0,1.0,0,0.0,15,0,0,2
held_out_case,210628,majority,17,0.11764705882352941,0.5,1.0,0,0.0,0,15,0,2
held_out_case,210628,gamma_threshold,17,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
held_out_case,210628,logistic_control,17,0.5294117647058824,0.7333333333333334,1.0,0,0.0,7,8,0,2
held_out_case,210628,logistic_full,17,0.11764705882352941,0.5,1.0,0,0.0,0,15,0,2
held_out_case,210628,tree_control,17,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
held_out_case,210628,tree_full,17,0.8823529411764706,0.5,0.0,2,1.0,15,0,2,0
held_out_case,210628,gradient_boosting_control,17,0.35294117647058826,0.6333333333333333,1.0,0,0.0,4,11,0,2
held_out_case,210628,gradient_boosting_full,17,1.0,1.0,1.0,0,0.0,15,0,0,2
pooled_loco,,gamma_threshold,136,0.6838235294117647,0.6958829902491874,0.9692307692307692,2,0.03076923076923077,30,41,2,63
pooled_loco,,gradient_boosting_control,136,0.5661764705882353,0.5728060671722643,0.7230769230769231,18,0.27692307692307694,30,41,18,47
pooled_loco,,gradient_boosting_full,136,0.7205882352941176,0.7206933911159263,0.7230769230769231,18,0.27692307692307694,51,20,18,47
pooled_loco,,logistic_control,136,0.6544117647058824,0.6573131094257855,0.7230769230769231,18,0.27692307692307694,42,29,18,47
pooled_loco,,logistic_full,136,0.4264705882352941,0.4318526543878657,0.5538461538461539,29,0.4461538461538462,22,49,29,36
pooled_loco,,majority,136,0.18382352941176472,0.18320693391115928,0.16923076923076924,54,0.8307692307692308,14,57,54,11
pooled_loco,,tree_control,136,0.5661764705882353,0.5728060671722643,0.7230769230769231,18,0.27692307692307694,30,41,18,47
pooled_loco,,tree_full,136,0.6470588235294118,0.6437703141928495,0.5692307692307692,28,0.4307692307692308,51,20,28,37
